,Year,Month,Value
0,2023.0,7.0,324.746
1,2023.0,5.0,324.927
2,2023.0,3.0,324.859
3,2023.0,1.0,324.27
4,2022.0,11.0,320.702
5,2022.0,9.0,318.8
6,2022.0,7.0,315.841
7,2022.0,5.0,313.578
8,2022.0,3.0,310.311
9,2022.0,1.0,304.634
10,2021.0,11.0,299.723
11,2021.0,9.0,294.784
12,2021.0,7.0,295.211
13,2021.0,5.0,291.667
14,2021.0,3.0,289.24
15,2021.0,1.0,286.615
16,2020.0,11.0,284.622
17,2020.0,9.0,283.391
18,2020.0,7.0,283.175
19,2020.0,5.0,282.62
20,2020.0,3.0,285.544
21,2020.0,1.0,285.181
22,2019.0,11.0,283.526
23,2019.0,9.0,281.603
24,2019.0,7.0,280.943
25,2019.0,5.0,280.937
26,2019.0,3.0,280.393
27,2019.0,1.0,278.976
28,2018.0,11.0,277.632
29,2018.0,9.0,278.663
30,2018.0,7.0,275.402
31,2018.0,5.0,274.668
32,2018.0,3.0,274.591
33,2018.0,1.0,272.229
34,2017.0,11.0,269.149
35,2017.0,9.0,269.757
36,2017.0,7.0,266.429
37,2017.0,5.0,266.256
38,2017.0,3.0,265.07
39,2017.0,1.0,264.865
40,2016.0,11.0,261.675
41,2016.0,9.0,262.606
42,2016.0,7.0,260.8
43,2016.0,5.0,260.809
44,2016.0,3.0,258.587
45,2016.0,1.0,257.215
46,2015.0,11.0,258.407
47,2015.0,9.0,256.643
48,2015.0,7.0,256.999
49,2015.0,5.0,256.839
50,2015.0,3.0,257.013
51,2015.0,1.0,254.556
52,2014.0,11.0,256.262
53,2014.0,9.0,255.878
54,2014.0,7.0,255.296
55,2014.0,5.0,255.209
56,2014.0,3.0,254.982
57,2014.0,1.0,253.123
58,2013.0,11.0,252.23
59,2013.0,9.0,251.918
60,2013.0,7.0,251.067
61,2013.0,5.0,250.036
62,2013.0,3.0,250.835
63,2013.0,1.0,249.957
64,2012.0,11.0,249.929
65,2012.0,9.0,249.488
66,2012.0,7.0,246.326
67,2012.0,5.0,246.582
68,2012.0,3.0,247.166
69,2012.0,1.0,245.891
70,2011.0,11.0,245.03
71,2011.0,9.0,245.31
72,2011.0,7.0,244.256
73,2011.0,5.0,244.574
74,2011.0,3.0,242.787
75,2011.0,1.0,239.814
76,2010.0,11.0,238.103
77,2010.0,9.0,236.474
78,2010.0,7.0,236.132
79,2010.0,5.0,238.083
80,2010.0,3.0,237.986
81,2010.0,1.0,237.266
82,2009.0,11.0,236.589
83,2009.0,9.0,236.596
84,2009.0,7.0,233.018
85,2009.0,5.0,231.891
86,2009.0,3.0,232.155
87,2009.0,1.0,230.806
88,2008.0,11.0,232.354
89,2008.0,9.0,238.519
90,2008.0,7.0,241.258
91,2008.0,5.0,235.344
92,2008.0,3.0,233.084
93,2008.0,1.0,231.98
94,2007.0,11.0,230.689
95,2007.0,9.0,227.85
96,2007.0,7.0,226.929
97,2007.0,5.0,226.247
98,2007.0,3.0,226.427
99,2007.0,1.0,224.432
100,2006.0,11.0,223.1
101,2006.0,9.0,224.5
102,2006.0,7.0,225.1
103,2006.0,5.0,222.9
104,2006.0,3.0,221.3
105,2006.0,1.0,220.5
106,2005.0,11.0,218.6
107,2005.0,9.0,220.1
108,2005.0,7.0,217.2
109,2005.0,5.0,214.6
110,2005.0,3.0,214.2
111,2005.0,1.0,211.3
112,2004.0,11.0,211.7
113,2004.0,9.0,209.8
114,2004.0,7.0,208.9
115,2004.0,5.0,208.7
116,2004.0,3.0,208.7
117,2004.0,1.0,208.4
118,2003.0,11.0,206.5
