,Year,Month,Value
0,2023.0,7.0,305.273
1,2023.0,5.0,305.614
2,2023.0,3.0,302.93
3,2023.0,1.0,299.149
4,2022.0,11.0,300.085
5,2022.0,9.0,299.268
6,2022.0,7.0,299.937
7,2022.0,5.0,296.559
8,2022.0,3.0,292.227
9,2022.0,1.0,286.678
10,2021.0,11.0,284.24
11,2021.0,9.0,280.933
12,2021.0,7.0,279.099
13,2021.0,5.0,275.822
14,2021.0,3.0,272.347
15,2021.0,1.0,270.535
16,2020.0,11.0,268.7
17,2020.0,9.0,268.788
18,2020.0,7.0,267.287
19,2020.0,5.0,265.733
20,2020.0,3.0,265.385
21,2020.0,1.0,266.433
22,2019.0,11.0,265.026
23,2019.0,9.0,265.5
24,2019.0,7.0,265.17
25,2019.0,5.0,265.967
26,2019.0,3.0,264.257
27,2019.0,1.0,262.304
28,2018.0,11.0,261.12
29,2018.0,9.0,263.056
30,2018.0,7.0,262.016
31,2018.0,5.0,261.77
32,2018.0,3.0,260.026
33,2018.0,1.0,260.219
34,2017.0,11.0,257.872
35,2017.0,9.0,257.816
36,2017.0,7.0,255.518
37,2017.0,5.0,255.502
38,2017.0,3.0,255.435
39,2017.0,1.0,254.495
40,2016.0,11.0,253.989
41,2016.0,9.0,253.513
42,2016.0,7.0,254.305
43,2016.0,5.0,254.85
44,2016.0,3.0,252.718
45,2016.0,1.0,250.807
46,2015.0,11.0,251.327
47,2015.0,9.0,252.376
48,2015.0,7.0,250.992
49,2015.0,5.0,251.825
50,2015.0,3.0,249.985
51,2015.0,1.0,247.127
52,2014.0,11.0,249.972
53,2014.0,9.0,250.634
54,2014.0,7.0,250.326
55,2014.0,5.0,250.443
56,2014.0,3.0,249.591
57,2014.0,1.0,247.679
58,2013.0,11.0,247.264
59,2013.0,9.0,247.838
60,2013.0,7.0,246.178
61,2013.0,5.0,245.499
62,2013.0,3.0,245.477
63,2013.0,1.0,243.473
64,2012.0,11.0,243.199
65,2012.0,9.0,244.72
66,2012.0,7.0,241.744
67,2012.0,5.0,242.446
68,2012.0,3.0,242.235
69,2012.0,1.0,238.994
70,2011.0,11.0,238.175
71,2011.0,9.0,238.725
72,2011.0,7.0,238.191
73,2011.0,5.0,237.348
74,2011.0,3.0,235.182
75,2011.0,1.0,232.77
76,2010.0,11.0,230.531
77,2010.0,9.0,230.612
78,2010.0,7.0,228.432
79,2010.0,5.0,228.628
80,2010.0,3.0,228.48
81,2010.0,1.0,227.44
82,2009.0,11.0,226.533
83,2009.0,9.0,227.181
84,2009.0,7.0,226.084
85,2009.0,5.0,223.583
86,2009.0,3.0,222.63
87,2009.0,1.0,221.83
88,2008.0,11.0,223.569
89,2008.0,9.0,228.871
90,2008.0,7.0,228.918
91,2008.0,5.0,224.525
92,2008.0,3.0,222.554
93,2008.0,1.0,220.587
94,2007.0,11.0,218.331
95,2007.0,9.0,218.457
96,2007.0,7.0,217.198
97,2007.0,5.0,216.097
98,2007.0,3.0,214.455
99,2007.0,1.0,211.101
100,2006.0,11.0,210.1
101,2006.0,9.0,211.2
102,2006.0,7.0,211.4
103,2006.0,5.0,209.1
104,2006.0,3.0,206.4
105,2006.0,1.0,205.6
106,2005.0,11.0,204.3
107,2005.0,9.0,205.6
108,2005.0,7.0,202.8
109,2005.0,5.0,201.8
110,2005.0,3.0,200.4
111,2005.0,1.0,198.2
112,2004.0,11.0,197.2
113,2004.0,9.0,196.5
114,2004.0,7.0,195.4
115,2004.0,5.0,194.1
116,2004.0,3.0,192.8
117,2004.0,1.0,190.7
118,2003.0,11.0,190.4
119,2003.0,9.0,190.8
120,2003.0,7.0,190.2
121,2003.0,5.0,188.7
122,2003.0,3.0,188.8
123,2003.0,1.0,186.3
124,2002.0,11.0,185.4
125,2002.0,9.0,185.8
126,2002.0,7.0,184.2
127,2002.0,5.0,183.6
128,2002.0,3.0,181.9
129,2002.0,1.0,180.0
130,2001.0,11.0,179.5
131,2001.0,9.0,180.9
132,2001.0,7.0,179.2
133,2001.0,5.0,178.0
134,2001.0,3.0,177.2
135,2001.0,1.0,175.9
136,2000.0,11.0,175.3
137,2000.0,9.0,175.0
138,2000.0,7.0,174.8
139,2000.0,5.0,172.5
140,2000.0,3.0,173.2
141,2000.0,1.0,169.8
142,1999.0,11.0,169.1
143,1999.0,9.0,169.8
144,1999.0,7.0,168.3
145,1999.0,5.0,167.0
146,1999.0,3.0,165.9
147,1999.0,1.0,165.4
148,1998.0,11.0,164.5
149,1998.0,9.0,165.2
150,1998.0,7.0,164.9
151,1998.0,5.0,163.6
152,1998.0,3.0,163.5
153,1998.0,1.0,162.5
154,1997.0,11.0,161.8
155,1997.0,9.0,163.6
156,1997.0,7.0,162.9
157,1997.0,5.0,162.1
158,1997.0,3.0,161.9
159,1997.0,1.0,161.6
160,1996.0,11.0,161.2
161,1996.0,9.0,160.8
162,1996.0,7.0,160.1
163,1996.0,5.0,159.0
164,1996.0,3.0,158.4
165,1996.0,1.0,156.8
166,1995.0,11.0,155.2
167,1995.0,9.0,156.2
168,1995.0,7.0,156.1
169,1995.0,5.0,154.7
170,1995.0,3.0,155.1
171,1995.0,1.0,153.8
172,1994.0,11.0,153.0
173,1994.0,9.0,153.7
174,1994.0,7.0,151.8
175,1994.0,5.0,151.4
176,1994.0,3.0,151.5
177,1994.0,1.0,150.9
178,1993.0,11.0,150.9
179,1993.0,9.0,149.7
180,1993.0,7.0,149.2
181,1993.0,5.0,149.2
182,1993.0,3.0,148.5
183,1993.0,1.0,147.8
184,1992.0,11.0,146.9
185,1992.0,9.0,146.0
186,1992.0,7.0,144.8
187,1992.0,5.0,143.2
188,1992.0,3.0,143.0
189,1992.0,1.0,142.9
190,1991.0,11.0,142.6
191,1991.0,9.0,143.3
192,1991.0,7.0,140.9
193,1991.0,5.0,140.9
194,1991.0,3.0,139.3
195,1991.0,1.0,139.1
196,1990.0,11.0,138.4
197,1990.0,9.0,138.0
198,1990.0,7.0,135.7
199,1990.0,5.0,134.0
200,1990.0,3.0,133.8
201,1990.0,1.0,132.0
202,1989.0,11.0,130.5
203,1989.0,9.0,130.1
204,1989.0,7.0,127.8
205,1989.0,5.0,127.1
206,1989.0,3.0,126.1
207,1989.0,1.0,124.3
208,1988.0,11.0,123.2
209,1988.0,9.0,122.8
210,1988.0,7.0,120.7
211,1988.0,5.0,120.1
212,1988.0,3.0,119.2
213,1988.0,1.0,118.3
214,1987.0,11.0,118.5
215,1987.0,9.0,117.8
216,1987.0,7.0,116.2
217,1987.0,5.0,115.3
218,1987.0,3.0,114.5
219,1987.0,1.0,113.7
220,1986.0,11.0,113.1
221,1986.0,9.0,112.6
222,1986.0,7.0,111.5
223,1986.0,5.0,111.6
224,1986.0,3.0,111.5
225,1986.0,1.0,112.2
226,1985.0,11.0,110.7
227,1985.0,9.0,109.6
228,1985.0,7.0,109.5
229,1985.0,5.0,108.3
230,1985.0,3.0,108.1
231,1985.0,1.0,106.6
232,1984.0,11.0,106.7
233,1984.0,9.0,106.0
234,1984.0,7.0,104.4
235,1984.0,5.0,103.5
236,1984.0,3.0,103.3
237,1984.0,1.0,102.9
238,1983.0,11.0,101.2
239,1983.0,9.0,100.7
240,1983.0,7.0,100.6
241,1983.0,5.0,99.2
242,1983.0,3.0,98.0
243,1983.0,1.0,98.0
244,1982.0,11.0,97.0
245,1982.0,9.0,97.0
246,1982.0,7.0,95.3
247,1982.0,5.0,94.3
248,1982.0,3.0,94.4
249,1982.0,1.0,94.2
250,1981.0,11.0,93.3
251,1981.0,9.0,92.1
252,1981.0,7.0,90.5
253,1981.0,5.0,89.7
254,1981.0,3.0,88.8
255,1981.0,1.0,87.1
256,1980.0,11.0,85.9
257,1980.0,9.0,84.4
258,1980.0,7.0,83.7
259,1980.0,5.0,81.7
260,1980.0,3.0,80.9
261,1980.0,1.0,78.5
262,1979.0,11.0,76.3
263,1979.0,9.0,75.5
264,1979.0,7.0,74.7
265,1979.0,5.0,73.2
266,1979.0,3.0,72.0
267,1979.0,1.0,70.7
268,1978.0,11.0,69.1
269,1978.0,9.0,68.0
270,1978.0,7.0,67.0
271,1978.0,5.0,65.8
272,1978.0,3.0,64.7
273,1978.0,1.0,64.3
274,1977.0,11.0,63.5
275,1977.0,8.0,62.6
276,1977.0,5.0,61.5
277,1977.0,2.0,60.3
278,1976.0,11.0,59.0
279,1976.0,8.0,58.6
280,1976.0,5.0,57.6
281,1976.0,2.0,56.6
282,1975.0,11.0,56.0
283,1975.0,8.0,55.3
284,1975.0,5.0,54.2
285,1975.0,2.0,53.5
286,1974.0,11.0,52.9
287,1974.0,8.0,51.7
288,1974.0,5.0,50.0
289,1974.0,2.0,48.8
290,1973.0,11.0,47.2
291,1973.0,8.0,46.2
292,1973.0,5.0,45.2
293,1973.0,2.0,44.3
294,1972.0,11.0,43.9
295,1972.0,8.0,43.3
296,1972.0,5.0,42.5
297,1972.0,2.0,42.2
298,1971.0,11.0,42.1
299,1971.0,8.0,41.8
300,1971.0,5.0,41.4
301,1971.0,2.0,41.0
302,1970.0,11.0,40.4
303,1970.0,8.0,40.1
304,1970.0,5.0,39.7
305,1970.0,2.0,39.1
306,1969.0,11.0,38.4
307,1969.0,8.0,38.0
308,1969.0,5.0,37.5
309,1969.0,2.0,36.7
310,1968.0,11.0,36.3
311,1968.0,8.0,35.8
312,1968.0,5.0,35.2
313,1968.0,2.0,34.6
314,1967.0,11.0,34.2
315,1967.0,8.0,34.1
316,1967.0,5.0,33.6
317,1967.0,2.0,33.5
318,1966.0,11.0,33.3
319,1966.0,8.0,33.2
320,1966.0,5.0,32.8
321,1966.0,2.0,32.6
322,1965.0,11.0,32.1
323,1965.0,8.0,31.9
324,1965.0,5.0,31.8
325,1965.0,2.0,31.6
326,1964.0,11.0,31.7
327,1964.0,8.0,31.6
328,1964.0,5.0,31.3
329,1964.0,2.0,31.2
330,1963.0,11.0,31.1
331,1963.0,8.0,31.1
332,1963.0,5.0,30.9
333,1963.0,2.0,30.7
334,1962.0,11.0,30.6
335,1962.0,8.0,30.5
336,1962.0,5.0,30.3
337,1962.0,2.0,30.2
338,1961.0,11.0,30.3
339,1961.0,8.0,30.2
340,1961.0,5.0,30.0
341,1961.0,2.0,30.1
342,1960.0,11.0,29.9
343,1960.0,8.0,29.7
344,1960.0,5.0,29.7
345,1960.0,2.0,29.4
346,1959.0,11.0,29.4
347,1959.0,8.0,29.5
