,Year,Month,Value
0,2017.0,12.0,259.22
1,2017.0,11.0,259.135
2,2017.0,10.0,258.883
3,2017.0,9.0,257.89
4,2017.0,8.0,256.739
5,2017.0,7.0,256.023
6,2017.0,6.0,255.275
7,2017.0,5.0,255.674
8,2017.0,4.0,254.971
9,2017.0,3.0,254.525
10,2017.0,2.0,253.815
11,2017.0,1.0,252.373
12,2016.0,12.0,250.189
13,2016.0,11.0,250.185
14,2016.0,10.0,251.098
15,2016.0,9.0,250.145
16,2016.0,8.0,249.7
17,2016.0,7.0,249.784
18,2016.0,6.0,249.789
19,2016.0,5.0,249.554
20,2016.0,4.0,248.368
21,2016.0,3.0,247.873
22,2016.0,2.0,247.113
23,2016.0,1.0,247.155
24,2015.0,12.0,245.357
25,2015.0,11.0,245.711
26,2015.0,10.0,245.812
27,2015.0,9.0,245.431
28,2015.0,8.0,246.328
29,2015.0,7.0,247.066
30,2015.0,6.0,245.459
31,2015.0,5.0,246.093
32,2015.0,4.0,243.569
33,2015.0,3.0,243.738
34,2015.0,2.0,241.297
35,2015.0,1.0,239.724
36,2014.0,12.0,240.475
37,2014.0,11.0,241.753
38,2014.0,10.0,243.341
39,2014.0,9.0,243.623
40,2014.0,8.0,243.556
41,2014.0,7.0,243.727
42,2014.0,6.0,243.528
43,2014.0,5.0,243.362
44,2014.0,4.0,242.437
45,2014.0,3.0,242.491
46,2014.0,2.0,241.059
47,2014.0,1.0,239.857
48,2013.0,12.0,238.742
49,2013.0,11.0,238.677
50,2013.0,10.0,239.94
51,2013.0,9.0,239.611
52,2013.0,8.0,239.219
53,2013.0,7.0,238.92
54,2013.0,6.0,239.223
55,2013.0,5.0,239.346
56,2013.0,4.0,239.043
57,2013.0,3.0,239.995
58,2013.0,2.0,239.753
59,2013.0,1.0,238.015
60,2012.0,12.0,236.042
61,2012.0,11.0,237.675
62,2012.0,10.0,240.111
63,2012.0,9.0,238.104
64,2012.0,8.0,237.222
65,2012.0,7.0,235.776
66,2012.0,6.0,236.025
67,2012.0,5.0,237.032
68,2012.0,4.0,236.866
69,2012.0,3.0,236.941
70,2012.0,2.0,234.537
71,2012.0,1.0,233.441
72,2011.0,12.0,231.567
73,2011.0,11.0,232.731
74,2011.0,10.0,233.049
75,2011.0,9.0,233.022
76,2011.0,8.0,231.833
77,2011.0,7.0,231.303
78,2011.0,6.0,232.328
79,2011.0,5.0,233.367
80,2011.0,4.0,233.319
81,2011.0,3.0,232.241
82,2011.0,2.0,229.729
83,2011.0,1.0,228.652
84,2010.0,12.0,226.639
85,2010.0,11.0,225.941
86,2010.0,10.0,226.794
87,2010.0,9.0,226.048
88,2010.0,8.0,226.373
89,2010.0,7.0,225.991
90,2010.0,6.0,225.877
91,2010.0,5.0,226.438
92,2010.0,4.0,225.916
93,2010.0,3.0,225.483
94,2010.0,2.0,224.62
95,2010.0,1.0,224.61
96,2009.0,12.0,223.643
97,2009.0,11.0,224.317
98,2009.0,10.0,225.264
99,2009.0,9.0,225.226
100,2009.0,8.0,224.507
101,2009.0,7.0,224.01
102,2009.0,6.0,223.906
103,2009.0,5.0,222.522
104,2009.0,4.0,221.693
105,2009.0,3.0,221.376
106,2009.0,2.0,221.439
107,2009.0,1.0,220.719
108,2008.0,12.0,219.62
109,2008.0,11.0,222.229
110,2008.0,10.0,226.159
111,2008.0,9.0,227.449
112,2008.0,8.0,228.484
113,2008.0,7.0,229.886
114,2008.0,6.0,229.033
115,2008.0,5.0,226.651
116,2008.0,4.0,224.625
117,2008.0,3.0,223.606
118,2008.0,2.0,221.431
119,2008.0,1.0,220.918
120,2007.0,12.0,219.373
121,2007.0,11.0,219.943
122,2007.0,10.0,218.696
123,2007.0,9.0,217.697
124,2007.0,8.0,217.33
125,2007.0,7.0,217.454
126,2007.0,6.0,217.273
127,2007.0,5.0,218.596
128,2007.0,4.0,217.845
129,2007.0,3.0,216.5
130,2007.0,2.0,214.76
131,2007.0,1.0,212.584
132,2006.0,12.0,210.6
133,2006.0,11.0,211.1
134,2006.0,10.0,211.4
135,2006.0,9.0,212.9
136,2006.0,8.0,211.9
137,2006.0,7.0,211.4
138,2006.0,6.0,211.1
139,2006.0,5.0,212.4
140,2006.0,4.0,210.5
141,2006.0,3.0,208.5
142,2006.0,2.0,207.5
143,2006.0,1.0,206.0
144,2005.0,12.0,203.9
145,2005.0,11.0,205.6
146,2005.0,10.0,206.9
147,2005.0,9.0,205.8
148,2005.0,8.0,203.1
149,2005.0,7.0,201.4
150,2005.0,6.0,200.7
151,2005.0,5.0,201.5
152,2005.0,4.0,201.1
153,2005.0,3.0,199.2
154,2005.0,2.0,197.4
155,2005.0,1.0,195.4
156,2004.0,12.0,195.2
157,2004.0,11.0,196.9
158,2004.0,10.0,196.3
159,2004.0,9.0,194.5
160,2004.0,8.0,193.1
161,2004.0,7.0,193.4
162,2004.0,6.0,193.7
163,2004.0,5.0,193.3
164,2004.0,4.0,191.9
165,2004.0,3.0,191.5
166,2004.0,2.0,190.1
167,2004.0,1.0,188.5
168,2003.0,12.0,187.0
169,2003.0,11.0,187.1
170,2003.0,10.0,187.8
171,2003.0,9.0,188.2
172,2003.0,8.0,186.9
173,2003.0,7.0,186.3
174,2003.0,6.0,186.3
175,2003.0,5.0,186.4
176,2003.0,4.0,187.6
177,2003.0,3.0,188.2
178,2003.0,2.0,186.5
179,2003.0,1.0,185.2
180,2002.0,12.0,183.7
181,2002.0,11.0,184.0
182,2002.0,10.0,183.7
183,2002.0,9.0,183.4
184,2002.0,8.0,183.0
185,2002.0,7.0,182.2
186,2002.0,6.0,181.9
187,2002.0,5.0,182.6
188,2002.0,4.0,182.2
189,2002.0,3.0,181.1
190,2002.0,2.0,180.1
191,2002.0,1.0,178.9
192,2001.0,12.0,177.1
193,2001.0,11.0,178.1
194,2001.0,10.0,178.3
195,2001.0,9.0,178.8
196,2001.0,8.0,178.4
197,2001.0,7.0,178.3
198,2001.0,6.0,178.9
199,2001.0,5.0,177.5
200,2001.0,4.0,176.6
201,2001.0,3.0,176.2
202,2001.0,2.0,175.4
203,2001.0,1.0,174.2
204,2000.0,12.0,173.5
205,2000.0,11.0,173.5
206,2000.0,10.0,173.8
207,2000.0,9.0,173.3
208,2000.0,8.0,172.2
209,2000.0,7.0,171.7
210,2000.0,6.0,171.0
211,2000.0,5.0,171.1
212,2000.0,4.0,170.6
213,2000.0,3.0,170.7
214,2000.0,2.0,169.3
215,2000.0,1.0,167.9
216,1999.0,12.0,167.3
217,1999.0,11.0,167.1
218,1999.0,10.0,167.2
219,1999.0,9.0,167.2
220,1999.0,8.0,166.3
221,1999.0,7.0,165.8
222,1999.0,6.0,165.4
223,1999.0,5.0,166.2
224,1999.0,4.0,166.6
225,1999.0,3.0,165.0
226,1999.0,2.0,164.6
227,1999.0,1.0,164.2
228,1998.0,12.0,163.5
229,1998.0,11.0,163.4
230,1998.0,10.0,163.2
231,1998.0,9.0,162.6
232,1998.0,8.0,162.6
233,1998.0,7.0,162.1
234,1998.0,6.0,162.2
235,1998.0,5.0,162.3
236,1998.0,4.0,161.8
237,1998.0,3.0,161.4
238,1998.0,2.0,161.1
239,1998.0,1.0,161.0
240,1997.0,12.0,161.2
241,1997.0,11.0,160.7
242,1997.0,10.0,161.1
243,1997.0,9.0,160.5
244,1997.0,8.0,159.7
245,1997.0,7.0,159.5
246,1997.0,6.0,159.4
247,1997.0,5.0,159.5
248,1997.0,4.0,159.9
249,1997.0,3.0,159.8
250,1997.0,2.0,159.2
251,1997.0,1.0,159.1
252,1996.0,12.0,158.3
253,1996.0,11.0,158.4
254,1996.0,10.0,158.8
255,1996.0,9.0,158.2
256,1996.0,8.0,157.3
257,1996.0,7.0,157.6
258,1996.0,6.0,156.7
259,1996.0,5.0,157.5
260,1996.0,4.0,157.7
261,1996.0,3.0,157.3
262,1996.0,2.0,156.2
263,1996.0,1.0,155.7
264,1995.0,12.0,154.6
265,1995.0,11.0,154.4
266,1995.0,10.0,155.2
267,1995.0,9.0,154.6
268,1995.0,8.0,154.4
269,1995.0,7.0,154.5
270,1995.0,6.0,154.8
271,1995.0,5.0,155.1
272,1995.0,4.0,154.7
273,1995.0,3.0,154.6
274,1995.0,2.0,154.5
275,1995.0,1.0,154.3
276,1994.0,12.0,153.4
277,1994.0,11.0,152.9
278,1994.0,10.0,153.4
279,1994.0,9.0,152.7
280,1994.0,8.0,152.0
281,1994.0,7.0,151.7
282,1994.0,6.0,151.3
283,1994.0,5.0,151.4
284,1994.0,4.0,152.0
285,1994.0,3.0,152.5
286,1994.0,2.0,152.2
287,1994.0,1.0,152.2
288,1993.0,12.0,151.9
289,1993.0,11.0,151.6
290,1993.0,10.0,150.9
291,1993.0,9.0,150.2
292,1993.0,8.0,149.9
293,1993.0,7.0,149.8
294,1993.0,6.0,149.7
295,1993.0,5.0,150.1
296,1993.0,4.0,149.9
297,1993.0,3.0,149.8
298,1993.0,2.0,150.0
299,1993.0,1.0,149.2
300,1992.0,12.0,148.2
301,1992.0,11.0,148.2
302,1992.0,10.0,148.4
303,1992.0,9.0,147.4
304,1992.0,8.0,146.9
305,1992.0,7.0,146.7
306,1992.0,6.0,146.2
307,1992.0,5.0,146.0
308,1992.0,4.0,145.8
309,1992.0,3.0,145.5
310,1992.0,2.0,144.9
311,1992.0,1.0,144.3
312,1991.0,12.0,143.1
313,1991.0,11.0,143.5
314,1991.0,10.0,142.9
315,1991.0,9.0,142.6
316,1991.0,8.0,141.7
317,1991.0,7.0,141.5
318,1991.0,6.0,140.8
319,1991.0,5.0,140.8
320,1991.0,4.0,140.7
321,1991.0,3.0,139.7
