,Year,Month,Value
0,2023.0,8.0,344.449
1,2023.0,6.0,341.734
2,2023.0,4.0,338.487
3,2023.0,2.0,334.987
4,2022.0,12.0,330.489
5,2022.0,10.0,330.173
6,2022.0,8.0,326.796
7,2022.0,6.0,326.656
8,2022.0,4.0,316.525
9,2022.0,2.0,310.078
10,2021.0,12.0,304.856
11,2021.0,10.0,303.099
12,2021.0,8.0,299.704
13,2021.0,6.0,296.573
14,2021.0,4.0,290.068
15,2021.0,2.0,286.95
16,2020.0,12.0,283.409
17,2020.0,10.0,284.505
18,2020.0,8.0,284.905
19,2020.0,6.0,281.055
20,2020.0,4.0,280.484
21,2020.0,2.0,282.115
22,2019.0,12.0,279.421
23,2019.0,10.0,278.682
24,2019.0,8.0,280.286
25,2019.0,6.0,278.631
26,2019.0,4.0,276.765
27,2019.0,2.0,275.304
28,2018.0,12.0,273.293
29,2018.0,10.0,272.805
30,2018.0,8.0,271.625
31,2018.0,6.0,272.395
32,2018.0,4.0,270.309
33,2018.0,2.0,268.031
34,2017.0,12.0,265.85
35,2017.0,10.0,264.653
36,2017.0,8.0,263.333
37,2017.0,6.0,263.756
38,2017.0,4.0,261.56
39,2017.0,2.0,259.503
40,2016.0,12.0,256.821
41,2016.0,10.0,256.941
42,2016.0,8.0,256.907
43,2016.0,6.0,256.098
44,2016.0,4.0,253.815
45,2016.0,2.0,250.942
46,2015.0,12.0,250.385
47,2015.0,10.0,250.831
48,2015.0,8.0,251.617
49,2015.0,6.0,251.622
50,2015.0,4.0,247.611
51,2015.0,2.0,245.496
52,2014.0,12.0,245.05
53,2014.0,10.0,247.854
54,2014.0,8.0,247.185
55,2014.0,6.0,247.642
56,2014.0,4.0,246.616
57,2014.0,2.0,242.77
58,2013.0,12.0,241.055
59,2013.0,10.0,242.787
60,2013.0,8.0,242.767
61,2013.0,6.0,242.82
62,2013.0,4.0,240.823
63,2013.0,2.0,239.898
64,2012.0,12.0,237.993
65,2012.0,10.0,241.355
66,2012.0,8.0,240.213
67,2012.0,6.0,239.54
68,2012.0,4.0,237.931
69,2012.0,2.0,235.744
70,2011.0,12.0,234.812
71,2011.0,10.0,235.916
72,2011.0,8.0,233.81
73,2011.0,6.0,233.25
74,2011.0,4.0,231.314
75,2011.0,2.0,229.482
76,2010.0,12.0,226.862
77,2010.0,10.0,227.251
78,2010.0,8.0,227.645
79,2010.0,6.0,226.118
80,2010.0,4.0,226.513
81,2010.0,2.0,226.085
82,2009.0,12.0,225.596
83,2009.0,10.0,226.277
84,2009.0,8.0,227.138
85,2009.0,6.0,227.257
86,2009.0,4.0,225.918
87,2009.0,2.0,224.737
88,2008.0,12.0,222.58
89,2008.0,10.0,225.915
90,2008.0,8.0,227.745
91,2008.0,6.0,228.068
92,2008.0,4.0,223.196
93,2008.0,2.0,221.728
94,2007.0,12.0,218.966
95,2007.0,10.0,218.427
96,2007.0,8.0,215.978
97,2007.0,6.0,215.51
98,2007.0,4.0,215.767
99,2007.0,2.0,211.704
100,2006.0,12.0,209.3
101,2006.0,10.0,209.8
102,2006.0,8.0,209.6
103,2006.0,6.0,208.2
104,2006.0,4.0,207.4
105,2006.0,2.0,203.6
106,2005.0,12.0,200.9
107,2005.0,10.0,203.3
108,2005.0,8.0,199.9
109,2005.0,6.0,199.8
110,2005.0,4.0,201.3
111,2005.0,2.0,197.6
112,2004.0,12.0,195.1
113,2004.0,10.0,196.5
114,2004.0,8.0,194.6
115,2004.0,6.0,195.3
116,2004.0,4.0,194.3
117,2004.0,2.0,193.5
118,2003.0,12.0,191.0
119,2003.0,10.0,193.7
120,2003.0,8.0,194.4
121,2003.0,6.0,191.7
122,2003.0,4.0,192.3
123,2003.0,2.0,191.3
124,2002.0,12.0,190.0
125,2002.0,10.0,190.9
126,2002.0,8.0,190.3
127,2002.0,6.0,189.4
128,2002.0,4.0,188.8
129,2002.0,2.0,187.6
130,2001.0,12.0,186.1
131,2001.0,10.0,187.9
132,2001.0,8.0,186.8
133,2001.0,6.0,186.3
134,2001.0,4.0,184.2
135,2001.0,2.0,184.0
136,2000.0,12.0,181.5
137,2000.0,10.0,182.1
138,2000.0,8.0,180.3
139,2000.0,6.0,179.2
140,2000.0,4.0,177.8
141,2000.0,2.0,176.1
142,1999.0,12.0,174.4
143,1999.0,10.0,174.7
144,1999.0,8.0,173.4
145,1999.0,6.0,172.7
146,1999.0,4.0,172.2
147,1999.0,2.0,170.6
148,1998.0,12.0,169.4
149,1998.0,10.0,169.3
150,1998.0,8.0,168.5
151,1998.0,6.0,167.5
152,1998.0,4.0,166.4
153,1998.0,2.0,166.5
154,1997.0,12.0,165.0
155,1986.0,12.0,106.8
156,1986.0,11.0,106.9
157,1986.0,9.0,107.0
158,1986.0,7.0,106.2
159,1986.0,5.0,106.1
160,1986.0,3.0,106.6
161,1986.0,1.0,107.3
162,1985.0,11.0,106.3
163,1985.0,9.0,105.6
164,1985.0,7.0,105.6
165,1985.0,5.0,105.3
166,1985.0,3.0,105.4
