,Year,Month,Value
0,2023.0,7.0,307.701
1,2023.0,5.0,308.473
2,2023.0,3.0,307.783
3,2023.0,1.0,309.141
4,2022.0,11.0,304.207
5,2022.0,9.0,299.309
6,2022.0,7.0,301.239
7,2022.0,5.0,295.51
8,2022.0,3.0,290.945
9,2022.0,1.0,290.255
10,2021.0,11.0,284.238
11,2021.0,9.0,281.734
12,2021.0,7.0,276.611
13,2021.0,5.0,272.558
14,2021.0,3.0,271.408
15,2021.0,1.0,271.96
16,2020.0,11.0,269.26
17,2020.0,9.0,271.655
18,2020.0,7.0,268.037
19,2020.0,5.0,268.742
20,2020.0,3.0,261.802
21,2020.0,1.0,260.038
22,2019.0,11.0,258.986
23,2019.0,9.0,257.869
24,2019.0,7.0,258.656
25,2019.0,5.0,260.09
26,2019.0,3.0,258.26
27,2019.0,1.0,256.943
28,2018.0,11.0,252.996
29,2018.0,9.0,252.779
30,2018.0,7.0,252.15
31,2018.0,5.0,253.749
32,2018.0,3.0,251.712
33,2018.0,1.0,251.896
34,2017.0,11.0,251.061
35,2017.0,9.0,251.559
36,2017.0,7.0,249.409
37,2017.0,5.0,250.342
38,2017.0,3.0,247.724
39,2017.0,1.0,249.419
40,2016.0,11.0,248.797
41,2016.0,9.0,247.376
42,2016.0,7.0,247.761
43,2016.0,5.0,247.693
44,2016.0,3.0,247.343
45,2016.0,1.0,246.158
46,2015.0,11.0,247.032
47,2015.0,9.0,247.178
48,2015.0,7.0,243.202
49,2015.0,5.0,244.86
50,2015.0,3.0,243.427
51,2015.0,1.0,244.928
52,2014.0,11.0,244.163
53,2014.0,9.0,241.915
54,2014.0,7.0,242.907
55,2014.0,5.0,243.024
56,2014.0,3.0,239.82
57,2014.0,1.0,242.519
58,2013.0,11.0,237.998
59,2013.0,9.0,240.179
60,2013.0,7.0,237.717
61,2013.0,5.0,238.671
62,2013.0,3.0,237.829
63,2013.0,1.0,237.66
64,2012.0,11.0,238.031
65,2012.0,9.0,236.508
66,2012.0,7.0,234.245
67,2012.0,5.0,235.362
68,2012.0,3.0,236.041
69,2012.0,1.0,235.381
70,2011.0,11.0,233.239
71,2011.0,9.0,232.715
72,2011.0,7.0,231.142
73,2011.0,5.0,230.898
74,2011.0,3.0,229.04
75,2011.0,1.0,227.137
76,2010.0,11.0,222.311
77,2010.0,9.0,222.891
78,2010.0,7.0,218.104
79,2010.0,5.0,220.878
80,2010.0,3.0,221.012
81,2010.0,1.0,221.908
82,2009.0,11.0,221.455
83,2009.0,9.0,221.627
84,2009.0,7.0,220.238
85,2009.0,5.0,220.827
86,2009.0,3.0,222.566
87,2009.0,1.0,221.529
88,2008.0,11.0,220.461
89,2008.0,9.0,221.446
90,2008.0,7.0,218.637
91,2008.0,5.0,215.399
92,2008.0,3.0,214.676
93,2008.0,1.0,212.946
94,2007.0,11.0,210.604
95,2007.0,9.0,210.267
96,2007.0,7.0,207.433
97,2007.0,5.0,206.014
98,2007.0,3.0,205.03
99,2007.0,1.0,202.956
100,2006.0,11.0,201.5
101,2006.0,9.0,200.6
102,2006.0,7.0,200.7
103,2006.0,5.0,199.2
104,2006.0,3.0,198.1
105,2006.0,1.0,197.9
106,2005.0,11.0,197.8
107,2005.0,9.0,194.9
108,2005.0,7.0,193.8
109,2005.0,5.0,192.2
110,2005.0,3.0,191.8
111,2005.0,1.0,190.2
112,2004.0,11.0,191.4
113,2004.0,9.0,189.5
114,2004.0,7.0,190.3
115,2004.0,5.0,190.1
116,2004.0,3.0,186.8
117,2004.0,1.0,186.8
118,2003.0,11.0,184.2
119,2003.0,9.0,182.4
120,2003.0,7.0,181.4
121,2003.0,5.0,177.7
122,2003.0,3.0,176.5
123,2003.0,1.0,176.9
124,2002.0,11.0,176.0
125,2002.0,9.0,176.4
126,2002.0,7.0,175.3
127,2002.0,5.0,175.3
128,2002.0,3.0,174.4
129,2002.0,1.0,172.3
130,2001.0,11.0,171.7
131,2001.0,9.0,171.8
132,2001.0,7.0,170.8
133,2001.0,5.0,169.3
134,2001.0,3.0,167.6
135,2001.0,1.0,166.3
136,2000.0,11.0,165.1
137,2000.0,9.0,166.2
138,2000.0,7.0,166.0
139,2000.0,5.0,165.3
140,2000.0,3.0,163.0
141,2000.0,1.0,162.7
142,1999.0,11.0,161.7
143,1999.0,9.0,160.4
144,1999.0,7.0,159.6
145,1999.0,5.0,161.4
146,1999.0,3.0,159.6
147,1999.0,1.0,160.8
148,1998.0,11.0,159.4
149,1998.0,9.0,158.0
150,1998.0,7.0,157.1
151,1998.0,5.0,159.1
152,1998.0,3.0,157.0
153,1998.0,1.0,158.6
