,Year,Month,Value
0,2023.0,7.0,305.326
1,2023.0,5.0,305.346
2,2023.0,3.0,303.052
3,2023.0,1.0,299.284
4,2022.0,11.0,293.347
5,2022.0,9.0,295.451
6,2022.0,7.0,292.93
7,2022.0,5.0,283.828
8,2022.0,3.0,276.168
9,2022.0,1.0,273.88
10,2021.0,11.0,267.397
11,2021.0,9.0,264.203
12,2021.0,7.0,261.578
13,2021.0,5.0,258.555
14,2021.0,3.0,253.114
15,2021.0,1.0,255.223
16,2020.0,11.0,256.023
17,2020.0,9.0,255.698
18,2020.0,7.0,254.963
19,2020.0,5.0,252.695
20,2020.0,3.0,248.649
21,2020.0,1.0,247.322
22,2019.0,11.0,246.474
23,2019.0,9.0,244.714
24,2019.0,7.0,241.567
25,2019.0,5.0,241.229
26,2019.0,3.0,240.244
27,2019.0,1.0,239.967
28,2018.0,11.0,238.114
29,2018.0,9.0,240.175
30,2018.0,7.0,238.84
31,2018.0,5.0,239.776
32,2018.0,3.0,240.644
33,2018.0,1.0,237.612
34,2017.0,11.0,234.003
35,1986.0,12.0,107.6
36,1986.0,11.0,107.9
37,1986.0,9.0,108.2
38,1986.0,7.0,105.7
39,1986.0,5.0,104.9
40,1986.0,3.0,107.0
41,1986.0,1.0,107.9
42,1985.0,11.0,105.5
43,1985.0,9.0,105.6
44,1985.0,7.0,107.0
45,1985.0,5.0,105.8
46,1985.0,3.0,107.7
47,1985.0,1.0,105.1
48,1984.0,11.0,104.7
49,1984.0,9.0,105.2
50,1984.0,7.0,104.9
51,1984.0,5.0,104.0
52,1984.0,3.0,104.3
53,1984.0,1.0,102.8
54,1983.0,11.0,100.7
55,1983.0,9.0,99.9
56,1983.0,7.0,99.6
57,1983.0,5.0,100.1
58,1983.0,3.0,97.9
59,1983.0,1.0,97.0
60,1982.0,11.0,96.7
61,1982.0,9.0,96.5
62,1982.0,7.0,96.6
63,1982.0,5.0,96.0
64,1982.0,3.0,95.7
65,1982.0,1.0,95.1
66,1981.0,11.0,94.0
67,1981.0,9.0,94.9
68,1981.0,7.0,94.5
69,1981.0,5.0,93.1
70,1981.0,3.0,92.2
71,1981.0,1.0,91.0
72,1980.0,11.0,90.3
73,1980.0,9.0,89.6
74,1980.0,7.0,86.3
75,1980.0,5.0,84.3
76,1980.0,3.0,82.6
77,1980.0,1.0,82.1
78,1979.0,11.0,84.0
79,1979.0,9.0,83.5
80,1979.0,7.0,84.6
81,1979.0,5.0,83.9
82,1979.0,3.0,83.0
83,1979.0,1.0,80.7
84,1978.0,11.0,77.6
85,1978.0,9.0,76.5
86,1978.0,7.0,76.5
87,1978.0,5.0,75.2
88,1978.0,3.0,72.9
89,1978.0,1.0,71.2
90,1977.0,12.0,70.3
91,1977.0,11.0,69.7
92,1977.0,10.0,69.0
93,1977.0,9.0,69.8
94,1977.0,8.0,70.2
95,1977.0,7.0,70.4
96,1977.0,6.0,70.4
97,1977.0,5.0,70.1
98,1977.0,4.0,69.5
99,1977.0,3.0,67.5
100,1977.0,2.0,67.0
101,1977.0,1.0,65.5
102,1976.0,10.0,64.2
103,1976.0,7.0,64.0
104,1976.0,4.0,62.6
105,1976.0,1.0,63.3
106,1975.0,10.0,62.9
107,1975.0,7.0,63.7
108,1975.0,4.0,60.5
109,1975.0,1.0,60.2
110,1974.0,10.0,58.4
111,1974.0,7.0,55.8
112,1974.0,4.0,55.7
113,1974.0,1.0,53.3
114,1973.0,10.0,51.7
115,1973.0,7.0,49.5
116,1973.0,4.0,48.1
117,1973.0,1.0,44.8
118,1972.0,10.0,43.4
119,1972.0,7.0,43.4
120,1972.0,4.0,42.6
121,1972.0,1.0,41.7
122,1971.0,10.0,40.9
123,1971.0,7.0,41.2
124,1971.0,4.0,40.1
125,1971.0,1.0,39.3
