,Year,Month,Value
0,2017.0,12.0,257.669
1,2017.0,11.0,256.505
2,2017.0,10.0,256.111
3,2017.0,9.0,257.052
4,2017.0,8.0,255.877
5,2017.0,7.0,256.524
6,2017.0,6.0,255.158
7,2017.0,5.0,255.493
8,2017.0,4.0,254.444
9,2017.0,3.0,254.82
10,2017.0,2.0,253.592
11,2017.0,1.0,253.236
12,2016.0,12.0,251.864
13,2016.0,11.0,250.881
14,2016.0,10.0,251.921
15,2016.0,9.0,250.961
16,2016.0,8.0,250.771
17,2016.0,7.0,251.326
18,2016.0,6.0,251.154
19,2016.0,5.0,250.598
20,2016.0,4.0,251.963
21,2016.0,3.0,252.276
22,2016.0,2.0,253.784
23,2016.0,1.0,252.083
24,2015.0,12.0,249.838
25,2015.0,11.0,251.968
26,2015.0,10.0,251.648
27,2015.0,9.0,250.499
28,2015.0,8.0,249.024
29,2015.0,7.0,249.521
30,2015.0,6.0,247.716
31,2015.0,5.0,247.421
32,2015.0,4.0,249.248
33,2015.0,3.0,248.534
34,2015.0,2.0,249.082
35,2015.0,1.0,249.162
36,2014.0,12.0,248.592
37,2014.0,11.0,248.145
38,2014.0,10.0,247.37
39,2014.0,9.0,246.723
40,2014.0,8.0,246.262
41,2014.0,7.0,245.186
42,2014.0,6.0,244.422
43,2014.0,5.0,243.937
44,2014.0,4.0,243.144
45,2014.0,3.0,242.032
46,2014.0,2.0,240.59
47,2014.0,1.0,240.319
48,2013.0,12.0,239.579
49,2013.0,11.0,239.405
50,2013.0,10.0,240.224
51,2013.0,9.0,239.938
52,2013.0,8.0,238.261
53,2013.0,7.0,237.666
54,2013.0,6.0,239.109
55,2013.0,5.0,238.052
56,2013.0,4.0,238.632
57,2013.0,3.0,238.272
58,2013.0,2.0,238.421
59,2013.0,1.0,239.922
60,2012.0,12.0,238.646
61,2012.0,11.0,238.107
62,2012.0,10.0,237.41
63,2012.0,9.0,236.959
64,2012.0,8.0,236.897
65,2012.0,7.0,236.422
66,2012.0,6.0,236.635
67,2012.0,5.0,236.08
68,2012.0,4.0,237.312
69,2012.0,3.0,236.743
70,2012.0,2.0,235.549
71,2012.0,1.0,235.146
72,2011.0,12.0,235.548
73,2011.0,11.0,235.771
74,2011.0,10.0,234.636
75,2011.0,9.0,234.215
76,2011.0,8.0,233.069
77,2011.0,7.0,230.961
78,2011.0,6.0,231.551
79,2011.0,5.0,231.797
80,2011.0,4.0,231.811
81,2011.0,3.0,230.106
82,2011.0,2.0,228.469
83,2011.0,1.0,227.591
84,2010.0,12.0,225.7
85,2010.0,11.0,224.057
86,2010.0,10.0,224.786
87,2010.0,9.0,223.093
88,2010.0,8.0,221.989
89,2010.0,7.0,222.472
90,2010.0,6.0,222.992
91,2010.0,5.0,223.701
92,2010.0,4.0,223.146
93,2010.0,3.0,222.06
94,2010.0,2.0,221.281
95,2010.0,1.0,222.549
96,2009.0,12.0,220.233
97,2009.0,11.0,219.628
98,2009.0,10.0,221.452
99,2009.0,9.0,220.258
100,2009.0,8.0,220.597
101,2009.0,7.0,221.264
102,2009.0,6.0,222.14
103,2009.0,5.0,222.935
104,2009.0,4.0,222.774
105,2009.0,3.0,222.793
106,2009.0,2.0,224.098
107,2009.0,1.0,222.992
108,2008.0,12.0,223.501
109,2008.0,11.0,222.686
110,2008.0,10.0,222.989
111,2008.0,9.0,223.445
112,2008.0,8.0,221.756
113,2008.0,7.0,220.667
114,2008.0,6.0,218.816
115,2008.0,5.0,217.976
116,2008.0,4.0,215.876
117,2008.0,3.0,215.662
118,2008.0,2.0,216.167
119,2008.0,1.0,216.398
120,2007.0,12.0,212.923
121,2007.0,11.0,212.127
122,2007.0,10.0,211.542
123,2007.0,9.0,210.729
124,2007.0,8.0,210.377
125,2007.0,7.0,208.303
126,2007.0,6.0,208.947
127,2007.0,5.0,210.215
128,2007.0,4.0,209.472
129,2007.0,3.0,208.655
130,2007.0,2.0,209.166
131,2007.0,1.0,206.384
132,2006.0,12.0,202.8
133,2006.0,11.0,203.4
134,2006.0,10.0,204.8
135,2006.0,9.0,205.1
136,2006.0,8.0,202.4
137,2006.0,7.0,201.3
138,2006.0,6.0,202.1
139,2006.0,5.0,201.8
140,2006.0,4.0,202.0
141,2006.0,3.0,201.5
142,2006.0,2.0,201.7
143,2006.0,1.0,199.4
144,2005.0,12.0,200.4
145,2005.0,11.0,199.9
146,2005.0,10.0,200.8
147,2005.0,9.0,199.3
148,2005.0,8.0,198.8
149,2005.0,7.0,198.2
150,2005.0,6.0,197.5
151,2005.0,5.0,199.0
152,2005.0,4.0,197.8
153,2005.0,3.0,195.7
154,2005.0,2.0,195.0
155,2005.0,1.0,194.8
156,2004.0,12.0,194.2
