,Year,Month,Value
0,2023.0,8.0,332.496
1,2023.0,7.0,332.929
2,2023.0,6.0,332.95
3,2023.0,5.0,331.137
4,2023.0,4.0,333.502
5,2023.0,3.0,332.515
6,2023.0,2.0,330.955
7,2023.0,1.0,330.715
8,2022.0,12.0,328.103
9,2022.0,11.0,327.358
10,2022.0,10.0,324.816
11,2022.0,9.0,322.838
12,2022.0,8.0,322.899
13,2022.0,7.0,321.624
14,2022.0,6.0,315.948
15,2022.0,5.0,314.914
16,2022.0,4.0,312.658
17,2022.0,3.0,307.94
18,2022.0,2.0,307.079
19,2022.0,1.0,305.12
20,2021.0,12.0,302.121
21,2021.0,11.0,301.334
22,2021.0,10.0,299.049
23,2021.0,9.0,297.658
24,2021.0,8.0,293.132
25,2021.0,7.0,291.792
26,2021.0,6.0,289.528
27,2021.0,5.0,287.277
28,2021.0,4.0,287.25
29,2021.0,3.0,285.064
30,2021.0,2.0,284.173
31,2021.0,1.0,283.787
32,2020.0,12.0,283.892
33,2020.0,11.0,283.049
34,2020.0,10.0,283.504
35,2020.0,9.0,282.165
36,2020.0,8.0,282.44
37,2020.0,7.0,282.301
38,2020.0,6.0,284.462
39,2020.0,5.0,284.654
40,2020.0,4.0,281.38
41,2020.0,3.0,274.371
42,2020.0,2.0,274.12
43,2020.0,1.0,274.07
44,2019.0,12.0,272.678
45,2019.0,11.0,271.226
46,2019.0,10.0,273.37
47,2019.0,9.0,272.104
48,2019.0,8.0,271.882
49,2019.0,7.0,270.351
50,2019.0,6.0,271.257
51,2019.0,5.0,269.643
52,2019.0,4.0,270.294
53,2019.0,3.0,270.756
54,2019.0,2.0,270.046
55,2019.0,1.0,269.865
56,2018.0,12.0,268.381
57,2018.0,11.0,267.775
58,2018.0,10.0,267.978
59,2018.0,9.0,269.323
60,2018.0,8.0,267.423
61,2018.0,7.0,267.302
62,2018.0,6.0,266.74
63,2018.0,5.0,266.126
64,2018.0,4.0,265.777
65,2018.0,3.0,263.802
66,2018.0,2.0,264.022
67,2018.0,1.0,263.302
68,2017.0,12.0,262.646
69,2017.0,11.0,262.244
