,Year,Month,Value
0,2023.0,8.0,383.221
1,2023.0,7.0,382.226
2,2023.0,6.0,380.594
3,2023.0,5.0,378.776
4,2023.0,4.0,376.636
5,2023.0,3.0,374.971
6,2023.0,2.0,372.51
7,2023.0,1.0,369.585
8,2022.0,12.0,366.868
9,2022.0,11.0,364.195
10,2022.0,10.0,362.093
11,2022.0,9.0,359.704
12,2022.0,8.0,357.264
13,2022.0,7.0,354.935
14,2022.0,6.0,352.967
15,2022.0,5.0,350.58
16,2022.0,4.0,348.389
17,2022.0,3.0,346.618
18,2022.0,2.0,344.607
19,2022.0,1.0,342.604
20,2021.0,12.0,341.241
21,2021.0,11.0,339.997
22,2021.0,10.0,338.671
23,2021.0,9.0,337.451
24,2021.0,8.0,336.284
25,2021.0,7.0,335.812
26,2021.0,6.0,334.222
27,2021.0,5.0,332.454
28,2021.0,4.0,331.354
29,2021.0,3.0,330.122
30,2021.0,2.0,329.005
31,2021.0,1.0,328.282
32,2020.0,12.0,327.702
33,2020.0,11.0,327.435
34,2020.0,10.0,327.273
35,2020.0,9.0,327.116
36,2020.0,8.0,326.997
37,2020.0,7.0,326.58
38,2020.0,6.0,325.814
39,2020.0,5.0,325.265
40,2020.0,4.0,324.522
41,2020.0,3.0,324.615
42,2020.0,2.0,324.254
43,2020.0,1.0,323.053
44,2019.0,12.0,321.766
45,2019.0,11.0,321.267
46,2019.0,10.0,320.762
47,2019.0,9.0,320.569
48,2019.0,8.0,319.679
49,2019.0,7.0,319.136
50,2019.0,6.0,318.3
51,2019.0,5.0,317.188
52,2019.0,4.0,316.263
53,2019.0,3.0,315.135
54,2019.0,2.0,313.88
55,2019.0,1.0,312.696
56,2018.0,12.0,311.652
57,2018.0,11.0,310.95
58,2018.0,10.0,310.382
59,2018.0,9.0,309.702
60,2018.0,8.0,309.296
61,2018.0,7.0,308.393
62,2018.0,6.0,307.521
63,2018.0,5.0,306.913
64,2018.0,4.0,305.716
65,2018.0,3.0,304.847
66,2018.0,2.0,303.653
67,2018.0,1.0,302.928
68,2017.0,12.0,301.985
69,2017.0,11.0,301.185
70,2017.0,10.0,300.846
71,2017.0,9.0,299.844
72,2017.0,8.0,299.157
73,2017.0,7.0,297.919
74,2017.0,6.0,297.446
75,2017.0,5.0,296.503
76,2017.0,4.0,295.706
77,2017.0,3.0,295.044
78,2017.0,2.0,294.444
79,2017.0,1.0,293.56
80,2016.0,12.0,292.612
81,2016.0,11.0,291.953
82,2016.0,10.0,291.407
83,2016.0,9.0,290.445
84,2016.0,8.0,289.605
85,2016.0,7.0,288.78
86,2016.0,6.0,288.069
87,2016.0,5.0,286.924
88,2016.0,4.0,285.836
89,2016.0,3.0,285.196
90,2016.0,2.0,284.435
91,2016.0,1.0,283.498
92,2015.0,12.0,282.394
93,2015.0,11.0,281.932
94,2015.0,10.0,281.499
95,2015.0,9.0,280.814
96,2015.0,8.0,280.093
97,2015.0,7.0,279.559
98,2015.0,6.0,278.461
99,2015.0,5.0,277.563
100,2015.0,4.0,276.978
101,2015.0,3.0,276.36
102,2015.0,2.0,275.39
103,2015.0,1.0,274.589
104,2014.0,12.0,273.598
105,2014.0,11.0,273.233
106,2014.0,10.0,272.788
107,2014.0,9.0,272.165
108,2014.0,8.0,271.675
109,2014.0,7.0,271.115
110,2014.0,6.0,270.314
111,2014.0,5.0,269.766
112,2014.0,4.0,268.899
113,2014.0,3.0,268.431
114,2014.0,2.0,267.418
115,2014.0,1.0,266.754
116,2013.0,12.0,265.881
117,2013.0,11.0,265.31
118,2013.0,10.0,264.719
119,2013.0,9.0,264.344
120,2013.0,8.0,264.024
121,2013.0,7.0,263.451
122,2013.0,6.0,262.907
123,2013.0,5.0,262.289
124,2013.0,4.0,261.655
125,2013.0,3.0,261.33
126,2013.0,2.0,260.72
127,2013.0,1.0,260.039
128,2012.0,12.0,259.298
129,2012.0,11.0,258.999
130,2012.0,10.0,258.829
131,2012.0,9.0,258.252
132,2012.0,8.0,257.843
133,2012.0,7.0,257.409
134,2012.0,6.0,256.95
135,2012.0,5.0,256.442
136,2012.0,4.0,256.031
137,2012.0,3.0,255.609
138,2012.0,2.0,254.931
139,2012.0,1.0,254.409
140,2011.0,12.0,253.716
141,2011.0,11.0,253.312
142,2011.0,10.0,253.101
143,2011.0,9.0,252.647
144,2011.0,8.0,252.546
145,2011.0,7.0,252.155
146,2011.0,6.0,251.422
147,2011.0,5.0,250.745
148,2011.0,4.0,250.447
149,2011.0,3.0,250.31
150,2011.0,2.0,249.886
151,2011.0,1.0,249.462
152,2010.0,12.0,248.972
153,2010.0,11.0,248.738
154,2010.0,10.0,248.646
155,2010.0,9.0,248.522
156,2010.0,8.0,248.595
157,2010.0,7.0,248.677
158,2010.0,6.0,248.47
159,2010.0,5.0,248.1
