,Year,Month,Value
0,2023.0,8.0,380.334
1,2023.0,7.0,377.786
2,2023.0,6.0,377.315
3,2023.0,5.0,376.936
4,2023.0,4.0,373.835
5,2023.0,3.0,373.375
6,2023.0,2.0,370.347
7,2023.0,1.0,367.096
8,2022.0,12.0,366.83
9,2022.0,11.0,365.269
10,2022.0,10.0,361.814
11,2022.0,9.0,361.367
12,2022.0,8.0,359.443
13,2022.0,7.0,359.902
14,2022.0,6.0,358.18
15,2022.0,5.0,357.027
16,2022.0,4.0,355.432
17,2022.0,3.0,354.604
18,2022.0,2.0,352.173
19,2022.0,1.0,351.198
20,2021.0,12.0,350.752
21,2021.0,11.0,350.199
22,2021.0,10.0,348.931
23,2021.0,9.0,348.438
24,2021.0,8.0,345.876
25,2021.0,7.0,344.851
26,2021.0,6.0,344.241
27,2021.0,5.0,343.512
28,2021.0,4.0,345.045
29,2021.0,3.0,344.838
30,2021.0,2.0,344.499
31,2021.0,1.0,344.056
32,2020.0,12.0,342.296
33,2020.0,11.0,343.341
34,2020.0,10.0,342.475
35,2020.0,9.0,341.944
36,2020.0,8.0,342.122
37,2020.0,7.0,340.344
38,2020.0,6.0,338.974
39,2020.0,5.0,340.432
40,2020.0,4.0,339.083
41,2020.0,3.0,336.903
42,2020.0,2.0,338.262
43,2020.0,1.0,338.393
44,2019.0,12.0,336.35
45,2019.0,11.0,336.001
46,2019.0,10.0,335.266
47,2019.0,9.0,336.338
48,2019.0,8.0,333.438
49,2019.0,7.0,332.426
50,2019.0,6.0,333.308
51,2019.0,5.0,332.978
52,2019.0,4.0,332.956
53,2019.0,3.0,332.881
54,2019.0,2.0,330.329
55,2019.0,1.0,330.803
56,2018.0,12.0,329.31
57,2018.0,11.0,330.214
58,2018.0,10.0,331.0
59,2018.0,9.0,333.0
60,2018.0,8.0,329.575
61,2018.0,7.0,329.436
62,2018.0,6.0,329.151
63,2018.0,5.0,328.186
64,2018.0,4.0,327.843
65,2018.0,3.0,327.426
66,2018.0,2.0,326.815
67,2018.0,1.0,326.513
68,2017.0,12.0,324.935
69,2017.0,11.0,325.485
70,2017.0,10.0,324.563
71,2017.0,9.0,324.568
72,2017.0,8.0,321.54
73,2017.0,7.0,320.595
74,2017.0,6.0,322.569
75,2017.0,5.0,320.965
76,2017.0,4.0,320.745
77,2017.0,3.0,321.426
78,2017.0,2.0,322.246
79,2017.0,1.0,319.501
80,2016.0,12.0,319.395
81,2016.0,11.0,319.916
82,2016.0,10.0,319.722
83,2016.0,9.0,319.339
84,2016.0,8.0,319.474
85,2016.0,7.0,319.154
86,2016.0,6.0,319.134
87,2016.0,5.0,320.012
88,2016.0,4.0,319.346
89,2016.0,3.0,318.052
90,2016.0,2.0,315.911
91,2016.0,1.0,314.895
92,2015.0,12.0,314.176
93,2015.0,11.0,314.523
94,2015.0,10.0,314.009
95,2015.0,9.0,312.429
96,2015.0,8.0,312.398
97,2015.0,7.0,312.107
98,2015.0,6.0,311.633
99,2015.0,5.0,310.828
100,2015.0,4.0,310.413
101,2015.0,3.0,309.826
102,2015.0,2.0,308.338
103,2015.0,1.0,308.338
104,2014.0,12.0,306.585
105,2014.0,11.0,307.939
106,2014.0,10.0,304.026
107,2014.0,9.0,303.907
108,2014.0,8.0,303.304
109,2014.0,7.0,302.694
110,2014.0,6.0,302.222
111,2014.0,5.0,301.614
112,2014.0,4.0,301.577
113,2014.0,3.0,301.951
114,2014.0,2.0,300.519
115,2014.0,1.0,300.493
116,2013.0,12.0,299.636
117,2013.0,11.0,299.302
118,2013.0,10.0,298.657
119,2013.0,9.0,297.114
120,2013.0,8.0,296.9
121,2013.0,7.0,296.606
122,2013.0,6.0,296.402
123,2013.0,5.0,297.014
124,2013.0,4.0,296.697
125,2013.0,3.0,296.593
126,2013.0,2.0,297.345
127,2013.0,1.0,296.414
128,2012.0,12.0,294.623
129,2012.0,11.0,293.72
130,2012.0,10.0,293.527
131,2012.0,9.0,293.231
132,2012.0,8.0,291.752
133,2012.0,7.0,291.065
134,2012.0,6.0,290.853
135,2012.0,5.0,289.553
136,2012.0,4.0,289.367
137,2012.0,3.0,288.265
138,2012.0,2.0,287.876
139,2012.0,1.0,286.827
140,2011.0,12.0,285.005
141,2011.0,11.0,284.387
142,2011.0,10.0,284.313
143,2011.0,9.0,283.545
144,2011.0,8.0,282.413
145,2011.0,7.0,281.925
146,2011.0,6.0,279.918
147,2011.0,5.0,279.151
148,2011.0,4.0,279.282
149,2011.0,3.0,279.655
150,2011.0,2.0,279.246
151,2011.0,1.0,278.158
152,2010.0,12.0,277.201
153,2010.0,11.0,276.873
154,2010.0,10.0,276.196
155,2010.0,9.0,275.766
156,2010.0,8.0,275.273
157,2010.0,7.0,274.102
158,2010.0,6.0,272.992
159,2010.0,5.0,272.828
160,2010.0,4.0,273.198
161,2010.0,3.0,271.689
162,2010.0,2.0,271.665
163,2010.0,1.0,270.611
164,2009.0,12.0,270.532
165,2009.0,11.0,270.394
166,2009.0,10.0,272.483
167,2009.0,9.0,272.033
168,2009.0,8.0,272.979
169,2009.0,7.0,271.934
170,2009.0,6.0,271.97
171,2009.0,5.0,270.68
172,2009.0,4.0,269.212
173,2009.0,3.0,269.84
174,2009.0,2.0,269.674
175,2009.0,1.0,268.744
176,2008.0,12.0,266.529
177,2008.0,11.0,267.394
178,2008.0,10.0,267.53
179,2008.0,9.0,267.802
180,2008.0,8.0,269.168
181,2008.0,7.0,268.579
182,2008.0,6.0,266.447
183,2008.0,5.0,264.833
184,2008.0,4.0,264.471
185,2008.0,3.0,263.715
186,2008.0,2.0,262.424
187,2008.0,1.0,262.322
188,2007.0,12.0,259.864
189,2007.0,11.0,258.656
190,2007.0,10.0,258.336
191,2007.0,9.0,258.309
192,2007.0,8.0,260.211
193,2007.0,7.0,260.178
194,2007.0,6.0,256.807
195,2007.0,5.0,255.953
196,2007.0,4.0,255.082
197,2007.0,3.0,256.81
198,2007.0,2.0,254.646
199,2007.0,1.0,253.399
200,2006.0,12.0,252.1
201,2006.0,11.0,251.3
202,2006.0,10.0,249.5
203,2006.0,9.0,248.1
204,2006.0,8.0,250.5
205,2006.0,7.0,249.8
206,2006.0,6.0,247.3
207,2006.0,5.0,244.4
208,2006.0,4.0,243.3
209,2006.0,3.0,241.9
210,2006.0,2.0,240.0
211,2006.0,1.0,239.4
212,2005.0,12.0,237.3
213,2005.0,11.0,236.7
214,2005.0,10.0,235.2
215,2005.0,9.0,234.3
216,2005.0,8.0,239.8
217,2005.0,7.0,239.2
218,2005.0,6.0,238.4
219,2005.0,5.0,236.9
220,2005.0,4.0,236.4
221,2005.0,3.0,235.8
222,2005.0,2.0,235.2
223,2005.0,1.0,234.5
224,2004.0,12.0,231.8
225,2004.0,11.0,230.6
226,2004.0,10.0,229.6
227,2004.0,9.0,229.4
228,2004.0,8.0,228.0
229,2004.0,7.0,227.4
230,2004.0,6.0,227.0
231,2004.0,5.0,226.7
232,2004.0,4.0,226.5
233,2004.0,3.0,225.5
234,2004.0,2.0,224.4
235,2004.0,1.0,223.2
236,2003.0,12.0,222.8
237,2003.0,11.0,222.7
238,2003.0,10.0,221.7
239,2003.0,9.0,218.7
240,2003.0,8.0,220.1
241,2003.0,7.0,219.8
242,2003.0,6.0,218.3
243,2003.0,5.0,218.4
244,2003.0,4.0,218.8
245,2003.0,3.0,217.5
246,2003.0,2.0,216.7
247,2003.0,1.0,215.3
248,2002.0,12.0,215.3
249,2002.0,11.0,214.5
250,2002.0,10.0,214.1
251,2002.0,9.0,212.6
252,2002.0,8.0,212.7
253,2002.0,7.0,211.7
254,2002.0,6.0,211.8
255,2002.0,5.0,210.4
256,2002.0,4.0,206.8
257,2002.0,3.0,208.9
258,2002.0,2.0,209.5
259,2002.0,1.0,206.4
260,2001.0,12.0,204.2
261,2001.0,11.0,203.4
262,2001.0,10.0,202.9
263,2001.0,9.0,202.4
264,2001.0,8.0,201.4
265,2001.0,7.0,199.9
266,2001.0,6.0,200.0
267,2001.0,5.0,197.8
268,2001.0,4.0,198.3
269,2001.0,3.0,198.0
270,2001.0,2.0,196.8
271,2001.0,1.0,196.6
272,2000.0,12.0,193.5
273,2000.0,11.0,192.5
274,2000.0,10.0,191.8
275,2000.0,9.0,191.6
276,2000.0,8.0,191.1
277,2000.0,7.0,190.1
278,2000.0,6.0,189.8
279,2000.0,5.0,188.2
280,2000.0,4.0,188.4
281,2000.0,3.0,188.6
282,2000.0,2.0,186.0
283,2000.0,1.0,185.5
284,1999.0,12.0,184.9
285,1999.0,11.0,185.0
286,1999.0,10.0,184.8
287,1999.0,9.0,184.8
288,1999.0,8.0,185.1
289,1999.0,7.0,183.9
290,1999.0,6.0,182.4
291,1999.0,5.0,181.4
292,1999.0,4.0,182.6
293,1999.0,3.0,182.0
294,1999.0,2.0,181.6
295,1999.0,1.0,180.5
296,1998.0,12.0,179.6
297,1998.0,11.0,179.9
298,1998.0,10.0,179.3
299,1998.0,9.0,179.5
300,1998.0,8.0,180.0
301,1998.0,7.0,178.8
302,1998.0,6.0,178.5
303,1998.0,5.0,176.8
304,1998.0,4.0,178.2
305,1998.0,3.0,176.9
306,1998.0,2.0,176.1
307,1998.0,1.0,175.0
