,Year,Month,Value
0,2017.0,12.0,336.552
1,2017.0,11.0,335.881
2,2017.0,10.0,335.768
3,2017.0,9.0,333.103
4,2017.0,8.0,332.242
5,2017.0,7.0,330.223
6,2017.0,6.0,328.422
7,2017.0,5.0,328.269
8,2017.0,4.0,327.432
9,2017.0,3.0,327.75
10,2017.0,2.0,327.217
11,2017.0,1.0,325.595
12,2016.0,12.0,322.695
13,2016.0,11.0,321.725
14,2016.0,10.0,320.795
15,2016.0,9.0,319.854
16,2016.0,8.0,318.65
17,2016.0,7.0,317.028
18,2016.0,6.0,315.521
19,2016.0,5.0,314.443
20,2016.0,4.0,312.811
21,2016.0,3.0,312.834
22,2016.0,2.0,310.774
23,2016.0,1.0,309.527
24,2015.0,12.0,307.81
25,2015.0,11.0,306.503
26,2015.0,10.0,305.625
27,2015.0,9.0,304.641
28,2015.0,8.0,304.185
29,2015.0,7.0,303.424
30,2015.0,6.0,302.387
31,2015.0,5.0,301.386
32,2015.0,4.0,300.314
33,2015.0,3.0,299.897
34,2015.0,2.0,298.537
35,2015.0,1.0,297.583
36,2014.0,12.0,296.369
37,2014.0,11.0,295.807
38,2014.0,10.0,295.041
39,2014.0,9.0,294.404
40,2014.0,8.0,293.381
41,2014.0,7.0,292.819
42,2014.0,6.0,290.746
43,2014.0,5.0,290.233
44,2014.0,4.0,290.024
45,2014.0,3.0,289.55
46,2014.0,2.0,289.436
47,2014.0,1.0,288.598
48,2013.0,12.0,287.854
49,2013.0,11.0,287.312
50,2013.0,10.0,287.706
51,2013.0,9.0,287.035
52,2013.0,8.0,286.46
53,2013.0,7.0,285.58
54,2013.0,6.0,285.473
55,2013.0,5.0,284.86
56,2013.0,4.0,283.952
57,2013.0,3.0,283.613
58,2013.0,2.0,283.004
59,2013.0,1.0,282.77
60,2012.0,12.0,282.211
61,2012.0,11.0,282.023
62,2012.0,10.0,282.285
63,2012.0,9.0,281.757
64,2012.0,8.0,281.18
65,2012.0,7.0,280.883
66,2012.0,6.0,280.303
67,2012.0,5.0,279.693
68,2012.0,4.0,279.119
69,2012.0,3.0,278.572
70,2012.0,2.0,277.325
71,2012.0,1.0,276.38
72,2011.0,12.0,275.7
73,2011.0,11.0,275.254
74,2011.0,10.0,275.427
75,2011.0,9.0,275.414
76,2011.0,8.0,275.132
77,2011.0,7.0,275.157
78,2011.0,6.0,274.859
79,2011.0,5.0,274.487
80,2011.0,4.0,274.262
81,2011.0,3.0,274.073
82,2011.0,2.0,273.497
83,2011.0,1.0,273.613
84,2010.0,12.0,272.939
85,2010.0,11.0,273.438
86,2010.0,10.0,273.63
87,2010.0,9.0,273.951
88,2010.0,8.0,273.49
89,2010.0,7.0,272.453
90,2010.0,6.0,272.781
91,2010.0,5.0,272.418
92,2010.0,4.0,272.129
93,2010.0,3.0,271.823
94,2010.0,2.0,272.368
95,2010.0,1.0,271.952
96,2009.0,12.0,271.755
97,2009.0,11.0,273.188
98,2009.0,10.0,274.286
99,2009.0,9.0,275.051
100,2009.0,8.0,275.181
101,2009.0,7.0,275.827
102,2009.0,6.0,275.971
103,2009.0,5.0,276.159
104,2009.0,4.0,276.372
105,2009.0,3.0,276.356
106,2009.0,2.0,276.279
107,2009.0,1.0,275.737
108,2008.0,12.0,275.763
109,2008.0,11.0,276.043
110,2008.0,10.0,275.911
111,2008.0,9.0,275.33
112,2008.0,8.0,275.601
113,2008.0,7.0,274.526
114,2008.0,6.0,273.604
115,2008.0,5.0,272.195
116,2008.0,4.0,271.233
117,2008.0,3.0,271.427
118,2008.0,2.0,270.727
119,2008.0,1.0,269.583
120,2007.0,12.0,267.826
121,2007.0,11.0,267.437
122,2007.0,10.0,267.198
123,2007.0,9.0,267.578
124,2007.0,8.0,267.268
125,2007.0,7.0,266.802
126,2007.0,6.0,265.285
127,2007.0,5.0,264.443
128,2007.0,4.0,263.77
129,2007.0,3.0,262.144
130,2007.0,2.0,260.76
131,2007.0,1.0,257.265
132,2006.0,12.0,255.2
133,2006.0,11.0,254.4
134,2006.0,10.0,253.1
135,2006.0,9.0,252.8
136,2006.0,8.0,249.4
137,2006.0,7.0,248.1
138,2006.0,6.0,246.4
139,2006.0,5.0,248.8
140,2006.0,4.0,247.6
141,2006.0,3.0,246.0
142,2006.0,2.0,244.2
143,2006.0,1.0,242.9
144,2005.0,12.0,240.8
145,2005.0,11.0,241.2
146,2005.0,10.0,240.4
147,2005.0,9.0,238.6
148,2005.0,8.0,237.2
149,2005.0,7.0,235.4
150,2005.0,6.0,234.4
151,2005.0,5.0,234.4
152,2005.0,4.0,234.4
153,2005.0,3.0,232.7
154,2005.0,2.0,230.6
155,2005.0,1.0,228.4
156,2004.0,12.0,227.6
157,2004.0,11.0,227.4
158,2004.0,10.0,226.7
159,2004.0,9.0,225.2
160,2004.0,8.0,223.5
161,2004.0,7.0,222.5
162,2004.0,6.0,221.2
163,2004.0,5.0,221.2
164,2004.0,4.0,219.8
165,2004.0,3.0,219.6
166,2004.0,2.0,218.0
167,2004.0,1.0,216.1
168,2003.0,12.0,215.2
169,2003.0,11.0,213.9
170,2003.0,10.0,214.2
171,2003.0,9.0,212.5
172,2003.0,8.0,211.6
173,2003.0,7.0,211.1
174,2003.0,6.0,210.1
175,2003.0,5.0,210.1
176,2003.0,4.0,209.7
177,2003.0,3.0,209.9
178,2003.0,2.0,209.2
179,2003.0,1.0,209.6
180,2002.0,12.0,206.7
181,2002.0,11.0,206.2
182,2002.0,10.0,206.4
183,2002.0,9.0,204.7
184,2002.0,8.0,204.9
185,2002.0,7.0,203.5
186,2002.0,6.0,202.2
187,2002.0,5.0,202.4
188,2002.0,4.0,202.1
189,2002.0,3.0,201.0
190,2002.0,2.0,200.5
191,2002.0,1.0,198.3
192,2001.0,12.0,196.3
193,2001.0,11.0,196.1
194,2001.0,10.0,195.5
195,2001.0,9.0,195.5
196,2001.0,8.0,195.2
197,2001.0,7.0,193.9
198,2001.0,6.0,192.9
199,2001.0,5.0,191.5
200,2001.0,4.0,190.0
201,2001.0,3.0,189.6
202,2001.0,2.0,188.5
203,2001.0,1.0,188.1
204,2000.0,12.0,186.9
205,2000.0,11.0,186.6
206,2000.0,10.0,186.4
207,2000.0,9.0,185.4
208,2000.0,8.0,185.8
209,2000.0,7.0,184.2
210,2000.0,6.0,183.7
211,2000.0,5.0,183.0
212,2000.0,4.0,183.1
213,2000.0,3.0,182.9
214,2000.0,2.0,182.5
215,2000.0,1.0,181.3
216,1999.0,12.0,179.9
217,1999.0,11.0,179.6
218,1999.0,10.0,179.5
219,1999.0,9.0,179.2
220,1999.0,8.0,178.7
221,1999.0,7.0,178.5
222,1999.0,6.0,177.6
223,1999.0,5.0,176.8
224,1999.0,4.0,176.7
225,1999.0,3.0,176.3
226,1999.0,2.0,175.7
227,1999.0,1.0,175.1
228,1998.0,12.0,174.0
229,1998.0,11.0,173.8
230,1998.0,10.0,173.5
231,1998.0,9.0,173.2
232,1998.0,8.0,172.6
233,1998.0,7.0,171.9
234,1998.0,6.0,171.3
235,1998.0,5.0,171.3
236,1998.0,4.0,170.9
237,1998.0,3.0,170.6
238,1998.0,2.0,170.3
239,1998.0,1.0,169.0
240,1997.0,12.0,168.6
241,1997.0,11.0,167.8
242,1997.0,10.0,168.2
243,1997.0,9.0,167.6
244,1997.0,8.0,167.0
245,1997.0,7.0,166.7
246,1997.0,6.0,166.3
247,1997.0,5.0,166.0
248,1997.0,4.0,165.8
249,1997.0,3.0,166.1
250,1997.0,2.0,166.4
251,1997.0,1.0,166.0
252,1996.0,12.0,164.9
253,1996.0,11.0,165.3
254,1996.0,10.0,165.7
255,1996.0,9.0,165.1
256,1996.0,8.0,164.8
257,1996.0,7.0,164.4
258,1996.0,6.0,163.3
259,1996.0,5.0,162.8
260,1996.0,4.0,162.9
261,1996.0,3.0,163.1
262,1996.0,2.0,163.0
263,1996.0,1.0,162.3
264,1995.0,12.0,161.4
265,1995.0,11.0,161.5
266,1995.0,10.0,161.8
267,1995.0,9.0,161.5
268,1995.0,8.0,161.6
269,1995.0,7.0,161.5
270,1995.0,6.0,161.7
271,1995.0,5.0,161.6
272,1995.0,4.0,161.0
273,1995.0,3.0,161.7
274,1995.0,2.0,161.5
275,1995.0,1.0,160.6
276,1994.0,12.0,160.4
277,1994.0,11.0,160.0
278,1994.0,10.0,161.3
279,1994.0,9.0,161.0
280,1994.0,8.0,160.8
281,1994.0,7.0,160.5
282,1994.0,6.0,159.8
283,1994.0,5.0,159.9
284,1994.0,4.0,160.5
285,1994.0,3.0,161.4
286,1994.0,2.0,161.7
287,1994.0,1.0,161.1
288,1993.0,12.0,160.2
289,1993.0,11.0,159.7
290,1993.0,10.0,159.4
291,1993.0,9.0,158.9
292,1993.0,8.0,160.2
293,1993.0,7.0,160.4
294,1993.0,6.0,160.5
295,1993.0,5.0,160.4
296,1993.0,4.0,160.5
297,1993.0,3.0,160.5
298,1993.0,2.0,161.3
299,1993.0,1.0,160.2
300,1992.0,12.0,158.9
301,1992.0,11.0,159.7
302,1992.0,10.0,159.3
303,1992.0,9.0,158.8
304,1992.0,8.0,159.3
305,1992.0,7.0,158.5
306,1992.0,6.0,158.5
307,1992.0,5.0,157.9
308,1992.0,4.0,157.6
309,1992.0,3.0,158.2
310,1992.0,2.0,158.5
311,1992.0,1.0,158.0
312,1991.0,12.0,156.6
313,1991.0,11.0,156.7
314,1991.0,10.0,155.7
315,1991.0,9.0,155.3
316,1991.0,8.0,154.9
317,1991.0,7.0,154.7
318,1991.0,6.0,154.7
319,1991.0,5.0,153.9
320,1991.0,4.0,154.8
321,1991.0,3.0,154.1
322,1991.0,2.0,153.3
323,1991.0,1.0,152.9
324,1990.0,12.0,152.3
325,1990.0,11.0,152.2
326,1990.0,10.0,151.9
327,1990.0,9.0,151.7
328,1990.0,8.0,150.8
329,1990.0,7.0,149.5
330,1990.0,6.0,148.3
331,1990.0,5.0,146.9
332,1990.0,4.0,146.6
333,1990.0,3.0,148.3
334,1990.0,2.0,146.5
335,1990.0,1.0,145.8
336,1989.0,12.0,143.9
337,1989.0,11.0,143.4
338,1989.0,10.0,143.1
339,1989.0,9.0,143.3
340,1989.0,8.0,141.2
341,1989.0,7.0,140.9
342,1989.0,6.0,139.7
343,1989.0,5.0,137.8
344,1989.0,4.0,136.9
345,1989.0,3.0,137.3
346,1989.0,2.0,137.3
347,1989.0,1.0,136.2
348,1988.0,12.0,136.5
349,1988.0,11.0,136.3
350,1988.0,10.0,134.6
351,1988.0,9.0,134.5
352,1988.0,8.0,134.0
353,1988.0,7.0,132.4
354,1988.0,6.0,133.0
355,1988.0,5.0,133.1
356,1988.0,4.0,132.2
357,1988.0,3.0,132.1
358,1988.0,2.0,131.7
359,1988.0,1.0,129.8
360,1987.0,12.0,129.7
361,1987.0,11.0,129.2
362,1987.0,10.0,129.3
363,1987.0,9.0,128.2
364,1987.0,8.0,126.9
365,1987.0,7.0,125.8
366,1987.0,6.0,126.0
367,1987.0,5.0,126.8
368,1987.0,4.0,126.6
369,1987.0,3.0,125.1
370,1987.0,2.0,123.9
371,1987.0,1.0,121.7
372,1986.0,12.0,121.9
373,1986.0,11.0,123.1
374,1986.0,10.0,123.2
