,Year,Month,Value
0,2023.0,8.0,434.382
1,2023.0,7.0,431.935
2,2023.0,6.0,430.019
3,2023.0,5.0,428.969
4,2023.0,4.0,427.234
5,2023.0,3.0,426.174
6,2023.0,2.0,423.779
7,2023.0,1.0,421.894
8,2022.0,12.0,419.48
9,2022.0,11.0,416.435
10,2022.0,10.0,413.77
11,2022.0,9.0,411.946
12,2022.0,8.0,409.148
13,2022.0,7.0,408.155
14,2022.0,6.0,407.236
15,2022.0,5.0,405.41
16,2022.0,4.0,404.237
17,2022.0,3.0,402.69
18,2022.0,2.0,401.151
19,2022.0,1.0,398.68
20,2021.0,12.0,397.582
21,2021.0,11.0,398.601
22,2021.0,10.0,397.565
23,2021.0,9.0,398.191
24,2021.0,8.0,397.863
25,2021.0,7.0,399.091
26,2021.0,6.0,398.824
27,2021.0,5.0,396.656
28,2021.0,4.0,395.644
29,2021.0,3.0,394.286
30,2021.0,2.0,393.648
31,2021.0,1.0,392.787
32,2020.0,12.0,392.874
33,2020.0,11.0,393.007
34,2020.0,10.0,392.135
35,2020.0,9.0,393.526
36,2020.0,8.0,392.469
37,2020.0,7.0,392.217
38,2020.0,6.0,391.894
39,2020.0,5.0,391.742
40,2020.0,4.0,391.605
41,2020.0,3.0,392.352
42,2020.0,2.0,390.984
43,2020.0,1.0,389.79
44,2019.0,12.0,387.979
45,2019.0,11.0,387.012
46,2019.0,10.0,386.148
47,2019.0,9.0,387.167
48,2019.0,8.0,385.875
49,2019.0,7.0,385.269
50,2019.0,6.0,384.598
51,2019.0,5.0,384.085
52,2019.0,4.0,384.22
53,2019.0,3.0,382.414
54,2019.0,2.0,381.584
55,2019.0,1.0,380.188
56,2018.0,12.0,379.546
57,2018.0,11.0,378.954
58,2018.0,10.0,378.368
59,2018.0,9.0,378.195
60,2018.0,8.0,377.549
61,2018.0,7.0,376.707
62,2018.0,6.0,375.65
63,2018.0,5.0,375.974
64,2018.0,4.0,375.314
65,2018.0,3.0,374.763
66,2018.0,2.0,373.327
67,2018.0,1.0,373.008
68,2017.0,12.0,372.257
69,2017.0,11.0,371.403
70,2017.0,10.0,371.091
71,2017.0,9.0,370.662
72,2017.0,8.0,370.744
73,2017.0,7.0,368.84
74,2017.0,6.0,367.964
75,2017.0,5.0,367.192
76,2017.0,4.0,366.709
77,2017.0,3.0,366.03
78,2017.0,2.0,365.599
79,2017.0,1.0,365.684
80,2016.0,12.0,365.319
81,2016.0,11.0,365.114
82,2016.0,10.0,363.532
83,2016.0,9.0,361.8
84,2016.0,8.0,361.869
85,2016.0,7.0,360.664
86,2016.0,6.0,359.395
87,2016.0,5.0,358.177
88,2016.0,4.0,356.781
89,2016.0,3.0,356.133
90,2016.0,2.0,355.645
91,2016.0,1.0,354.211
92,2015.0,12.0,353.825
93,2015.0,11.0,353.678
94,2015.0,10.0,353.807
95,2015.0,9.0,353.08
96,2015.0,8.0,351.038
97,2015.0,7.0,349.931
98,2015.0,6.0,348.425
99,2015.0,5.0,347.827
100,2015.0,4.0,347.22
101,2015.0,3.0,346.221
102,2015.0,2.0,345.326
103,2015.0,1.0,344.56
104,2014.0,12.0,343.223
105,2014.0,11.0,343.026
106,2014.0,10.0,343.159
107,2014.0,9.0,342.474
108,2014.0,8.0,343.008
109,2014.0,7.0,341.523
110,2014.0,6.0,340.982
111,2014.0,5.0,340.876
112,2014.0,4.0,339.551
113,2014.0,3.0,338.359
114,2014.0,2.0,337.637
115,2014.0,1.0,337.998
116,2013.0,12.0,336.321
117,2013.0,11.0,335.492
118,2013.0,10.0,334.321
119,2013.0,9.0,334.162
120,2013.0,8.0,334.052
121,2013.0,7.0,331.731
122,2013.0,6.0,331.114
123,2013.0,5.0,330.174
124,2013.0,4.0,329.241
125,2013.0,3.0,329.511
126,2013.0,2.0,328.725
127,2013.0,1.0,327.598
128,2012.0,12.0,327.068
129,2012.0,11.0,326.465
130,2012.0,10.0,325.92
131,2012.0,9.0,325.264
132,2012.0,8.0,325.299
133,2012.0,7.0,324.246
134,2012.0,6.0,324.138
135,2012.0,5.0,323.014
136,2012.0,4.0,321.721
137,2012.0,3.0,322.08
138,2012.0,2.0,320.751
139,2012.0,1.0,320.412
140,2011.0,12.0,319.315
141,2011.0,11.0,320.318
142,2011.0,10.0,320.655
143,2011.0,9.0,320.128
144,2011.0,8.0,320.827
145,2011.0,7.0,319.961
146,2011.0,6.0,318.664
147,2011.0,5.0,316.755
148,2011.0,4.0,315.673
149,2011.0,3.0,315.119
150,2011.0,2.0,314.227
151,2011.0,1.0,314.168
152,2010.0,12.0,313.63
153,2010.0,11.0,313.426
154,2010.0,10.0,314.034
155,2010.0,9.0,313.982
156,2010.0,8.0,315.262
157,2010.0,7.0,314.962
158,2010.0,6.0,314.102
159,2010.0,5.0,312.953
160,2010.0,4.0,311.818
161,2010.0,3.0,312.257
162,2010.0,2.0,311.383
163,2010.0,1.0,311.149
164,2009.0,12.0,310.819
165,2009.0,11.0,310.57
166,2009.0,10.0,311.411
167,2009.0,9.0,310.805
168,2009.0,8.0,313.419
169,2009.0,7.0,312.82
170,2009.0,6.0,311.507
171,2009.0,5.0,311.898
172,2009.0,4.0,312.32
173,2009.0,3.0,311.959
174,2009.0,2.0,309.934
175,2009.0,1.0,308.572
176,2008.0,12.0,307.53
177,2008.0,11.0,307.725
178,2008.0,10.0,308.989
179,2008.0,9.0,309.178
180,2008.0,8.0,308.643
181,2008.0,7.0,307.161
182,2008.0,6.0,304.891
183,2008.0,5.0,303.001
184,2008.0,4.0,303.015
185,2008.0,3.0,304.244
186,2008.0,2.0,300.736
187,2008.0,1.0,298.233
188,2007.0,12.0,298.163
189,2007.0,11.0,298.507
190,2007.0,10.0,298.26
191,2007.0,9.0,297.907
192,2007.0,8.0,300.088
193,2007.0,7.0,299.859
194,2007.0,6.0,297.654
195,2007.0,5.0,295.233
196,2007.0,4.0,294.39
197,2007.0,3.0,293.493
198,2007.0,2.0,292.219
199,2007.0,1.0,290.208
200,2006.0,12.0,289.6
201,2006.0,11.0,289.3
202,2006.0,10.0,289.8
203,2006.0,9.0,289.0
204,2006.0,8.0,291.1
205,2006.0,7.0,290.1
206,2006.0,6.0,288.2
207,2006.0,5.0,286.4
208,2006.0,4.0,284.1
209,2006.0,3.0,280.7
210,2006.0,2.0,276.9
211,2006.0,1.0,274.0
212,2005.0,12.0,272.0
213,2005.0,11.0,272.7
214,2005.0,10.0,273.7
215,2005.0,9.0,269.1
216,2005.0,8.0,272.8
217,2005.0,7.0,272.0
218,2005.0,6.0,269.7
219,2005.0,5.0,270.2
220,2005.0,4.0,275.0
221,2005.0,3.0,276.9
222,2005.0,2.0,267.7
223,2005.0,1.0,266.6
224,2004.0,12.0,263.0
225,2004.0,11.0,263.0
226,2004.0,10.0,264.8
227,2004.0,9.0,262.8
228,2004.0,8.0,263.2
229,2004.0,7.0,262.3
230,2004.0,6.0,262.8
231,2004.0,5.0,260.6
232,2004.0,4.0,261.4
233,2004.0,3.0,259.0
234,2004.0,2.0,254.7
235,2004.0,1.0,254.7
236,2003.0,12.0,252.3
237,2003.0,11.0,252.2
238,2003.0,10.0,252.9
239,2003.0,9.0,249.8
240,2003.0,8.0,252.4
241,2003.0,7.0,250.0
242,2003.0,6.0,248.9
243,2003.0,5.0,249.0
244,2003.0,4.0,247.4
245,2003.0,3.0,248.1
246,2003.0,2.0,246.4
247,2003.0,1.0,246.4
248,2002.0,12.0,241.5
249,2002.0,11.0,242.1
250,2002.0,10.0,243.5
251,2002.0,9.0,241.3
252,2002.0,8.0,242.6
253,2002.0,7.0,240.5
254,2002.0,6.0,239.5
255,2002.0,5.0,238.8
256,2002.0,4.0,239.5
257,2002.0,3.0,239.2
258,2002.0,2.0,237.4
259,2002.0,1.0,235.3
260,2001.0,12.0,232.4
261,2001.0,11.0,231.4
262,2001.0,10.0,229.7
263,2001.0,9.0,228.8
264,2001.0,8.0,229.4
265,2001.0,7.0,227.8
266,2001.0,6.0,227.3
267,2001.0,5.0,225.4
268,2001.0,4.0,225.6
269,2001.0,3.0,225.0
270,2001.0,2.0,222.9
271,2001.0,1.0,221.6
272,2000.0,12.0,220.8
273,2000.0,11.0,221.1
274,2000.0,10.0,220.6
275,2000.0,9.0,219.9
276,2000.0,8.0,220.0
277,2000.0,7.0,219.4
278,2000.0,6.0,218.5
279,2000.0,5.0,217.1
280,2000.0,4.0,217.5
281,2000.0,3.0,218.0
282,2000.0,2.0,217.1
283,2000.0,1.0,216.9
284,1999.0,12.0,213.9
285,1999.0,11.0,214.0
286,1999.0,10.0,213.2
287,1999.0,9.0,212.8
288,1999.0,8.0,213.0
289,1999.0,7.0,212.4
290,1999.0,6.0,211.5
291,1999.0,5.0,210.8
292,1999.0,4.0,210.7
293,1999.0,3.0,210.7
294,1999.0,2.0,210.1
295,1999.0,1.0,209.3
296,1998.0,12.0,208.8
297,1998.0,11.0,208.5
298,1998.0,10.0,208.5
299,1998.0,9.0,207.6
300,1998.0,8.0,208.1
301,1998.0,7.0,207.6
302,1998.0,6.0,206.4
303,1998.0,5.0,205.2
304,1998.0,4.0,204.6
305,1998.0,3.0,205.2
306,1998.0,2.0,204.4
307,1998.0,1.0,203.8
308,1997.0,12.0,202.4
309,1997.0,11.0,201.6
310,1997.0,10.0,201.6
311,1997.0,9.0,200.5
312,1997.0,8.0,201.3
313,1997.0,7.0,200.5
314,1997.0,6.0,198.6
315,1997.0,5.0,197.7
316,1997.0,4.0,198.1
317,1997.0,3.0,198.2
318,1997.0,2.0,197.4
319,1997.0,1.0,196.0
320,1996.0,12.0,194.5
