,Year,Month,Value
0,2023.0,8.0,436.689
1,2023.0,7.0,439.469
2,2023.0,6.0,439.713
3,2023.0,5.0,438.964
4,2023.0,4.0,438.763
5,2023.0,3.0,437.421
6,2023.0,2.0,434.093
7,2023.0,1.0,430.591
8,2022.0,12.0,426.481
9,2022.0,11.0,423.908
10,2022.0,10.0,421.899
11,2022.0,9.0,420.799
12,2022.0,8.0,420.049
13,2022.0,7.0,420.911
14,2022.0,6.0,419.16
15,2022.0,5.0,415.002
16,2022.0,4.0,416.308
17,2022.0,3.0,414.415
18,2022.0,2.0,415.76
19,2022.0,1.0,412.937
20,2021.0,12.0,411.972
21,2021.0,11.0,411.193
22,2021.0,10.0,411.127
23,2021.0,9.0,409.431
24,2021.0,8.0,411.229
25,2021.0,7.0,411.572
26,2021.0,6.0,409.726
27,2021.0,5.0,410.584
28,2021.0,4.0,416.798
29,2021.0,3.0,411.202
30,2021.0,2.0,409.85
31,2021.0,1.0,408.446
32,2020.0,12.0,408.547
33,2020.0,11.0,409.791
34,2020.0,10.0,409.262
35,2020.0,9.0,406.632
36,2020.0,8.0,408.494
37,2020.0,7.0,408.303
38,2020.0,6.0,408.086
39,2020.0,5.0,407.686
40,2020.0,4.0,406.463
41,2020.0,3.0,408.835
42,2020.0,2.0,406.369
43,2020.0,1.0,404.651
44,2019.0,12.0,403.366
45,2019.0,11.0,402.623
46,2019.0,10.0,400.713
47,2019.0,9.0,399.03
48,2019.0,8.0,397.988
49,2019.0,7.0,397.806
50,2019.0,6.0,396.831
51,2019.0,5.0,396.532
52,2019.0,4.0,395.518
53,2019.0,3.0,393.992
54,2019.0,2.0,392.626
55,2019.0,1.0,391.167
56,2018.0,12.0,391.23
57,2018.0,11.0,389.454
58,2018.0,10.0,389.814
59,2018.0,9.0,388.059
60,2018.0,8.0,388.421
61,2018.0,7.0,386.722
62,2018.0,6.0,386.091
63,2018.0,5.0,382.009
64,2018.0,4.0,381.346
65,2018.0,3.0,381.872
66,2018.0,2.0,379.33
67,2018.0,1.0,377.833
68,2017.0,12.0,376.805
69,2017.0,11.0,374.924
70,2017.0,10.0,375.48
71,2017.0,9.0,371.23
72,2017.0,8.0,372.764
73,2017.0,7.0,369.076
74,2017.0,6.0,368.358
75,2017.0,5.0,368.979
76,2017.0,4.0,367.424
77,2017.0,3.0,365.826
78,2017.0,2.0,364.845
79,2017.0,1.0,363.451
80,2016.0,12.0,361.605
81,2016.0,11.0,360.005
82,2016.0,10.0,360.081
83,2016.0,9.0,355.955
84,2016.0,8.0,352.965
85,2016.0,7.0,349.68
86,2016.0,6.0,348.043
87,2016.0,5.0,347.702
88,2016.0,4.0,345.409
89,2016.0,3.0,343.574
90,2016.0,2.0,342.825
91,2016.0,1.0,340.642
92,2015.0,12.0,338.391
