,Year,Month,Value
0,2023.0,8.0,469.773
1,2023.0,7.0,468.352
2,2023.0,6.0,468.014
3,2023.0,5.0,463.751
4,2023.0,4.0,459.731
5,2023.0,3.0,458.342
6,2023.0,2.0,456.994
7,2023.0,1.0,453.249
8,2022.0,12.0,450.46
9,2022.0,11.0,448.717
10,2022.0,10.0,440.79
11,2022.0,9.0,437.959
12,2022.0,8.0,435.149
13,2022.0,7.0,429.981
14,2022.0,6.0,429.416
15,2022.0,5.0,426.549
16,2022.0,4.0,421.577
17,2022.0,3.0,419.585
18,2022.0,2.0,411.594
19,2022.0,1.0,408.264
20,2021.0,12.0,406.791
21,2021.0,11.0,405.828
22,2021.0,10.0,404.396
23,2021.0,9.0,400.694
24,2021.0,8.0,401.243
25,2021.0,7.0,399.775
26,2021.0,6.0,397.205
27,2021.0,5.0,397.663
28,2021.0,4.0,396.604
29,2021.0,3.0,395.103
30,2021.0,2.0,394.825
31,2021.0,1.0,396.636
32,2020.0,12.0,395.061
33,2020.0,11.0,393.051
34,2020.0,10.0,394.036
35,2020.0,9.0,394.174
36,2020.0,8.0,394.928
37,2020.0,7.0,393.422
38,2020.0,6.0,391.737
39,2020.0,5.0,394.223
40,2020.0,4.0,390.109
41,2020.0,3.0,388.354
42,2020.0,2.0,390.166
43,2020.0,1.0,388.035
44,2019.0,12.0,385.48
45,2019.0,11.0,383.475
46,2019.0,10.0,382.431
47,2019.0,9.0,386.997
48,2019.0,8.0,386.127
49,2019.0,7.0,382.141
50,2019.0,6.0,378.254
51,2019.0,5.0,379.042
52,2019.0,4.0,378.411
53,2019.0,3.0,373.635
54,2019.0,2.0,373.099
55,2019.0,1.0,370.782
56,2018.0,12.0,372.055
57,2018.0,11.0,369.202
58,2018.0,10.0,368.569
59,2018.0,9.0,369.59
60,2018.0,8.0,368.505
61,2018.0,7.0,367.97
62,2018.0,6.0,366.998
63,2018.0,5.0,364.516
64,2018.0,4.0,360.257
65,2018.0,3.0,359.351
66,2018.0,2.0,358.355
67,2018.0,1.0,355.528
68,2017.0,12.0,354.356
69,2017.0,11.0,350.647
70,2017.0,10.0,350.461
71,2017.0,9.0,350.064
72,2017.0,8.0,347.847
73,2017.0,7.0,347.85
74,2017.0,6.0,344.928
75,2017.0,5.0,342.303
76,2017.0,4.0,340.26
77,2017.0,3.0,336.926
78,2017.0,2.0,337.72
79,2017.0,1.0,334.453
80,2016.0,12.0,335.588
81,2016.0,11.0,328.482
82,2016.0,10.0,328.533
83,2016.0,9.0,326.994
84,2016.0,8.0,327.922
85,2016.0,7.0,325.952
86,2016.0,6.0,324.367
87,2016.0,5.0,323.252
88,2016.0,4.0,319.45
89,2016.0,3.0,318.556
90,2016.0,2.0,315.89
91,2016.0,1.0,313.364
92,2015.0,12.0,312.557
93,2015.0,11.0,311.31
94,2015.0,10.0,310.82
95,2015.0,9.0,308.765
96,2015.0,8.0,309.149
97,2015.0,7.0,308.826
98,2015.0,6.0,307.976
99,2015.0,5.0,304.249
100,2015.0,4.0,301.863
101,2015.0,3.0,300.628
102,2015.0,2.0,299.053
103,2015.0,1.0,297.918
104,2014.0,12.0,297.672
105,2014.0,11.0,296.16
106,2014.0,10.0,295.754
107,2014.0,9.0,293.37
108,2014.0,8.0,293.361
109,2014.0,7.0,293.733
110,2014.0,6.0,292.035
111,2014.0,5.0,289.93
112,2014.0,4.0,288.42
113,2014.0,3.0,287.313
114,2014.0,2.0,285.619
115,2014.0,1.0,283.873
116,2013.0,12.0,283.142
117,2013.0,11.0,282.505
118,2013.0,10.0,281.156
119,2013.0,9.0,279.885
120,2013.0,8.0,280.95
121,2013.0,7.0,279.597
122,2013.0,6.0,277.912
123,2013.0,5.0,276.224
124,2013.0,4.0,274.503
