,Year,Month,Value
0,2023.0,8.0,307.026
1,2023.0,7.0,305.691
2,2023.0,6.0,305.109
3,2023.0,5.0,304.127
4,2023.0,4.0,303.363
5,2023.0,3.0,301.836
6,2023.0,2.0,300.84
7,2023.0,1.0,299.17
8,2022.0,12.0,296.797
9,2022.0,11.0,297.711
10,2022.0,10.0,298.012
11,2022.0,9.0,296.808
12,2022.0,8.0,296.171
13,2022.0,7.0,296.276
14,2022.0,6.0,296.311
15,2022.0,5.0,292.296
16,2022.0,4.0,289.109
17,2022.0,3.0,287.504
18,2022.0,2.0,283.716
19,2022.0,1.0,281.148
20,2021.0,12.0,278.802
21,2021.0,11.0,277.948
22,2021.0,10.0,276.589
23,2021.0,9.0,274.31
24,2021.0,8.0,273.567
25,2021.0,7.0,273.003
26,2021.0,6.0,271.696
27,2021.0,5.0,269.195
28,2021.0,4.0,267.054
29,2021.0,3.0,264.877
30,2021.0,2.0,263.014
31,2021.0,1.0,261.582
32,2020.0,12.0,260.474
33,2020.0,11.0,260.229
34,2020.0,10.0,260.388
35,2020.0,9.0,260.28
36,2020.0,8.0,259.918
37,2020.0,7.0,259.101
38,2020.0,6.0,257.797
39,2020.0,5.0,256.394
40,2020.0,4.0,256.389
41,2020.0,3.0,258.115
42,2020.0,2.0,258.678
43,2020.0,1.0,257.971
44,2019.0,12.0,256.974
45,2019.0,11.0,257.208
46,2019.0,10.0,257.346
47,2019.0,9.0,256.759
48,2019.0,8.0,256.558
49,2019.0,7.0,256.571
50,2019.0,6.0,256.143
51,2019.0,5.0,256.092
52,2019.0,4.0,255.548
53,2019.0,3.0,254.202
54,2019.0,2.0,252.776
55,2019.0,1.0,251.712
56,2018.0,12.0,251.233
57,2018.0,11.0,252.038
58,2018.0,10.0,252.885
59,2018.0,9.0,252.439
60,2018.0,8.0,252.146
61,2018.0,7.0,252.006
62,2018.0,6.0,251.989
63,2018.0,5.0,251.588
64,2018.0,4.0,250.546
65,2018.0,3.0,249.554
66,2018.0,2.0,248.991
67,2018.0,1.0,247.867
68,2017.0,12.0,246.524
69,2017.0,11.0,246.669
70,2017.0,10.0,246.663
71,2017.0,9.0,246.819
72,2017.0,8.0,245.519
73,2017.0,7.0,244.786
74,2017.0,6.0,244.955
75,2017.0,5.0,244.733
76,2017.0,4.0,244.524
77,2017.0,3.0,243.801
78,2017.0,2.0,243.603
79,2017.0,1.0,242.839
80,2016.0,12.0,241.432
81,2016.0,11.0,241.353
82,2016.0,10.0,241.729
83,2016.0,9.0,241.428
84,2016.0,8.0,240.849
