,Year,Month,Value
0,2023.0,8.0,283.957
1,2023.0,7.0,283.528
2,2023.0,6.0,283.627
3,2023.0,5.0,283.415
4,2023.0,4.0,282.423
5,2023.0,3.0,280.279
6,2023.0,2.0,277.978
7,2023.0,1.0,276.982
8,2022.0,12.0,274.577
9,2022.0,11.0,276.861
10,2022.0,10.0,278.415
11,2022.0,9.0,278.03
12,2022.0,8.0,277.454
13,2022.0,7.0,277.311
14,2022.0,6.0,277.78
15,2022.0,5.0,274.301
16,2022.0,4.0,269.569
17,2022.0,3.0,268.417
18,2022.0,2.0,264.828
19,2022.0,1.0,262.73
20,2021.0,12.0,260.368
21,2021.0,11.0,259.254
22,2021.0,10.0,258.621
23,2021.0,9.0,256.881
24,2021.0,8.0,256.078
25,2021.0,7.0,255.929
26,2021.0,6.0,254.974
27,2021.0,5.0,253.934
28,2021.0,4.0,251.491
29,2021.0,3.0,248.984
30,2021.0,2.0,247.387
31,2021.0,1.0,246.008
32,2020.0,12.0,244.235
33,2020.0,11.0,244.61
34,2020.0,10.0,245.584
35,2020.0,9.0,245.745
36,2020.0,8.0,244.341
37,2020.0,7.0,244.046
38,2020.0,6.0,243.475
39,2020.0,5.0,242.65
40,2020.0,4.0,240.364
41,2020.0,3.0,242.655
42,2020.0,2.0,244.407
43,2020.0,1.0,244.361
44,2019.0,12.0,242.079
45,2019.0,11.0,242.661
46,2019.0,10.0,243.236
47,2019.0,9.0,242.393
48,2019.0,8.0,241.985
49,2019.0,7.0,241.589
50,2019.0,6.0,240.835
51,2019.0,5.0,241.758
52,2019.0,4.0,239.726
53,2019.0,3.0,240.019
54,2019.0,2.0,239.669
55,2019.0,1.0,238.218
56,2018.0,12.0,236.796
57,2018.0,11.0,237.511
58,2018.0,10.0,238.892
59,2018.0,9.0,238.957
60,2018.0,8.0,238.098
61,2018.0,7.0,237.87
62,2018.0,6.0,238.54
63,2018.0,5.0,238.91
64,2018.0,4.0,237.94
65,2018.0,3.0,236.388
66,2018.0,2.0,236.306
67,2018.0,1.0,236.267
68,2017.0,12.0,234.293
69,2017.0,11.0,235.206
70,2017.0,10.0,234.159
71,2017.0,9.0,235.177
72,2017.0,8.0,234.2
73,2017.0,7.0,233.514
74,2017.0,6.0,233.407
75,2017.0,5.0,233.443
76,2017.0,4.0,233.066
77,2017.0,3.0,232.225
78,2017.0,2.0,232.491
79,2017.0,1.0,232.155
80,2016.0,12.0,230.476
81,2016.0,11.0,230.969
82,2016.0,10.0,230.506
83,2016.0,9.0,230.282
84,2016.0,8.0,228.956
85,2016.0,7.0,228.454
86,2016.0,6.0,230.341
87,2016.0,5.0,229.247
88,2016.0,4.0,229.197
89,2016.0,3.0,227.778
90,2016.0,2.0,227.438
91,2016.0,1.0,227.977
92,2015.0,12.0,226.271
93,2015.0,11.0,227.641
94,2015.0,10.0,228.6
95,2015.0,9.0,228.826
96,2015.0,8.0,229.527
97,2015.0,7.0,228.588
98,2015.0,6.0,228.837
99,2015.0,5.0,228.494
100,2015.0,4.0,227.704
101,2015.0,3.0,227.405
102,2015.0,2.0,225.763
103,2015.0,1.0,225.852
104,2014.0,12.0,226.262
105,2014.0,11.0,227.184
106,2014.0,10.0,228.987
107,2014.0,9.0,229.829
108,2014.0,8.0,229.753
109,2014.0,7.0,229.633
110,2014.0,6.0,230.477
111,2014.0,5.0,229.612
112,2014.0,4.0,229.848
113,2014.0,3.0,228.784
114,2014.0,2.0,226.217
115,2014.0,1.0,225.027
116,2013.0,12.0,222.96
117,2013.0,11.0,223.703
118,2013.0,10.0,224.422
119,2013.0,9.0,225.161
120,2013.0,8.0,225.525
121,2013.0,7.0,225.375
122,2013.0,6.0,225.864
123,2013.0,5.0,225.645
124,2013.0,4.0,224.522
125,2013.0,3.0,224.433
126,2013.0,2.0,224.681
127,2013.0,1.0,222.251
128,2012.0,12.0,221.838
129,2012.0,11.0,222.425
130,2012.0,10.0,223.227
131,2012.0,9.0,223.611
132,2012.0,8.0,222.967
133,2012.0,7.0,221.611
134,2012.0,6.0,222.138
135,2012.0,5.0,222.262
136,2012.0,4.0,222.416
137,2012.0,3.0,222.351
138,2012.0,2.0,219.626
139,2012.0,1.0,219.585
140,2011.0,12.0,218.18
141,2011.0,11.0,219.181
142,2011.0,10.0,219.592
143,2011.0,9.0,220.027
144,2011.0,8.0,219.688
145,2011.0,7.0,219.277
146,2011.0,6.0,220.182
147,2011.0,5.0,220.094
148,2011.0,4.0,218.762
149,2011.0,3.0,217.88
150,2011.0,2.0,216.192
151,2011.0,1.0,215.155
152,2010.0,12.0,213.778
153,2010.0,11.0,213.066
154,2010.0,10.0,213.332
155,2010.0,9.0,213.339
156,2010.0,8.0,212.784
157,2010.0,7.0,212.535
158,2010.0,6.0,212.186
159,2010.0,5.0,212.984
160,2010.0,4.0,212.929
161,2010.0,3.0,212.952
162,2010.0,2.0,212.456
163,2010.0,1.0,212.104
164,2009.0,12.0,211.185
165,2009.0,11.0,212.206
166,2009.0,10.0,211.708
167,2009.0,9.0,211.345
168,2009.0,8.0,211.441
169,2009.0,7.0,210.906
170,2009.0,6.0,211.01
171,2009.0,5.0,209.809
172,2009.0,4.0,207.886
173,2009.0,3.0,207.462
174,2009.0,2.0,207.367
175,2009.0,1.0,207.616
176,2008.0,12.0,205.959
177,2008.0,11.0,209.053
178,2008.0,10.0,213.363
179,2008.0,9.0,215.465
180,2008.0,8.0,215.971
181,2008.0,7.0,217.459
182,2008.0,6.0,215.738
183,2008.0,5.0,214.932
184,2008.0,4.0,212.662
185,2008.0,3.0,211.542
186,2008.0,2.0,209.526
187,2008.0,1.0,208.757
188,2007.0,12.0,207.155
189,2007.0,11.0,207.821
190,2007.0,10.0,206.696
191,2007.0,9.0,206.454
192,2007.0,8.0,205.813
193,2007.0,7.0,205.561
194,2007.0,6.0,206.092
195,2007.0,5.0,205.686
196,2007.0,4.0,204.019
197,2007.0,3.0,202.483
198,2007.0,2.0,200.63
199,2007.0,1.0,199.401
200,2006.0,12.0,197.8
201,2006.0,11.0,197.9
202,2006.0,10.0,197.5
203,2006.0,9.0,199.6
204,2006.0,8.0,200.4
205,2006.0,7.0,199.3
206,2006.0,6.0,199.0
207,2006.0,5.0,198.4
208,2006.0,4.0,197.7
209,2006.0,3.0,197.6
210,2006.0,2.0,197.2
211,2006.0,1.0,197.5
212,2005.0,12.0,196.4
213,2005.0,11.0,197.3
214,2005.0,10.0,197.9
215,2005.0,9.0,198.3
216,2005.0,8.0,195.8
217,2005.0,7.0,194.2
218,2005.0,6.0,194.0
219,2005.0,5.0,193.3
220,2005.0,4.0,193.2
221,2005.0,3.0,191.3
222,2005.0,2.0,190.5
223,2005.0,1.0,189.9
224,2004.0,12.0,189.6
225,2004.0,11.0,190.7
226,2004.0,10.0,190.8
227,2004.0,9.0,190.0
228,2004.0,8.0,190.2
229,2004.0,7.0,189.2
230,2004.0,6.0,189.1
231,2004.0,5.0,188.7
232,2004.0,4.0,187.2
233,2004.0,3.0,186.3
234,2004.0,2.0,186.4
235,2004.0,1.0,185.4
236,2003.0,12.0,185.5
237,2003.0,11.0,185.6
238,2003.0,10.0,185.8
239,2003.0,9.0,186.1
240,2003.0,8.0,184.5
241,2003.0,7.0,184.1
242,2003.0,6.0,184.1
243,2003.0,5.0,183.4
244,2003.0,4.0,183.4
245,2003.0,3.0,184.8
246,2003.0,2.0,184.1
247,2003.0,1.0,182.7
248,2002.0,12.0,182.4
249,2002.0,11.0,183.2
250,2002.0,10.0,182.8
251,2002.0,9.0,182.1
252,2002.0,8.0,181.6
253,2002.0,7.0,181.2
254,2002.0,6.0,182.1
255,2002.0,5.0,181.4
256,2002.0,4.0,180.9
257,2002.0,3.0,179.8
258,2002.0,2.0,178.7
259,2002.0,1.0,177.9
260,2001.0,12.0,177.9
261,2001.0,11.0,177.4
262,2001.0,10.0,178.1
263,2001.0,9.0,179.7
264,2001.0,8.0,178.1
265,2001.0,7.0,177.7
266,2001.0,6.0,179.2
267,2001.0,5.0,179.8
268,2001.0,4.0,178.4
269,2001.0,3.0,177.1
270,2001.0,2.0,178.5
271,2001.0,1.0,178.1
272,2000.0,12.0,175.8
273,2000.0,11.0,176.0
274,2000.0,10.0,175.4
275,2000.0,9.0,174.8
276,2000.0,8.0,173.7
277,2000.0,7.0,174.6
278,2000.0,6.0,176.0
279,2000.0,5.0,173.7
280,2000.0,4.0,171.9
281,2000.0,3.0,172.2
282,2000.0,2.0,171.4
283,2000.0,1.0,170.2
284,1999.0,12.0,169.2
285,1999.0,11.0,169.3
286,1999.0,10.0,169.7
287,1999.0,9.0,169.7
288,1999.0,8.0,169.3
289,1999.0,7.0,169.4
290,1999.0,6.0,168.9
291,1999.0,5.0,168.2
292,1999.0,4.0,167.6
293,1999.0,3.0,167.0
294,1999.0,2.0,166.4
295,1999.0,1.0,166.1
296,1998.0,12.0,165.1
297,1998.0,11.0,165.4
298,1998.0,10.0,165.7
299,1998.0,9.0,165.3
300,1998.0,8.0,165.4
301,1998.0,7.0,166.5
302,1998.0,6.0,166.0
303,1998.0,5.0,165.6
304,1998.0,4.0,164.8
305,1998.0,3.0,164.1
306,1998.0,2.0,163.1
307,1998.0,1.0,162.8
308,1997.0,12.0,162.8
309,1997.0,11.0,162.9
310,1997.0,10.0,162.5
311,1997.0,9.0,162.1
312,1997.0,8.0,162.5
313,1997.0,7.0,161.7
314,1997.0,6.0,161.7
315,1997.0,5.0,161.1
316,1997.0,4.0,160.9
317,1997.0,3.0,161.0
318,1997.0,2.0,161.1
319,1997.0,1.0,160.4
320,1996.0,12.0,159.7
321,1996.0,11.0,159.4
322,1996.0,10.0,158.8
323,1996.0,9.0,158.3
324,1996.0,8.0,158.1
325,1996.0,7.0,157.7
326,1996.0,6.0,157.6
327,1996.0,5.0,156.9
328,1996.0,4.0,156.4
329,1996.0,3.0,156.3
330,1996.0,2.0,155.2
331,1996.0,1.0,154.6
332,1995.0,12.0,153.8
333,1995.0,11.0,154.0
334,1995.0,10.0,154.3
335,1995.0,9.0,154.0
336,1995.0,8.0,153.8
337,1995.0,7.0,153.6
338,1995.0,6.0,153.5
339,1995.0,5.0,153.0
340,1995.0,4.0,153.1
341,1995.0,3.0,152.6
342,1995.0,2.0,152.3
343,1995.0,1.0,151.8
344,1994.0,12.0,150.5
345,1994.0,11.0,150.4
346,1994.0,10.0,149.4
347,1994.0,9.0,150.2
348,1994.0,8.0,149.8
349,1994.0,7.0,148.3
350,1994.0,6.0,148.1
351,1994.0,5.0,147.6
352,1994.0,4.0,147.9
353,1994.0,3.0,147.6
354,1994.0,2.0,146.8
355,1994.0,1.0,146.5
356,1993.0,12.0,146.1
357,1993.0,11.0,146.4
358,1993.0,10.0,147.2
359,1993.0,9.0,146.7
360,1993.0,8.0,146.1
361,1993.0,7.0,145.5
362,1993.0,6.0,145.6
363,1993.0,5.0,145.7
364,1993.0,4.0,144.7
365,1993.0,3.0,144.1
366,1993.0,2.0,143.6
367,1993.0,1.0,143.2
368,1992.0,12.0,142.9
369,1992.0,11.0,142.4
370,1992.0,10.0,142.1
371,1992.0,9.0,142.7
372,1992.0,8.0,141.9
373,1992.0,7.0,141.4
374,1992.0,6.0,141.2
375,1992.0,5.0,140.5
376,1992.0,4.0,139.8
377,1992.0,3.0,139.7
378,1992.0,2.0,139.2
379,1992.0,1.0,138.9
380,1991.0,12.0,138.3
381,1991.0,11.0,138.0
382,1991.0,10.0,138.0
383,1991.0,9.0,138.3
384,1991.0,8.0,137.6
385,1991.0,7.0,137.3
386,1991.0,6.0,137.3
387,1991.0,5.0,136.8
388,1991.0,4.0,136.1
389,1991.0,3.0,136.2
390,1991.0,2.0,135.5
391,1991.0,1.0,135.1
392,1990.0,12.0,134.6
393,1990.0,11.0,134.2
394,1990.0,10.0,133.3
395,1990.0,9.0,133.8
396,1990.0,8.0,133.2
397,1990.0,7.0,132.0
398,1990.0,6.0,131.7
399,1990.0,5.0,130.4
400,1990.0,4.0,130.4
401,1990.0,3.0,129.5
402,1990.0,2.0,129.2
403,1990.0,1.0,128.1
404,1989.0,12.0,126.5
405,1989.0,11.0,126.7
406,1989.0,10.0,126.8
407,1989.0,9.0,127.1
408,1989.0,8.0,126.4
409,1989.0,7.0,126.4
410,1989.0,6.0,125.7
411,1989.0,5.0,123.9
412,1989.0,4.0,123.6
413,1989.0,3.0,123.0
414,1989.0,2.0,122.2
415,1989.0,1.0,121.5
416,1988.0,12.0,121.3
417,1988.0,11.0,121.0
418,1988.0,10.0,121.6
419,1988.0,9.0,122.0
420,1988.0,8.0,120.1
421,1988.0,7.0,119.8
422,1988.0,6.0,118.9
423,1988.0,5.0,117.0
424,1988.0,4.0,117.1
425,1988.0,3.0,116.9
426,1988.0,2.0,116.6
427,1988.0,1.0,115.3
428,1987.0,12.0,115.7
429,1987.0,11.0,115.7
430,1987.0,10.0,115.1
431,1987.0,9.0,117.1
432,1987.0,8.0,116.7
433,1987.0,7.0,115.9
434,1987.0,6.0,115.5
435,1987.0,5.0,113.3
436,1987.0,4.0,112.8
437,1987.0,3.0,112.3
438,1987.0,2.0,111.9
439,1987.0,1.0,111.9
440,1986.0,12.0,110.8
441,1986.0,11.0,110.9
442,1986.0,10.0,110.0
443,1986.0,9.0,111.8
444,1986.0,8.0,110.9
445,1986.0,7.0,110.8
446,1986.0,6.0,110.6
447,1986.0,5.0,108.5
448,1986.0,4.0,108.3
449,1986.0,3.0,108.4
450,1986.0,2.0,109.3
451,1986.0,1.0,109.2
452,1985.0,12.0,109.1
453,1985.0,11.0,108.5
454,1985.0,10.0,108.0
455,1985.0,9.0,109.2
456,1985.0,8.0,109.1
457,1985.0,7.0,108.6
458,1985.0,6.0,108.5
459,1985.0,5.0,107.0
460,1985.0,4.0,106.8
461,1985.0,3.0,106.2
462,1985.0,2.0,106.0
463,1985.0,1.0,105.5
464,1984.0,12.0,105.1
465,1984.0,11.0,105.1
466,1984.0,10.0,105.1
467,1984.0,9.0,105.5
468,1984.0,8.0,104.9
469,1984.0,7.0,104.0
470,1984.0,6.0,103.7
471,1984.0,5.0,102.8
472,1984.0,4.0,102.7
473,1984.0,3.0,102.3
474,1984.0,2.0,102.1
475,1984.0,1.0,102.2
476,1983.0,12.0,101.7
477,1983.0,11.0,101.7
478,1983.0,10.0,101.2
479,1983.0,9.0,101.4
480,1983.0,8.0,101.0
481,1983.0,7.0,100.3
482,1983.0,6.0,99.9
483,1983.0,5.0,99.2
484,1983.0,4.0,98.8
485,1983.0,3.0,98.3
486,1983.0,2.0,98.3
487,1983.0,1.0,98.4
488,1982.0,12.0,98.1
489,1982.0,11.0,98.5
490,1982.0,10.0,98.5
491,1982.0,9.0,98.4
492,1982.0,8.0,98.1
493,1982.0,7.0,98.1
494,1982.0,6.0,97.7
495,1982.0,5.0,96.3
496,1982.0,4.0,93.8
497,1982.0,3.0,92.5
498,1982.0,2.0,92.0
499,1982.0,1.0,92.2
500,1981.0,12.0,91.7
501,1981.0,11.0,92.7
502,1981.0,10.0,92.4
503,1981.0,9.0,92.7
504,1981.0,8.0,92.3
505,1981.0,7.0,91.3
506,1981.0,6.0,90.1
507,1981.0,5.0,88.5
508,1981.0,4.0,88.3
509,1981.0,3.0,86.9
510,1981.0,2.0,86.9
511,1981.0,1.0,86.7
512,1980.0,12.0,87.1
513,1980.0,11.0,87.0
514,1980.0,10.0,84.9
515,1980.0,9.0,83.7
516,1980.0,8.0,82.1
517,1980.0,7.0,82.6
518,1980.0,6.0,83.1
519,1980.0,5.0,81.4
520,1980.0,4.0,80.4
521,1980.0,3.0,78.8
522,1980.0,2.0,77.9
523,1980.0,1.0,77.1
524,1979.0,12.0,76.4
525,1979.0,11.0,75.6
526,1979.0,10.0,74.2
527,1979.0,9.0,74.1
528,1979.0,8.0,73.2
529,1979.0,7.0,72.8
530,1979.0,6.0,71.5
531,1979.0,5.0,70.3
532,1979.0,4.0,69.9
533,1979.0,3.0,69.2
534,1979.0,2.0,67.8
535,1979.0,1.0,66.8
536,1978.0,12.0,66.5
537,1978.0,11.0,66.3
538,1978.0,10.0,65.4
539,1978.0,9.0,64.9
540,1978.0,8.0,64.1
541,1978.0,7.0,64.1
542,1978.0,6.0,63.7
543,1978.0,5.0,63.3
544,1978.0,4.0,62.7
545,1978.0,3.0,62.4
546,1978.0,2.0,61.7
547,1978.0,1.0,61.1
548,1977.0,12.0,60.2
549,1977.0,11.0,60.0
550,1977.0,10.0,59.8
551,1977.0,9.0,59.7
552,1977.0,8.0,59.3
553,1977.0,7.0,59.0
554,1977.0,6.0,58.6
555,1977.0,5.0,58.4
556,1977.0,4.0,58.2
557,1977.0,3.0,57.7
558,1977.0,2.0,57.3
559,1977.0,1.0,56.7
560,1976.0,12.0,56.6
561,1976.0,11.0,56.4
562,1976.0,10.0,56.3
563,1976.0,9.0,56.1
564,1976.0,8.0,55.8
565,1976.0,7.0,55.5
566,1976.0,6.0,55.2
567,1976.0,5.0,54.8
568,1976.0,4.0,54.5
569,1976.0,3.0,54.2
