,Year,Month,Value
0,2023.0,7.0,288.006
1,2023.0,5.0,287.133
2,2023.0,3.0,284.862
3,2023.0,1.0,281.117
4,2022.0,11.0,279.0
5,2022.0,9.0,278.297
6,2022.0,7.0,277.005
7,2022.0,5.0,274.196
8,2022.0,3.0,269.347
9,2022.0,1.0,261.499
10,2021.0,11.0,257.394
11,2021.0,9.0,254.95
12,2021.0,7.0,253.319
13,2021.0,5.0,251.228
14,2021.0,3.0,246.995
15,2021.0,1.0,242.513
16,2020.0,11.0,239.544
17,2020.0,9.0,240.658
18,2020.0,7.0,239.888
19,2020.0,5.0,236.317
20,2020.0,3.0,238.865
21,2020.0,1.0,238.935
22,2019.0,11.0,238.768
23,2019.0,9.0,239.815
24,2019.0,7.0,238.891
25,2019.0,5.0,237.485
26,2019.0,3.0,236.495
27,2019.0,1.0,233.915
28,2018.0,11.0,234.487
29,2018.0,9.0,234.563
30,2018.0,7.0,233.57
31,2018.0,5.0,234.034
32,2018.0,3.0,230.272
33,2018.0,1.0,229.132
34,2017.0,11.0,229.352
35,2017.0,9.0,229.056
36,2017.0,7.0,225.613
37,2017.0,5.0,225.264
38,2017.0,3.0,223.782
39,2017.0,1.0,223.082
40,2016.0,11.0,222.259
41,2016.0,9.0,221.923
42,2016.0,7.0,221.507
43,2016.0,5.0,220.717
44,2016.0,3.0,218.877
45,2016.0,1.0,217.164
46,2015.0,11.0,217.104
47,2015.0,9.0,217.507
48,2015.0,7.0,218.676
49,2015.0,5.0,218.484
50,2015.0,3.0,217.487
51,2015.0,1.0,214.899
52,2014.0,11.0,217.188
53,2014.0,9.0,219.38
54,2014.0,7.0,219.543
55,2014.0,5.0,219.59
56,2014.0,3.0,218.715
57,2014.0,1.0,216.291
58,2013.0,11.0,215.45
59,2013.0,9.0,217.068
60,2013.0,7.0,216.979
61,2013.0,5.0,215.67
62,2013.0,3.0,216.465
63,2013.0,1.0,213.696
64,2012.0,11.0,212.901
65,2012.0,9.0,214.033
66,2012.0,7.0,211.267
67,2012.0,5.0,212.226
68,2012.0,3.0,212.618
69,2012.0,1.0,209.203
70,2011.0,11.0,209.283
71,2011.0,9.0,209.255
72,2011.0,7.0,208.602
73,2011.0,5.0,208.794
74,2011.0,3.0,206.967
75,2011.0,1.0,203.199
76,2010.0,11.0,201.168
77,2010.0,9.0,201.882
78,2010.0,7.0,200.227
79,2010.0,5.0,202.108
80,2010.0,3.0,201.982
81,2010.0,1.0,202.106
82,2009.0,11.0,201.958
83,2009.0,9.0,201.802
84,2009.0,7.0,200.663
85,2009.0,5.0,199.311
86,2009.0,3.0,200.039
87,2009.0,1.0,198.623
88,2008.0,11.0,200.051
89,2008.0,9.0,205.883
90,2008.0,7.0,206.413
91,2008.0,5.0,202.357
92,2008.0,3.0,198.596
93,2008.0,1.0,197.079
94,2007.0,11.0,196.465
95,2007.0,9.0,194.847
96,2007.0,7.0,194.286
97,2007.0,5.0,192.779
98,2007.0,3.0,190.156
99,2007.0,1.0,188.89
100,2006.0,11.0,188.4
101,2006.0,9.0,192.0
102,2006.0,7.0,191.7
103,2006.0,5.0,191.2
104,2006.0,3.0,188.4
105,2006.0,1.0,188.6
106,2005.0,11.0,187.8
107,2005.0,9.0,188.9
108,2005.0,7.0,184.3
109,2005.0,5.0,183.5
110,2005.0,3.0,181.3
111,2005.0,1.0,180.0
112,2004.0,11.0,179.9
113,2004.0,9.0,179.7
114,2004.0,7.0,179.1
115,2004.0,5.0,179.1
116,2004.0,3.0,177.7
117,2004.0,1.0,175.7
118,2003.0,11.0,175.9
119,2003.0,9.0,177.0
120,2003.0,7.0,176.5
121,2003.0,5.0,176.9
122,2003.0,3.0,176.8
123,2003.0,1.0,174.0
124,2002.0,11.0,173.6
125,2002.0,9.0,173.2
126,2002.0,7.0,172.9
127,2002.0,5.0,172.9
128,2002.0,3.0,172.1
129,2002.0,1.0,170.6
130,2001.0,11.0,171.5
131,2001.0,9.0,172.8
132,2001.0,7.0,171.5
133,2001.0,5.0,169.4
134,2001.0,3.0,168.9
135,2001.0,1.0,167.3
136,2000.0,11.0,166.8
137,2000.0,9.0,166.9
138,2000.0,7.0,166.2
139,2000.0,5.0,163.2
140,2000.0,3.0,163.1
141,2000.0,1.0,160.4
142,1999.0,11.0,160.1
143,1999.0,9.0,159.8
144,1999.0,7.0,158.3
145,1999.0,5.0,157.2
146,1999.0,3.0,156.4
147,1999.0,1.0,155.0
148,1998.0,11.0,154.0
149,1998.0,9.0,154.5
150,1998.0,7.0,154.2
151,1998.0,5.0,153.0
152,1998.0,3.0,153.0
153,1998.0,1.0,152.1
154,1997.0,12.0,152.5
155,1997.0,10.0,152.8
156,1997.0,8.0,151.2
157,1997.0,6.0,151.4
158,1997.0,4.0,150.6
159,1997.0,2.0,150.7
160,1996.0,12.0,150.0
161,1996.0,10.0,150.7
162,1996.0,8.0,149.5
163,1996.0,6.0,149.4
164,1996.0,4.0,148.5
165,1996.0,2.0,146.2
166,1995.0,12.0,145.5
167,1995.0,10.0,146.8
168,1995.0,8.0,145.1
169,1995.0,6.0,144.4
170,1995.0,4.0,145.0
171,1995.0,2.0,143.3
172,1994.0,12.0,141.9
173,1994.0,10.0,142.8
174,1994.0,8.0,142.2
175,1994.0,6.0,141.4
176,1994.0,4.0,140.3
177,1994.0,2.0,139.2
178,1993.0,12.0,138.8
179,1993.0,10.0,139.6
180,1993.0,8.0,138.1
181,1993.0,6.0,136.2
182,1993.0,4.0,137.0
183,1993.0,2.0,135.4
184,1992.0,12.0,134.6
185,1992.0,10.0,136.1
186,1992.0,8.0,134.4
187,1992.0,6.0,134.2
188,1992.0,4.0,132.5
189,1992.0,2.0,132.4
190,1991.0,12.0,132.0
191,1991.0,10.0,133.6
192,1991.0,8.0,131.1
193,1991.0,6.0,130.1
194,1991.0,4.0,129.5
195,1991.0,2.0,129.4
196,1990.0,12.0,128.4
197,1990.0,10.0,129.5
198,1990.0,8.0,126.0
199,1990.0,6.0,123.8
200,1990.0,4.0,122.9
201,1990.0,2.0,122.2
202,1989.0,12.0,120.5
203,1989.0,10.0,121.4
204,1989.0,8.0,120.0
205,1989.0,6.0,120.0
206,1989.0,4.0,118.7
207,1989.0,2.0,117.5
208,1988.0,12.0,117.2
209,1988.0,10.0,117.9
210,1988.0,8.0,117.2
211,1988.0,6.0,115.6
212,1988.0,4.0,115.4
213,1988.0,2.0,114.0
214,1987.0,12.0,113.9
215,1987.0,10.0,114.9
216,1987.0,8.0,113.5
217,1987.0,6.0,112.9
218,1987.0,4.0,112.2
219,1987.0,2.0,110.9
220,1986.0,12.0,109.3
221,1986.0,10.0,110.3
222,1986.0,8.0,110.4
223,1986.0,6.0,109.9
224,1986.0,4.0,108.8
225,1986.0,2.0,110.6
226,1985.0,12.0,109.8
227,1985.0,10.0,109.6
228,1985.0,8.0,109.5
229,1985.0,6.0,108.3
230,1985.0,4.0,107.0
231,1985.0,2.0,106.2
232,1984.0,12.0,105.4
233,1984.0,10.0,106.4
234,1984.0,8.0,105.1
235,1984.0,6.0,103.8
236,1984.0,4.0,103.3
237,1984.0,2.0,102.9
238,1983.0,12.0,101.2
239,1983.0,10.0,101.5
240,1983.0,8.0,100.7
241,1983.0,6.0,100.1
242,1983.0,4.0,98.4
243,1983.0,2.0,97.1
244,1982.0,12.0,96.7
245,1982.0,10.0,97.8
246,1982.0,8.0,97.0
247,1982.0,6.0,97.2
248,1982.0,4.0,94.7
249,1982.0,2.0,93.6
250,1981.0,12.0,94.1
251,1981.0,10.0,93.2
252,1981.0,8.0,91.9
253,1981.0,6.0,91.2
254,1981.0,4.0,89.1
255,1981.0,2.0,87.5
256,1980.0,12.0,85.9
257,1980.0,10.0,84.4
258,1980.0,8.0,82.4
259,1980.0,6.0,81.7
260,1980.0,4.0,80.1
261,1980.0,2.0,77.0
262,1979.0,12.0,74.6
263,1979.0,10.0,72.7
264,1979.0,8.0,71.1
265,1979.0,6.0,69.3
266,1979.0,4.0,67.3
267,1979.0,2.0,65.6
268,1978.0,12.0,64.3
269,1978.0,10.0,63.7
270,1978.0,8.0,62.9
271,1978.0,6.0,61.7
272,1978.0,4.0,60.3
273,1978.0,2.0,59.5
274,1977.0,11.0,58.6
275,1977.0,8.0,58.1
276,1977.0,5.0,57.2
277,1977.0,2.0,55.9
278,1976.0,11.0,54.7
279,1976.0,8.0,53.9
280,1976.0,5.0,53.0
281,1976.0,2.0,52.2
282,1975.0,11.0,51.8
283,1975.0,8.0,51.2
284,1975.0,5.0,49.7
285,1975.0,2.0,49.1
286,1974.0,11.0,48.2
287,1974.0,8.0,47.0
288,1974.0,5.0,45.6
289,1974.0,2.0,44.5
290,1973.0,11.0,43.2
291,1973.0,8.0,42.6
292,1973.0,5.0,41.6
293,1973.0,2.0,40.7
294,1972.0,11.0,40.1
295,1972.0,8.0,40.0
296,1972.0,5.0,39.7
297,1972.0,2.0,39.4
298,1971.0,11.0,39.0
299,1971.0,8.0,39.1
300,1971.0,5.0,38.4
301,1971.0,2.0,38.2
302,1970.0,11.0,37.9
303,1970.0,8.0,37.8
304,1970.0,5.0,37.5
305,1970.0,2.0,37.0
306,1969.0,11.0,36.5
307,1969.0,8.0,35.7
308,1969.0,5.0,35.2
309,1969.0,2.0,34.4
310,1968.0,11.0,34.0
311,1968.0,8.0,33.5
312,1968.0,5.0,33.2
313,1968.0,2.0,32.5
314,1967.0,11.0,32.2
315,1967.0,8.0,32.1
316,1967.0,5.0,31.7
317,1967.0,2.0,31.6
318,1966.0,11.0,31.4
319,1966.0,8.0,31.1
