,Year,Month,Value
0,2023.0,7.0,323.298
1,2023.0,5.0,319.132
2,2023.0,3.0,316.566
3,2023.0,1.0,312.392
4,2022.0,11.0,309.655
5,2022.0,9.0,308.211
6,2022.0,7.0,308.728
7,2022.0,5.0,303.51
8,2022.0,3.0,299.529
9,2022.0,1.0,293.58
10,2021.0,11.0,289.621
11,2021.0,9.0,286.186
12,2021.0,7.0,285.268
13,2021.0,5.0,280.154
14,2021.0,3.0,274.43
15,2021.0,1.0,272.156
16,2020.0,11.0,271.837
17,2020.0,9.0,273.86
18,2020.0,7.0,275.589
19,2020.0,5.0,271.379
20,2020.0,3.0,270.12
21,2020.0,1.0,270.952
22,2019.0,11.0,271.142
23,2019.0,9.0,270.974
24,2019.0,7.0,267.285
25,2019.0,5.0,266.28
26,2019.0,3.0,264.332
27,2019.0,1.0,260.942
28,2018.0,11.0,263.679
29,2018.0,9.0,263.723
30,2018.0,7.0,261.707
31,2018.0,5.0,262.15
32,2018.0,3.0,260.595
33,2018.0,1.0,259.907
34,2017.0,11.0,258.614
35,1986.0,12.0,108.4
36,1986.0,11.0,108.3
37,1986.0,9.0,108.8
38,1986.0,7.0,107.5
39,1986.0,5.0,106.8
40,1986.0,3.0,106.7
41,1986.0,1.0,109.3
42,1985.0,11.0,107.8
43,1985.0,9.0,107.4
44,1985.0,7.0,108.0
45,1985.0,5.0,106.8
46,1985.0,3.0,106.5
47,1985.0,1.0,105.1
48,1984.0,11.0,104.8
49,1984.0,9.0,105.4
50,1984.0,7.0,104.9
51,1984.0,5.0,103.9
52,1984.0,3.0,103.5
53,1984.0,1.0,103.0
54,1983.0,11.0,101.9
55,1983.0,9.0,101.8
56,1983.0,7.0,100.7
57,1983.0,5.0,100.4
58,1983.0,3.0,98.8
59,1983.0,1.0,98.2
60,1982.0,11.0,97.8
61,1982.0,9.0,97.3
62,1982.0,7.0,95.9
63,1982.0,5.0,94.0
64,1982.0,3.0,92.7
65,1982.0,1.0,91.6
66,1981.0,11.0,89.3
67,1981.0,9.0,89.6
68,1981.0,7.0,88.2
69,1981.0,5.0,86.4
70,1981.0,3.0,84.4
71,1981.0,1.0,83.2
72,1980.0,11.0,81.5
73,1980.0,9.0,80.2
74,1980.0,7.0,78.5
75,1980.0,5.0,77.4
76,1980.0,3.0,76.5
77,1980.0,1.0,74.2
78,1979.0,11.0,73.7
79,1979.0,9.0,72.2
80,1979.0,7.0,70.9
81,1979.0,5.0,69.3
82,1979.0,3.0,66.9
83,1979.0,1.0,64.8
84,1978.0,11.0,63.4
85,1978.0,9.0,62.1
86,1978.0,7.0,60.7
87,1978.0,5.0,59.5
88,1978.0,3.0,58.5
89,1978.0,1.0,57.7
90,1977.0,10.0,56.6
91,1977.0,7.0,55.8
92,1977.0,4.0,54.8
93,1977.0,1.0,52.7
94,1976.0,10.0,51.9
95,1976.0,7.0,51.4
96,1976.0,4.0,50.4
97,1976.0,1.0,49.7
98,1975.0,10.0,49.3
99,1975.0,7.0,48.7
100,1975.0,4.0,47.6
101,1975.0,1.0,46.9
102,1974.0,10.0,45.6
103,1974.0,7.0,44.1
104,1974.0,4.0,42.7
105,1974.0,1.0,41.5
106,1973.0,10.0,40.6
107,1973.0,7.0,39.6
108,1973.0,4.0,39.0
109,1973.0,1.0,37.8
110,1972.0,10.0,37.4
111,1972.0,7.0,37.0
112,1972.0,4.0,36.9
113,1972.0,1.0,36.3
114,1971.0,10.0,36.3
115,1971.0,7.0,36.0
116,1971.0,4.0,35.5
117,1971.0,1.0,35.3
118,1970.0,10.0,35.2
119,1970.0,7.0,34.9
120,1970.0,4.0,33.9
121,1970.0,1.0,33.0
122,1969.0,10.0,32.7
123,1969.0,7.0,32.0
124,1969.0,4.0,31.6
125,1969.0,1.0,31.1
126,1968.0,10.0,30.9
127,1968.0,7.0,30.7
128,1968.0,4.0,30.7
129,1968.0,1.0,30.4
130,1967.0,10.0,30.2
131,1967.0,7.0,30.1
132,1967.0,4.0,29.7
133,1967.0,1.0,29.7
134,1966.0,10.0,29.9
135,1966.0,7.0,29.7
136,1966.0,4.0,29.6
137,1966.0,1.0,29.2
138,1965.0,10.0,28.9
139,1965.0,7.0,28.9
140,1965.0,4.0,28.6
141,1965.0,1.0,28.5
142,1964.0,10.0,28.5
143,1964.0,7.0,28.5
144,1964.0,4.0,28.0
145,1964.0,1.0,28.2
