,Year,Month,Value
0,2023.0,8.0,339.347
1,2023.0,6.0,335.27
2,2023.0,4.0,333.592
3,2023.0,2.0,329.065
4,2022.0,12.0,322.21
5,2022.0,10.0,317.615
6,2022.0,8.0,314.69
7,2022.0,6.0,313.509
8,2022.0,4.0,305.958
9,2022.0,2.0,301.458
10,2021.0,12.0,293.284
11,2021.0,10.0,289.793
12,2021.0,8.0,285.472
13,2021.0,6.0,284.797
14,2021.0,4.0,280.39
15,2021.0,2.0,275.849
16,2020.0,12.0,273.774
17,2020.0,10.0,274.193
18,2020.0,8.0,273.861
19,2020.0,6.0,271.072
20,2020.0,4.0,269.237
21,2020.0,2.0,272.044
22,2019.0,12.0,270.918
23,2019.0,10.0,271.381
24,2019.0,8.0,270.176
25,2019.0,6.0,269.119
26,2019.0,4.0,270.553
27,2019.0,2.0,268.288
28,2018.0,12.0,265.731
29,2018.0,10.0,267.28
30,2018.0,8.0,265.062
31,2018.0,6.0,265.973
32,2018.0,4.0,264.696
33,2018.0,2.0,264.99
34,2017.0,12.0,258.238
35,2017.0,10.0,258.456
36,2017.0,8.0,255.898
37,2017.0,6.0,255.134
38,2017.0,4.0,255.708
39,2017.0,2.0,256.89
40,2016.0,12.0,253.629
41,2016.0,10.0,251.571
42,2016.0,8.0,250.263
43,2016.0,6.0,250.208
44,2016.0,4.0,248.741
45,2016.0,2.0,247.126
46,2015.0,12.0,246.597
47,2015.0,10.0,246.789
48,2015.0,8.0,246.348
49,2015.0,6.0,246.245
50,2015.0,4.0,245.195
51,2015.0,2.0,243.283
52,2014.0,12.0,242.676
53,2014.0,10.0,244.13
54,2014.0,8.0,243.124
55,2014.0,6.0,243.428
56,2014.0,4.0,244.073
57,2014.0,2.0,242.268
58,2013.0,12.0,239.417
59,2013.0,10.0,238.858
60,2013.0,8.0,237.438
61,2013.0,6.0,237.815
62,2013.0,4.0,238.124
63,2013.0,2.0,238.524
64,2012.0,12.0,235.023
65,2012.0,10.0,236.793
66,2012.0,8.0,236.11
67,2012.0,6.0,233.991
68,2012.0,4.0,236.095
69,2012.0,2.0,234.043
70,2011.0,12.0,231.794
71,2011.0,10.0,232.141
72,2011.0,8.0,232.749
73,2011.0,6.0,231.197
74,2011.0,4.0,231.503
75,2011.0,2.0,227.451
76,2010.0,12.0,224.907
77,2010.0,10.0,223.631
78,2010.0,8.0,222.803
79,2010.0,6.0,222.39
80,2010.0,4.0,222.625
81,2010.0,2.0,222.505
82,2009.0,12.0,222.943
83,2009.0,10.0,222.416
84,2009.0,8.0,221.306
85,2009.0,6.0,221.485
86,2009.0,4.0,220.74
87,2009.0,2.0,220.589
88,2008.0,12.0,218.324
89,2008.0,10.0,223.699
90,2008.0,8.0,225.473
91,2008.0,6.0,225.079
92,2008.0,4.0,221.324
93,2008.0,2.0,219.082
94,2007.0,12.0,217.319
95,2007.0,10.0,215.159
96,2007.0,8.0,213.127
97,2007.0,6.0,212.82
98,2007.0,4.0,210.904
99,2007.0,2.0,207.989
100,2006.0,12.0,205.4
101,2006.0,10.0,204.8
102,2006.0,8.0,205.6
103,2006.0,6.0,203.8
104,2006.0,4.0,203.8
105,2006.0,2.0,202.2
106,2005.0,12.0,197.4
107,2005.0,10.0,198.8
108,2005.0,8.0,195.6
109,2005.0,6.0,192.6
110,2005.0,4.0,193.2
111,2005.0,2.0,190.6
112,2004.0,12.0,188.6
113,2004.0,10.0,187.0
114,2004.0,8.0,185.1
115,2004.0,6.0,185.6
116,2004.0,4.0,185.2
117,2004.0,2.0,183.6
118,2003.0,12.0,181.6
119,2003.0,10.0,181.6
120,2003.0,8.0,180.9
121,2003.0,6.0,179.4
122,2003.0,4.0,180.6
123,2003.0,2.0,180.3
124,2002.0,12.0,177.9
125,2002.0,10.0,177.0
126,2002.0,8.0,175.2
127,2002.0,6.0,174.4
128,2002.0,4.0,175.0
129,2002.0,2.0,175.0
130,2001.0,12.0,173.1
131,2001.0,10.0,174.2
132,2001.0,8.0,173.5
133,2001.0,6.0,173.5
134,2001.0,4.0,172.8
135,2001.0,2.0,171.9
136,2000.0,12.0,169.5
137,2000.0,10.0,169.6
138,2000.0,8.0,168.4
139,2000.0,6.0,168.0
140,2000.0,4.0,166.9
141,2000.0,2.0,165.9
142,1999.0,12.0,164.8
143,1999.0,10.0,164.1
144,1999.0,8.0,162.3
145,1999.0,6.0,161.3
146,1999.0,4.0,161.7
147,1999.0,2.0,161.4
148,1998.0,12.0,161.1
149,1998.0,10.0,161.1
150,1998.0,8.0,160.8
151,1998.0,6.0,160.2
152,1998.0,4.0,160.2
153,1998.0,2.0,160.2
154,1997.0,12.0,159.3
155,1997.0,11.0,159.5
156,1997.0,9.0,158.5
157,1997.0,7.0,157.9
158,1997.0,5.0,157.9
159,1997.0,3.0,158.5
160,1997.0,1.0,158.1
161,1996.0,11.0,156.4
162,1996.0,9.0,154.6
163,1996.0,7.0,152.4
164,1996.0,5.0,152.6
