,Year,Month,Value
0,2023.0,8.0,324.38
1,2023.0,7.0,322.496
2,2023.0,6.0,321.29
3,2023.0,5.0,320.002
4,2023.0,4.0,319.211
5,2023.0,3.0,319.038
6,2023.0,2.0,319.295
7,2023.0,1.0,318.151
8,2022.0,12.0,315.656
9,2022.0,11.0,314.975
10,2022.0,10.0,314.338
11,2022.0,9.0,313.88
12,2022.0,8.0,313.28
13,2022.0,7.0,312.615
14,2022.0,6.0,313.589
15,2022.0,5.0,309.243
16,2022.0,4.0,307.781
17,2022.0,3.0,305.024
18,2022.0,2.0,301.151
19,2022.0,1.0,300.164
20,2021.0,12.0,296.865
21,2021.0,11.0,297.49
22,2021.0,10.0,296.472
23,2021.0,9.0,295.488
24,2021.0,8.0,293.927
25,2021.0,7.0,293.553
26,2021.0,6.0,293.872
27,2021.0,5.0,290.991
28,2021.0,4.0,289.493
29,2021.0,3.0,287.481
30,2021.0,2.0,286.474
31,2021.0,1.0,285.525
32,2020.0,12.0,284.35
33,2020.0,11.0,283.291
34,2020.0,10.0,284.121
35,2020.0,9.0,284.551
36,2020.0,8.0,283.478
37,2020.0,7.0,283.624
38,2020.0,6.0,282.333
39,2020.0,5.0,282.092
40,2020.0,4.0,280.623
41,2020.0,3.0,281.975
42,2020.0,2.0,282.577
43,2020.0,1.0,282.02
44,2019.0,12.0,279.816
45,2019.0,11.0,279.468
46,2019.0,10.0,279.255
47,2019.0,9.0,279.338
48,2019.0,8.0,279.428
49,2019.0,7.0,278.817
50,2019.0,6.0,278.802
51,2019.0,5.0,278.068
52,2019.0,4.0,277.441
53,2019.0,3.0,276.57
54,2019.0,2.0,275.823
55,2019.0,1.0,275.144
56,2018.0,12.0,273.836
57,2018.0,11.0,274.478
58,2018.0,10.0,275.101
59,2018.0,9.0,275.455
60,2018.0,8.0,274.441
61,2018.0,7.0,274.073
62,2018.0,6.0,274.17
63,2018.0,5.0,274.001
64,2018.0,4.0,272.95
65,2018.0,3.0,272.196
66,2018.0,2.0,272.214
67,2018.0,1.0,270.771
68,2017.0,12.0,269.564
69,2017.0,11.0,269.381
70,2017.0,10.0,269.575
71,2017.0,9.0,270.059
72,2017.0,8.0,268.657
73,2017.0,7.0,268.051
74,2017.0,6.0,268.666
75,2017.0,5.0,268.183
76,2017.0,4.0,267.948
77,2017.0,3.0,267.582
78,2017.0,2.0,267.662
79,2017.0,1.0,266.917
80,2016.0,12.0,265.421
81,2016.0,11.0,265.203
82,2016.0,10.0,264.738
83,2016.0,9.0,264.602
84,2016.0,8.0,264.16
85,2016.0,7.0,263.722
86,2016.0,6.0,263.877
87,2016.0,5.0,263.312
88,2016.0,4.0,262.619
89,2016.0,3.0,261.508
90,2016.0,2.0,260.875
91,2016.0,1.0,260.342
92,2015.0,12.0,259.941
93,2015.0,11.0,261.009
94,2015.0,10.0,261.515
95,2015.0,9.0,261.887
96,2015.0,8.0,261.347
97,2015.0,7.0,261.199
98,2015.0,6.0,261.512
99,2015.0,5.0,261.066
100,2015.0,4.0,259.959
101,2015.0,3.0,259.647
102,2015.0,2.0,259.24
103,2015.0,1.0,258.376
104,2014.0,12.0,258.08
105,2014.0,11.0,259.382
106,2014.0,10.0,260.5
107,2014.0,9.0,261.074
108,2014.0,8.0,261.075
109,2014.0,7.0,261.498
110,2014.0,6.0,261.35
111,2014.0,5.0,261.225
112,2014.0,4.0,259.985
113,2014.0,3.0,259.971
114,2014.0,2.0,259.019
115,2014.0,1.0,259.596
116,2013.0,12.0,257.284
117,2013.0,11.0,257.377
118,2013.0,10.0,257.069
119,2013.0,9.0,258.504
120,2013.0,8.0,257.659
121,2013.0,7.0,257.326
122,2013.0,6.0,256.911
123,2013.0,5.0,256.27
124,2013.0,4.0,255.967
125,2013.0,3.0,256.589
126,2013.0,2.0,256.234
127,2013.0,1.0,254.807
128,2012.0,12.0,253.555
129,2012.0,11.0,254.285
130,2012.0,10.0,254.277
131,2012.0,9.0,254.554
132,2012.0,8.0,253.472
133,2012.0,7.0,252.016
134,2012.0,6.0,252.406
135,2012.0,5.0,252.652
136,2012.0,4.0,252.349
137,2012.0,3.0,251.887
138,2012.0,2.0,250.285
139,2012.0,1.0,249.322
140,2011.0,12.0,248.307
141,2011.0,11.0,249.317
142,2011.0,10.0,250.051
143,2011.0,9.0,250.559
144,2011.0,8.0,250.058
145,2011.0,7.0,249.164
146,2011.0,6.0,248.505
147,2011.0,5.0,248.073
148,2011.0,4.0,246.489
149,2011.0,3.0,245.617
150,2011.0,2.0,243.832
151,2011.0,1.0,242.639
152,2010.0,12.0,241.874
153,2010.0,11.0,241.96
154,2010.0,10.0,241.981
155,2010.0,9.0,241.485
156,2010.0,8.0,241.569
157,2010.0,7.0,241.147
158,2010.0,6.0,240.817
159,2010.0,5.0,241.075
160,2010.0,4.0,240.529
161,2010.0,3.0,240.101
162,2010.0,2.0,238.862
163,2010.0,1.0,238.97
164,2009.0,12.0,238.427
165,2009.0,11.0,238.777
166,2009.0,10.0,238.38
167,2009.0,9.0,238.568
168,2009.0,8.0,238.282
169,2009.0,7.0,237.6
170,2009.0,6.0,237.172
171,2009.0,5.0,235.975
172,2009.0,4.0,235.582
173,2009.0,3.0,235.067
174,2009.0,2.0,234.663
175,2009.0,1.0,233.402
176,2008.0,12.0,233.012
177,2008.0,11.0,234.498
178,2008.0,10.0,238.403
179,2008.0,9.0,240.089
180,2008.0,8.0,240.55
181,2008.0,7.0,240.273
182,2008.0,6.0,238.58
183,2008.0,5.0,236.151
184,2008.0,4.0,233.822
185,2008.0,3.0,233.122
186,2008.0,2.0,231.02
187,2008.0,1.0,229.869
188,2007.0,12.0,229.395
189,2007.0,11.0,229.504
190,2007.0,10.0,228.552
191,2007.0,9.0,228.308
192,2007.0,8.0,228.326
193,2007.0,7.0,228.628
194,2007.0,6.0,228.258
195,2007.0,5.0,227.146
196,2007.0,4.0,225.78
