,Year,Month,Value
0,2023.0,8.0,340.094
1,2023.0,6.0,340.056
2,2023.0,4.0,338.496
3,2023.0,2.0,337.173
4,2022.0,12.0,331.222
5,2022.0,10.0,332.062
6,2022.0,8.0,328.871
7,2022.0,6.0,330.539
8,2022.0,4.0,324.878
9,2022.0,2.0,320.195
10,2021.0,12.0,315.805
11,2021.0,10.0,313.265
12,2021.0,8.0,311.167
13,2021.0,6.0,309.497
14,2021.0,4.0,309.419
15,2021.0,2.0,304.387
16,2020.0,12.0,302.948
17,2020.0,10.0,301.736
18,2020.0,8.0,300.182
19,2020.0,6.0,300.032
20,2020.0,4.0,298.074
21,2020.0,2.0,299.69
22,2019.0,12.0,297.007
23,2019.0,10.0,298.443
24,2019.0,8.0,295.49
25,2019.0,6.0,295.259
26,2019.0,4.0,294.801
27,2019.0,2.0,291.227
28,2018.0,12.0,289.896
29,2018.0,10.0,289.673
30,2018.0,8.0,287.664
31,2018.0,6.0,286.062
32,2018.0,4.0,283.422
33,2018.0,2.0,281.308
34,2017.0,12.0,277.414
35,2017.0,10.0,277.57
36,2017.0,8.0,275.893
37,2017.0,6.0,275.304
38,2017.0,4.0,274.589
39,2017.0,2.0,271.626
40,2016.0,12.0,269.483
41,2016.0,10.0,270.306
42,2016.0,8.0,267.853
43,2016.0,6.0,266.041
44,2016.0,4.0,264.565
45,2016.0,2.0,262.6
46,2015.0,12.0,260.289
47,2015.0,10.0,261.019
48,2015.0,8.0,259.917
49,2015.0,6.0,259.117
50,2015.0,4.0,257.622
51,2015.0,2.0,254.91
52,2014.0,12.0,252.273
53,2014.0,10.0,254.503
54,2014.0,8.0,253.354
55,2014.0,6.0,253.317
56,2014.0,4.0,251.495
57,2014.0,2.0,248.615
58,2013.0,12.0,245.711
59,2013.0,10.0,246.617
60,2013.0,8.0,246.072
61,2013.0,6.0,245.935
62,2013.0,4.0,244.675
63,2013.0,2.0,242.677
64,2012.0,12.0,239.533
65,2012.0,10.0,242.834
66,2012.0,8.0,241.17
67,2012.0,6.0,239.806
68,2012.0,4.0,238.985
69,2012.0,2.0,236.88
70,2011.0,12.0,234.327
71,2011.0,10.0,235.331
72,2011.0,8.0,234.608
73,2011.0,6.0,233.646
74,2011.0,4.0,234.121
75,2011.0,2.0,229.981
76,2010.0,12.0,227.658
77,2010.0,10.0,228.107
78,2010.0,8.0,227.954
79,2010.0,6.0,228.11
80,2010.0,4.0,227.697
