,Year,Month,Value
0,2023.0,8.0,324.1
1,2023.0,7.0,323.523
2,2023.0,6.0,322.556
3,2023.0,5.0,322.249
4,2023.0,4.0,321.566
5,2023.0,3.0,320.863
6,2023.0,2.0,320.569
7,2023.0,1.0,319.136
8,2022.0,12.0,316.839
9,2022.0,11.0,315.857
10,2022.0,10.0,315.323
11,2022.0,9.0,313.142
12,2022.0,8.0,310.875
13,2022.0,7.0,308.532
14,2022.0,6.0,305.041
15,2022.0,5.0,302.038
16,2022.0,4.0,298.711
17,2022.0,3.0,295.728
18,2022.0,2.0,292.794
19,2022.0,1.0,289.772
20,2021.0,12.0,286.966
21,2021.0,11.0,285.507
22,2021.0,10.0,284.205
23,2021.0,9.0,281.506
24,2021.0,8.0,279.135
25,2021.0,7.0,278.127
26,2021.0,6.0,276.206
27,2021.0,5.0,274.212
28,2021.0,4.0,273.09
29,2021.0,3.0,271.812
30,2021.0,2.0,271.363
31,2021.0,1.0,270.938
32,2020.0,12.0,270.023
33,2020.0,11.0,269.069
34,2020.0,10.0,269.828
35,2020.0,9.0,269.163
36,2020.0,8.0,269.079
37,2020.0,7.0,268.863
38,2020.0,6.0,269.77
39,2020.0,5.0,268.439
40,2020.0,4.0,266.757
41,2020.0,3.0,262.708
42,2020.0,2.0,261.876
43,2020.0,1.0,261.057
44,2019.0,12.0,259.823
45,2019.0,11.0,259.467
46,2019.0,10.0,259.632
47,2019.0,9.0,258.943
48,2019.0,8.0,258.41
49,2019.0,7.0,258.274
50,2019.0,6.0,258.064
51,2019.0,5.0,258.11
52,2019.0,4.0,257.708
53,2019.0,3.0,257.724
54,2019.0,2.0,257.222
55,2019.0,1.0,256.417
56,2018.0,12.0,255.21
57,2018.0,11.0,254.379
58,2018.0,10.0,254.358
59,2018.0,9.0,254.393
60,2018.0,8.0,254.077
61,2018.0,7.0,253.746
62,2018.0,6.0,253.231
63,2018.0,5.0,253.098
64,2018.0,4.0,253.209
65,2018.0,3.0,252.37
66,2018.0,2.0,252.266
67,2018.0,1.0,252.361
68,2017.0,12.0,251.238
69,2017.0,11.0,250.871
70,2017.0,10.0,251.364
71,2017.0,9.0,250.993
72,2017.0,8.0,250.493
73,2017.0,7.0,250.214
74,2017.0,6.0,249.653
75,2017.0,5.0,250.016
76,2017.0,4.0,249.739
77,2017.0,3.0,249.165
78,2017.0,2.0,248.791
79,2017.0,1.0,248.242
80,2016.0,12.0,247.313
81,2016.0,11.0,247.435
82,2016.0,10.0,248.073
83,2016.0,9.0,247.917
84,2016.0,8.0,247.719
85,2016.0,7.0,247.554
86,2016.0,6.0,247.482
87,2016.0,5.0,247.86
88,2016.0,4.0,248.413
89,2016.0,3.0,247.978
90,2016.0,2.0,248.8
91,2016.0,1.0,248.631
92,2015.0,12.0,247.903
93,2015.0,11.0,248.306
94,2015.0,10.0,249.052
95,2015.0,9.0,248.632
96,2015.0,8.0,247.671
97,2015.0,7.0,247.003
98,2015.0,6.0,246.68
99,2015.0,5.0,246.187
100,2015.0,4.0,246.121
101,2015.0,3.0,246.045
102,2015.0,2.0,246.68
103,2015.0,1.0,246.538
104,2014.0,12.0,245.976
