,Year,Month,Value
0,2023.0,7.0,343.963
1,2023.0,5.0,339.467
2,2023.0,3.0,338.121
3,2023.0,1.0,336.134
4,2022.0,11.0,331.681
5,2022.0,9.0,331.888
6,2022.0,7.0,325.185
7,2022.0,5.0,316.898
8,2022.0,3.0,309.522
9,2022.0,1.0,304.158
10,2021.0,11.0,299.367
11,2021.0,9.0,295.902
12,2021.0,7.0,294.819
13,2021.0,5.0,291.594
14,2021.0,3.0,288.899
15,2021.0,1.0,286.856
16,2020.0,11.0,283.592
17,2020.0,9.0,285.154
18,2020.0,7.0,288.878
19,2020.0,5.0,288.185
20,2020.0,3.0,278.502
21,2020.0,1.0,273.8
22,2019.0,11.0,269.785
23,2019.0,9.0,266.716
24,2019.0,7.0,268.511
25,2019.0,5.0,269.182
26,2019.0,3.0,272.174
27,2019.0,1.0,269.169
28,2018.0,11.0,266.382
29,2018.0,9.0,269.284
30,2018.0,7.0,266.755
31,2018.0,5.0,264.892
32,2018.0,3.0,265.233
33,2018.0,1.0,264.084
34,2017.0,11.0,261.898
35,2017.0,9.0,262.306
36,2017.0,7.0,262.963
37,2017.0,5.0,260.444
38,2017.0,3.0,258.746
39,2017.0,1.0,260.19
40,2016.0,11.0,258.588
41,2016.0,9.0,258.795
42,2016.0,7.0,258.955
43,2016.0,5.0,257.943
44,2016.0,3.0,259.861
45,2016.0,1.0,260.627
46,2015.0,11.0,257.242
47,2015.0,9.0,257.173
48,2015.0,7.0,256.546
49,2015.0,5.0,254.94
50,2015.0,3.0,254.813
51,2015.0,1.0,254.776
52,2014.0,11.0,252.201
53,2014.0,9.0,251.716
54,2014.0,7.0,250.544
55,2014.0,5.0,250.742
56,2014.0,3.0,249.974
57,2014.0,1.0,250.557
58,2013.0,11.0,247.762
59,2013.0,9.0,248.03
60,2013.0,7.0,249.505
61,2013.0,5.0,249.347
62,2013.0,3.0,247.025
63,2013.0,1.0,247.857
64,2012.0,11.0,245.599
65,2012.0,9.0,246.994
66,2012.0,7.0,246.156
67,2012.0,5.0,245.001
68,2012.0,3.0,243.008
69,2012.0,1.0,245.15
70,2011.0,11.0,242.982
71,2011.0,9.0,242.534
72,2011.0,7.0,240.79
73,2011.0,5.0,238.545
74,2011.0,3.0,235.88
75,2011.0,1.0,234.88
76,2010.0,11.0,231.976
77,2010.0,9.0,232.211
78,2010.0,7.0,231.121
79,2010.0,5.0,232.368
80,2010.0,3.0,231.694
81,2010.0,1.0,232.671
82,2009.0,11.0,229.94
83,2009.0,9.0,230.075
84,2009.0,7.0,227.826
85,2009.0,5.0,228.869
86,2009.0,3.0,229.432
87,2009.0,1.0,230.684
88,2008.0,11.0,230.774
89,2008.0,9.0,228.922
90,2008.0,7.0,224.933
91,2008.0,5.0,221.678
92,2008.0,3.0,218.727
93,2008.0,1.0,217.982
94,2007.0,11.0,216.03
95,2007.0,9.0,215.5
96,2007.0,7.0,214.469
97,2007.0,5.0,213.222
98,2007.0,3.0,212.427
99,2007.0,1.0,210.122
100,2006.0,11.0,207.7
101,2006.0,9.0,208.8
102,2006.0,7.0,207.8
103,2006.0,5.0,205.6
104,2006.0,3.0,204.3
105,2006.0,1.0,204.3
106,2005.0,11.0,200.9
107,2005.0,9.0,201.3
108,2005.0,7.0,200.0
109,2005.0,5.0,201.4
110,2005.0,3.0,200.0
111,2005.0,1.0,200.3
112,2004.0,11.0,198.8
113,2004.0,9.0,196.8
114,2004.0,7.0,195.9
115,2004.0,5.0,195.3
116,2004.0,3.0,192.5
117,2004.0,1.0,193.4
118,2003.0,11.0,191.6
119,2003.0,9.0,191.5
120,2003.0,7.0,188.2
121,2003.0,5.0,189.3
122,2003.0,3.0,186.9
123,2003.0,1.0,187.5
124,2002.0,11.0,185.6
125,2002.0,9.0,186.0
126,2002.0,7.0,184.4
127,2002.0,5.0,184.2
128,2002.0,3.0,185.1
129,2002.0,1.0,187.6
130,2001.0,11.0,185.5
131,2001.0,9.0,183.9
132,2001.0,7.0,184.2
133,2001.0,5.0,180.3
134,2001.0,3.0,180.1
135,2001.0,1.0,179.2
136,2000.0,11.0,177.8
137,2000.0,9.0,176.6
138,2000.0,7.0,175.8
139,2000.0,5.0,174.0
140,2000.0,3.0,172.5
141,2000.0,1.0,173.6
142,1999.0,11.0,172.9
143,1999.0,9.0,170.8
144,1999.0,7.0,171.6
145,1999.0,5.0,170.6
146,1999.0,3.0,169.1
147,1999.0,1.0,169.9
148,1998.0,11.0,169.2
149,1998.0,9.0,166.6
150,1998.0,7.0,166.3
151,1998.0,5.0,165.4
152,1998.0,3.0,164.2
153,1998.0,1.0,165.1
154,1997.0,11.0,161.7
155,1997.0,9.0,161.1
156,1997.0,7.0,160.4
157,1997.0,5.0,159.7
158,1997.0,3.0,160.0
159,1997.0,1.0,159.1
160,1996.0,11.0,159.1
161,1996.0,9.0,158.1
162,1996.0,7.0,157.2
163,1996.0,5.0,156.7
164,1996.0,3.0,157.5
165,1996.0,1.0,155.8
166,1995.0,11.0,153.5
167,1995.0,9.0,153.1
168,1995.0,7.0,152.2
169,1995.0,5.0,153.7
170,1995.0,3.0,152.9
171,1995.0,1.0,155.4
172,1994.0,11.0,150.4
173,1994.0,9.0,151.1
174,1994.0,7.0,149.8
175,1994.0,5.0,148.4
176,1994.0,3.0,149.4
177,1994.0,1.0,148.0
178,1993.0,11.0,147.0
179,1993.0,9.0,146.4
180,1993.0,7.0,146.5
181,1993.0,5.0,146.2
182,1993.0,3.0,145.2
183,1993.0,1.0,145.2
184,1992.0,11.0,142.9
185,1992.0,9.0,142.6
186,1992.0,7.0,142.4
187,1992.0,5.0,141.8
188,1992.0,3.0,143.0
189,1992.0,1.0,142.8
190,1991.0,11.0,142.3
191,1991.0,9.0,141.2
192,1991.0,7.0,142.4
193,1991.0,5.0,143.0
194,1991.0,3.0,140.9
195,1991.0,1.0,142.1
196,1990.0,11.0,140.6
197,1990.0,9.0,139.7
198,1990.0,7.0,138.5
199,1990.0,5.0,138.3
200,1990.0,3.0,138.6
201,1990.0,1.0,137.4
202,1989.0,11.0,134.1
203,1989.0,9.0,134.1
204,1989.0,7.0,133.8
205,1989.0,5.0,131.8
206,1989.0,3.0,130.4
207,1989.0,1.0,128.2
208,1988.0,11.0,126.3
209,1988.0,9.0,127.3
210,1988.0,7.0,124.7
211,1988.0,5.0,123.2
212,1988.0,3.0,120.3
213,1988.0,1.0,121.6
214,1987.0,11.0,119.4
215,1987.0,9.0,120.0
216,1987.0,7.0,119.1
217,1987.0,5.0,118.8
218,1987.0,3.0,118.1
219,1987.0,1.0,119.1
220,1986.0,11.0,115.2
221,1986.0,9.0,116.2
222,1986.0,7.0,114.0
223,1986.0,5.0,112.0
224,1986.0,3.0,110.4
225,1986.0,1.0,111.5
226,1985.0,11.0,109.7
227,1985.0,9.0,109.0
228,1985.0,7.0,109.2
229,1985.0,5.0,107.8
230,1985.0,3.0,107.7
231,1985.0,1.0,106.7
232,1984.0,11.0,104.9
233,1984.0,9.0,105.0
234,1984.0,7.0,104.5
235,1984.0,5.0,104.0
236,1984.0,3.0,103.9
237,1984.0,1.0,102.2
238,1983.0,11.0,99.8
239,1983.0,9.0,99.1
240,1983.0,7.0,99.4
241,1983.0,5.0,98.4
242,1983.0,3.0,98.9
243,1983.0,1.0,97.4
244,1982.0,11.0,96.9
245,1982.0,9.0,97.1
246,1982.0,7.0,97.4
247,1982.0,5.0,96.6
