,Year,Month,Value
0,2023.0,8.0,317.506
1,2023.0,7.0,318.025
2,2023.0,6.0,315.066
3,2023.0,5.0,316.149
4,2023.0,4.0,313.423
5,2023.0,3.0,311.726
6,2023.0,2.0,311.791
7,2023.0,1.0,309.578
8,2022.0,12.0,307.177
9,2022.0,11.0,310.034
10,2022.0,10.0,307.947
11,2022.0,9.0,307.977
12,2022.0,8.0,306.927
13,2022.0,7.0,304.737
14,2022.0,6.0,305.148
15,2022.0,5.0,301.455
16,2022.0,4.0,298.418
17,2022.0,3.0,294.405
18,2022.0,2.0,290.235
19,2022.0,1.0,289.35
20,2021.0,12.0,285.17
21,2021.0,11.0,284.159
22,2021.0,10.0,281.868
23,2021.0,9.0,281.139
24,2021.0,8.0,277.419
25,2021.0,7.0,274.437
26,2021.0,6.0,274.439
27,2021.0,5.0,271.86
28,2021.0,4.0,269.946
29,2021.0,3.0,269.011
30,2021.0,2.0,269.334
31,2021.0,1.0,267.96
32,2020.0,12.0,265.459
33,2020.0,11.0,265.872
34,2020.0,10.0,267.191
35,2020.0,9.0,264.931
36,2020.0,8.0,259.872
37,2020.0,7.0,261.601
38,2020.0,6.0,261.52
39,2020.0,5.0,262.924
40,2020.0,4.0,260.803
41,2020.0,3.0,256.325
42,2020.0,2.0,255.29
43,2020.0,1.0,254.536
44,2019.0,12.0,252.756
45,2019.0,11.0,253.398
46,2019.0,10.0,254.228
47,2019.0,9.0,254.249
48,2019.0,8.0,253.148
49,2019.0,7.0,251.52
50,2019.0,6.0,252.5
51,2019.0,5.0,252.177
52,2019.0,4.0,250.419
53,2019.0,3.0,250.201
54,2019.0,2.0,252.424
55,2019.0,1.0,251.246
56,2018.0,12.0,248.944
57,2018.0,11.0,248.56
58,2018.0,10.0,249.421
59,2018.0,9.0,249.656
60,2018.0,8.0,246.923
61,2018.0,7.0,247.925
62,2018.0,6.0,247.656
63,2018.0,5.0,246.349
64,2018.0,4.0,246.231
65,2018.0,3.0,245.333
66,2018.0,2.0,246.868
67,2018.0,1.0,245.191
68,2017.0,12.0,244.423
69,2017.0,11.0,244.117
70,2017.0,10.0,245.128
71,2017.0,9.0,244.644
72,2017.0,8.0,244.996
73,2017.0,7.0,243.068
74,2017.0,6.0,243.753
75,2017.0,5.0,243.852
76,2017.0,4.0,241.723
77,2017.0,3.0,242.842
78,2017.0,2.0,242.088
79,2017.0,1.0,242.117
80,2016.0,12.0,242.58
81,2016.0,11.0,243.466
82,2016.0,10.0,243.409
83,2016.0,9.0,241.444
84,2016.0,8.0,242.266
85,2016.0,7.0,241.147
86,2016.0,6.0,241.914
87,2016.0,5.0,242.765
88,2016.0,4.0,243.985
89,2016.0,3.0,241.142
90,2016.0,2.0,243.49
91,2016.0,1.0,245.397
92,2015.0,12.0,243.108
93,2015.0,11.0,242.684
94,2015.0,10.0,243.974
95,2015.0,9.0,243.037
96,2015.0,8.0,242.809
97,2015.0,7.0,241.147
98,2015.0,6.0,240.348
99,2015.0,5.0,239.823
100,2015.0,4.0,240.62
101,2015.0,3.0,239.237
102,2015.0,2.0,238.529
103,2015.0,1.0,239.683
104,2014.0,12.0,239.29
105,2014.0,11.0,239.473
106,2014.0,10.0,239.05
107,2014.0,9.0,238.065
108,2014.0,8.0,236.64
109,2014.0,7.0,235.736
110,2014.0,6.0,235.841
111,2014.0,5.0,236.003
112,2014.0,4.0,234.463
113,2014.0,3.0,233.779
114,2014.0,2.0,233.022
115,2014.0,1.0,230.519
116,2013.0,12.0,228.713
117,2013.0,11.0,228.75
118,2013.0,10.0,229.068
119,2013.0,9.0,227.878
120,2013.0,8.0,229.329
121,2013.0,7.0,228.896
122,2013.0,6.0,229.274
123,2013.0,5.0,227.771
124,2013.0,4.0,227.903
125,2013.0,3.0,230.003
126,2013.0,2.0,229.35
127,2013.0,1.0,231.159
128,2012.0,12.0,229.968
129,2012.0,11.0,228.972
130,2012.0,10.0,227.677
131,2012.0,9.0,227.391
132,2012.0,8.0,227.851
133,2012.0,7.0,228.59
134,2012.0,6.0,228.482
135,2012.0,5.0,227.336
136,2012.0,4.0,226.782
137,2012.0,3.0,225.371
138,2012.0,2.0,224.903
139,2012.0,1.0,226.423
140,2011.0,12.0,224.607
141,2011.0,11.0,225.116
142,2011.0,10.0,225.394
143,2011.0,9.0,225.057
144,2011.0,8.0,223.009
145,2011.0,7.0,222.111
146,2011.0,6.0,222.126
147,2011.0,5.0,220.195
148,2011.0,4.0,221.137
149,2011.0,3.0,220.709
150,2011.0,2.0,217.527
151,2011.0,1.0,217.78
152,2010.0,12.0,217.436
153,2010.0,11.0,214.316
154,2010.0,10.0,216.962
155,2010.0,9.0,215.739
156,2010.0,8.0,214.913
157,2010.0,7.0,214.698
158,2010.0,6.0,214.014
159,2010.0,5.0,215.697
160,2010.0,4.0,213.167
161,2010.0,3.0,214.131
162,2010.0,2.0,213.8
163,2010.0,1.0,214.346
164,2009.0,12.0,214.891
165,2009.0,11.0,213.203
166,2009.0,10.0,213.508
167,2009.0,9.0,214.558
168,2009.0,8.0,214.774
169,2009.0,7.0,213.793
