,Year,Month,Value
0,2023.0,7.0,322.997
1,2023.0,5.0,320.787
2,2023.0,3.0,316.311
3,2023.0,1.0,312.713
4,2022.0,11.0,310.771
5,2022.0,9.0,309.825
6,2022.0,7.0,302.627
7,2022.0,5.0,296.494
8,2022.0,3.0,290.933
9,2022.0,1.0,280.109
10,2021.0,11.0,272.372
11,2021.0,9.0,271.372
12,2021.0,7.0,267.864
13,2021.0,5.0,265.682
14,2021.0,3.0,264.904
15,2021.0,1.0,264.337
16,2020.0,11.0,260.952
17,2020.0,9.0,256.831
18,2020.0,7.0,258.025
19,2020.0,5.0,257.102
20,2020.0,3.0,255.909
21,2020.0,1.0,254.505
22,2019.0,11.0,254.165
23,2019.0,9.0,253.076
24,2019.0,7.0,252.391
25,2019.0,5.0,252.48
26,2019.0,3.0,250.559
27,2019.0,1.0,247.842
28,2018.0,11.0,246.692
29,2018.0,9.0,247.544
30,2018.0,7.0,246.529
31,2018.0,5.0,246.216
32,2018.0,3.0,245.461
33,2018.0,1.0,246.691
34,2017.0,11.0,246.343
35,2017.0,9.0,248.899
36,2017.0,7.0,246.791
37,2017.0,5.0,246.182
38,2017.0,3.0,246.342
39,2017.0,1.0,245.7
40,2016.0,11.0,245.734
41,2016.0,9.0,246.069
42,2016.0,7.0,245.646
43,2016.0,5.0,244.476
44,2016.0,3.0,244.392
45,2016.0,1.0,245.023
46,2015.0,11.0,246.21
47,2015.0,9.0,243.248
48,2015.0,7.0,242.552
49,2015.0,5.0,243.509
50,2015.0,3.0,243.57
51,2015.0,1.0,244.601
52,2014.0,11.0,244.14
53,2014.0,9.0,243.844
54,2014.0,7.0,240.455
55,2014.0,5.0,240.574
56,2014.0,3.0,239.242
57,2014.0,1.0,239.161
58,2013.0,11.0,237.375
59,2013.0,9.0,237.502
60,2013.0,7.0,236.802
61,2013.0,5.0,236.486
62,2013.0,3.0,235.765
63,2013.0,1.0,234.263
64,2012.0,11.0,233.181
65,2012.0,9.0,232.695
66,2012.0,7.0,231.479
67,2012.0,5.0,230.633
68,2012.0,3.0,230.365
69,2012.0,1.0,230.433
70,2011.0,11.0,229.304
71,2011.0,9.0,227.639
72,2011.0,7.0,225.274
73,2011.0,5.0,224.168
74,2011.0,3.0,223.665
75,2011.0,1.0,221.17
76,2010.0,11.0,217.992
77,2010.0,9.0,218.695
78,2010.0,7.0,218.055
79,2010.0,5.0,216.716
80,2010.0,3.0,217.687
81,2010.0,1.0,217.165
82,2009.0,11.0,215.991
83,2009.0,9.0,217.345
84,2009.0,7.0,217.506
85,2009.0,5.0,216.283
86,2009.0,3.0,218.346
87,2009.0,1.0,218.576
88,2008.0,11.0,218.264
89,2008.0,9.0,216.49
90,2008.0,7.0,215.152
91,2008.0,5.0,210.418
92,2008.0,3.0,208.852
93,2008.0,1.0,208.248
94,2007.0,11.0,205.962
95,2007.0,9.0,203.461
96,2007.0,7.0,200.626
97,2007.0,5.0,198.824
98,2007.0,3.0,197.009
99,2007.0,1.0,194.848
100,2006.0,11.0,194.1
101,2006.0,9.0,192.7
102,2006.0,7.0,191.4
103,2006.0,5.0,191.4
104,2006.0,3.0,191.2
105,2006.0,1.0,191.8
106,2005.0,11.0,188.7
107,2005.0,9.0,188.1
108,2005.0,7.0,187.2
109,2005.0,5.0,184.9
110,2005.0,3.0,180.1
111,2005.0,1.0,182.3
112,2004.0,11.0,182.8
113,2004.0,9.0,181.5
114,2004.0,7.0,183.0
115,2004.0,5.0,183.5
116,2004.0,3.0,181.0
117,2004.0,1.0,180.4
118,2003.0,11.0,179.8
119,2003.0,9.0,177.1
120,2003.0,7.0,174.0
121,2003.0,5.0,175.4
122,2003.0,3.0,174.0
123,2003.0,1.0,173.3
124,2002.0,11.0,173.9
125,2002.0,9.0,173.6
126,2002.0,7.0,173.2
127,2002.0,5.0,172.1
128,2002.0,3.0,173.2
129,2002.0,1.0,173.9
130,2001.0,11.0,173.4
131,2001.0,9.0,173.2
132,2001.0,7.0,171.8
133,2001.0,5.0,167.8
134,2001.0,3.0,167.3
135,2001.0,1.0,168.0
136,2000.0,11.0,167.2
137,2000.0,9.0,168.6
138,2000.0,7.0,165.8
139,2000.0,5.0,166.2
140,2000.0,3.0,164.4
141,2000.0,1.0,165.6
142,1999.0,11.0,163.9
143,1999.0,9.0,162.5
144,1999.0,7.0,161.5
145,1999.0,5.0,163.1
146,1999.0,3.0,163.1
147,1999.0,1.0,160.6
148,1998.0,11.0,158.6
149,1998.0,9.0,158.6
150,1998.0,7.0,158.1
151,1998.0,5.0,157.6
152,1998.0,3.0,156.5
153,1998.0,1.0,156.6
154,1997.0,12.0,157.7
155,1997.0,10.0,155.8
156,1997.0,8.0,155.1
157,1997.0,6.0,154.8
158,1997.0,4.0,153.3
159,1997.0,2.0,153.5
160,1996.0,12.0,154.3
161,1996.0,10.0,153.4
162,1996.0,8.0,149.9
163,1996.0,6.0,149.8
164,1996.0,4.0,149.0
165,1996.0,2.0,148.0
166,1995.0,12.0,146.3
167,1995.0,10.0,144.7
168,1995.0,8.0,143.4
169,1995.0,6.0,142.0
170,1995.0,4.0,143.8
171,1995.0,2.0,142.2
172,1994.0,12.0,142.1
173,1994.0,10.0,140.9
174,1994.0,8.0,141.5
175,1994.0,6.0,140.3
176,1994.0,4.0,139.4
177,1994.0,2.0,138.0
178,1993.0,12.0,139.8
179,1993.0,10.0,136.1
180,1993.0,8.0,136.9
181,1993.0,6.0,137.8
182,1993.0,4.0,138.2
183,1993.0,2.0,136.8
184,1992.0,12.0,136.7
185,1992.0,10.0,137.4
186,1992.0,8.0,136.9
187,1992.0,6.0,135.8
188,1992.0,4.0,137.3
189,1992.0,2.0,138.8
190,1991.0,12.0,137.2
191,1991.0,10.0,135.2
192,1991.0,8.0,135.8
193,1991.0,6.0,137.5
194,1991.0,4.0,134.8
195,1991.0,2.0,133.9
196,1990.0,12.0,134.6
197,1990.0,10.0,132.2
198,1990.0,8.0,131.8
199,1990.0,6.0,130.8
200,1990.0,4.0,131.2
201,1990.0,2.0,130.1
202,1989.0,12.0,128.2
203,1989.0,10.0,126.8
204,1989.0,8.0,125.5
205,1989.0,6.0,125.2
206,1989.0,4.0,125.0
207,1989.0,2.0,124.7
208,1988.0,12.0,123.3
209,1988.0,10.0,122.7
210,1988.0,8.0,120.9
211,1988.0,6.0,119.9
212,1988.0,4.0,118.4
213,1988.0,2.0,117.5
214,1987.0,12.0,117.0
215,1987.0,10.0,117.4
216,1987.0,8.0,116.2
217,1987.0,6.0,116.4
218,1987.0,4.0,114.9
219,1987.0,2.0,115.8
220,1986.0,12.0,112.6
221,1986.0,10.0,112.4
222,1986.0,8.0,111.7
223,1986.0,6.0,110.4
224,1986.0,4.0,109.8
225,1986.0,2.0,109.7
226,1985.0,12.0,108.7
227,1985.0,10.0,106.6
228,1985.0,8.0,106.7
229,1985.0,6.0,107.4
230,1985.0,4.0,106.9
231,1985.0,2.0,106.3
232,1984.0,12.0,105.4
233,1984.0,10.0,104.7
234,1984.0,8.0,105.0
235,1984.0,6.0,104.2
236,1984.0,4.0,104.3
237,1984.0,2.0,103.6
238,1983.0,12.0,100.9
239,1983.0,10.0,101.0
240,1983.0,8.0,99.7
241,1983.0,6.0,99.4
242,1983.0,4.0,99.2
243,1983.0,2.0,98.4
244,1982.0,12.0,97.8
245,1982.0,10.0,96.9
246,1982.0,8.0,96.6
247,1982.0,6.0,96.4
248,1982.0,4.0,95.2
249,1982.0,2.0,94.5
250,1981.0,12.0,93.2
251,1981.0,10.0,93.4
252,1981.0,8.0,93.0
253,1981.0,6.0,92.3
254,1981.0,4.0,92.4
255,1981.0,2.0,90.9
256,1980.0,12.0,90.3
257,1980.0,10.0,89.0
258,1980.0,8.0,86.5
259,1980.0,6.0,84.7
260,1980.0,4.0,83.2
261,1980.0,2.0,82.1
262,1979.0,12.0,81.7
263,1979.0,10.0,79.8
264,1979.0,8.0,78.4
265,1979.0,6.0,78.6
266,1979.0,4.0,77.4
267,1979.0,2.0,76.0
268,1978.0,12.0,73.9
269,1978.0,10.0,71.6
270,1978.0,8.0,70.4
271,1978.0,6.0,69.7
272,1978.0,4.0,67.5
273,1978.0,2.0,66.5
274,1978.0,1.0,65.5
275,1977.0,12.0,64.8
276,1977.0,11.0,65.0
277,1977.0,10.0,64.1
278,1977.0,9.0,64.5
279,1977.0,8.0,64.6
280,1977.0,7.0,64.1
281,1977.0,6.0,64.0
282,1977.0,5.0,63.4
283,1977.0,4.0,63.2
284,1977.0,3.0,62.3
285,1977.0,2.0,62.2
286,1977.0,1.0,60.3
287,1976.0,12.0,59.5
288,1976.0,11.0,59.0
289,1976.0,10.0,58.9
290,1976.0,9.0,58.8
291,1976.0,8.0,59.2
292,1976.0,7.0,59.1
293,1976.0,6.0,58.9
294,1976.0,5.0,58.4
295,1976.0,4.0,58.2
296,1976.0,3.0,58.0
297,1976.0,2.0,58.5
298,1976.0,1.0,58.6
299,1975.0,12.0,58.8
300,1975.0,11.0,58.7
301,1975.0,10.0,58.8
302,1975.0,9.0,58.3
303,1975.0,8.0,58.3
304,1975.0,7.0,58.4
305,1975.0,6.0,56.9
306,1975.0,5.0,56.2
307,1975.0,4.0,56.0
308,1975.0,3.0,55.7
309,1975.0,2.0,55.8
310,1975.0,1.0,55.6
311,1974.0,12.0,55.0
312,1974.0,11.0,54.5
313,1974.0,10.0,53.8
314,1974.0,9.0,53.7
315,1974.0,8.0,53.0
316,1974.0,7.0,51.7
317,1974.0,6.0,51.6
318,1974.0,5.0,51.8
319,1974.0,4.0,51.1
320,1974.0,3.0,51.7
321,1974.0,2.0,51.4
322,1974.0,1.0,50.0
323,1973.0,12.0,49.2
324,1973.0,11.0,48.8
325,1973.0,10.0,48.1
326,1973.0,9.0,49.2
327,1973.0,8.0,49.5
328,1973.0,7.0,46.5
329,1973.0,6.0,46.2
330,1973.0,5.0,45.5
331,1973.0,4.0,44.9
332,1973.0,3.0,44.4
