,Year,Month,Value
0,2023.0,8.0,328.217
1,2023.0,6.0,326.689
2,2023.0,4.0,325.908
3,2023.0,2.0,325.018
4,2022.0,12.0,317.955
5,2022.0,10.0,316.048
6,2022.0,8.0,310.917
7,2022.0,6.0,306.109
8,2022.0,4.0,302.019
9,2022.0,2.0,295.543
10,2021.0,12.0,292.345
11,2021.0,10.0,289.565
12,2021.0,8.0,282.658
13,2021.0,6.0,295.025
14,2021.0,4.0,289.397
15,2021.0,2.0,285.186
16,2020.0,12.0,283.593
17,2020.0,10.0,284.896
18,2020.0,8.0,288.738
19,2020.0,6.0,290.081
20,2020.0,4.0,281.119
21,2020.0,2.0,267.786
22,2019.0,12.0,265.87
23,2019.0,10.0,266.584
24,2019.0,8.0,267.585
25,2019.0,6.0,266.507
26,2019.0,4.0,267.489
27,2019.0,2.0,267.441
28,2018.0,12.0,268.006
29,2018.0,10.0,263.976
30,2018.0,8.0,266.835
31,2018.0,6.0,266.812
32,2018.0,4.0,266.564
33,2018.0,2.0,263.618
34,2017.0,12.0,264.858
35,2017.0,10.0,264.613
36,2017.0,8.0,262.389
37,2017.0,6.0,264.151
38,2017.0,4.0,261.685
39,2017.0,2.0,262.099
40,2016.0,12.0,259.616
41,2016.0,10.0,261.035
42,2016.0,8.0,261.781
43,2016.0,6.0,261.904
44,2016.0,4.0,261.302
45,2016.0,2.0,262.459
46,2015.0,12.0,260.52
47,2015.0,10.0,262.657
48,2015.0,8.0,262.134
49,2015.0,6.0,259.252
50,2015.0,4.0,257.977
51,2015.0,2.0,258.328
52,2014.0,12.0,257.624
53,2014.0,10.0,256.269
54,2014.0,8.0,256.306
55,2014.0,6.0,254.31
56,2014.0,4.0,252.788
57,2014.0,2.0,250.338
58,2013.0,12.0,247.024
59,2013.0,10.0,249.963
60,2013.0,8.0,247.432
61,2013.0,6.0,247.168
62,2013.0,4.0,245.869
63,2013.0,2.0,245.649
64,2012.0,12.0,244.994
65,2012.0,10.0,246.772
66,2012.0,8.0,247.249
67,2012.0,6.0,245.225
68,2012.0,4.0,245.033
69,2012.0,2.0,241.434
70,2011.0,12.0,242.767
71,2011.0,10.0,243.52
72,2011.0,8.0,243.889
73,2011.0,6.0,241.409
74,2011.0,4.0,237.931
75,2011.0,2.0,233.954
76,2010.0,12.0,231.162
77,2010.0,10.0,231.714
78,2010.0,8.0,228.928
79,2010.0,6.0,229.045
80,2010.0,4.0,229.226
81,2010.0,2.0,228.41
82,2009.0,12.0,228.502
83,2009.0,10.0,226.355
84,2009.0,8.0,227.053
85,2009.0,6.0,226.472
86,2009.0,4.0,228.834
87,2009.0,2.0,227.259
88,2008.0,12.0,227.731
89,2008.0,10.0,228.693
90,2008.0,8.0,228.582
91,2008.0,6.0,224.105
92,2008.0,4.0,220.328
93,2008.0,2.0,218.791
94,2007.0,12.0,217.918
95,2007.0,10.0,214.338
96,2007.0,8.0,212.706
97,2007.0,6.0,211.594
98,2007.0,4.0,208.692
99,2007.0,2.0,208.408
100,2006.0,12.0,207.0
101,2006.0,10.0,206.4
102,2006.0,8.0,206.1
103,2006.0,6.0,202.9
104,2006.0,4.0,200.8
105,2006.0,2.0,204.1
106,2005.0,12.0,202.3
107,2005.0,10.0,202.2
108,2005.0,8.0,201.0
109,2005.0,6.0,201.1
110,2005.0,4.0,201.0
111,2005.0,2.0,198.9
112,2004.0,12.0,199.4
113,2004.0,10.0,198.4
114,2004.0,8.0,194.9
115,2004.0,6.0,196.2
116,2004.0,4.0,194.7
117,2004.0,2.0,192.7
118,2003.0,12.0,191.7
119,2003.0,10.0,191.4
120,2003.0,8.0,190.8
121,2003.0,6.0,189.2
122,2003.0,4.0,188.8
123,2003.0,2.0,186.4
124,2002.0,12.0,185.2
125,2002.0,10.0,185.0
126,2002.0,8.0,185.0
127,2002.0,6.0,183.7
128,2002.0,4.0,183.7
129,2002.0,2.0,184.1
130,2001.0,12.0,180.9
131,2001.0,10.0,182.2
132,2001.0,8.0,181.8
133,2001.0,6.0,180.7
134,2001.0,4.0,181.3
135,2001.0,2.0,179.8
136,2000.0,12.0,178.4
137,2000.0,10.0,177.4
138,2000.0,8.0,175.6
139,2000.0,6.0,175.6
140,2000.0,4.0,173.6
141,2000.0,2.0,172.3
142,1999.0,12.0,172.1
143,1999.0,10.0,173.2
144,1999.0,8.0,171.9
145,1999.0,6.0,170.2
146,1999.0,4.0,170.7
147,1999.0,2.0,170.2
148,1998.0,12.0,169.5
149,1998.0,10.0,171.3
150,1998.0,8.0,169.9
151,1998.0,6.0,170.3
152,1998.0,4.0,168.1
153,1998.0,2.0,168.1
154,1997.0,12.0,167.4
155,1997.0,11.0,167.1
156,1997.0,9.0,165.9
157,1997.0,7.0,166.5
158,1997.0,5.0,166.2
159,1997.0,3.0,165.6
160,1997.0,1.0,164.1
161,1996.0,11.0,164.6
162,1996.0,9.0,163.8
163,1996.0,7.0,161.7
164,1996.0,5.0,159.2
165,1996.0,3.0,159.1
166,1996.0,1.0,158.8
167,1995.0,11.0,158.0
168,1995.0,9.0,157.7
169,1995.0,7.0,156.8
170,1995.0,5.0,157.2
171,1995.0,3.0,156.5
172,1995.0,1.0,156.2
173,1994.0,11.0,154.1
174,1994.0,9.0,152.7
175,1994.0,7.0,152.2
176,1994.0,5.0,152.4
177,1994.0,3.0,152.1
178,1994.0,1.0,151.7
179,1993.0,11.0,150.3
180,1993.0,9.0,148.4
181,1993.0,7.0,146.5
182,1993.0,5.0,146.7
183,1993.0,3.0,146.2
184,1993.0,1.0,145.3
185,1992.0,11.0,141.9
186,1992.0,9.0,142.9
187,1992.0,7.0,140.6
188,1992.0,5.0,139.7
189,1992.0,3.0,141.5
190,1992.0,1.0,139.5
191,1991.0,11.0,138.8
192,1991.0,9.0,139.2
193,1991.0,7.0,140.0
194,1991.0,5.0,139.6
195,1991.0,3.0,138.6
196,1991.0,1.0,136.7
197,1990.0,11.0,137.7
198,1990.0,9.0,135.6
199,1990.0,7.0,135.7
200,1990.0,5.0,134.2
201,1990.0,3.0,136.2
202,1990.0,1.0,136.2
203,1989.0,11.0,129.8
204,1989.0,9.0,127.3
205,1989.0,7.0,127.7
206,1989.0,5.0,125.0
207,1989.0,3.0,124.1
208,1989.0,1.0,123.5
209,1988.0,11.0,122.8
210,1988.0,9.0,122.0
211,1988.0,7.0,118.8
212,1988.0,5.0,118.1
213,1988.0,3.0,117.5
214,1988.0,1.0,115.3
215,1987.0,11.0,113.9
216,1987.0,9.0,113.9
217,1987.0,7.0,114.1
218,1987.0,5.0,114.6
219,1987.0,3.0,112.8
220,1987.0,1.0,110.9
221,1986.0,11.0,110.1
222,1986.0,9.0,108.4
223,1986.0,7.0,102.9
224,1986.0,5.0,106.9
225,1986.0,3.0,106.8
226,1986.0,1.0,106.2
227,1985.0,11.0,104.7
228,1985.0,9.0,104.1
229,1985.0,7.0,104.6
230,1985.0,5.0,103.6
231,1985.0,3.0,105.3
232,1985.0,1.0,104.2
233,1984.0,11.0,104.4
234,1984.0,9.0,103.6
235,1984.0,7.0,103.4
236,1984.0,5.0,102.7
237,1984.0,3.0,104.2
238,1984.0,1.0,104.1
239,1983.0,11.0,100.7
240,1983.0,9.0,100.1
241,1983.0,7.0,98.9
242,1983.0,5.0,99.0
243,1983.0,3.0,98.9
244,1983.0,1.0,97.8
245,1982.0,11.0,96.9
246,1982.0,9.0,97.8
247,1982.0,7.0,97.7
248,1982.0,5.0,96.8
249,1982.0,3.0,95.7
250,1982.0,1.0,94.8
251,1981.0,11.0,93.8
252,1981.0,9.0,92.9
253,1981.0,7.0,91.0
254,1981.0,5.0,89.8
255,1981.0,3.0,89.6
256,1981.0,1.0,89.3
257,1980.0,11.0,88.4
258,1980.0,9.0,87.1
259,1980.0,7.0,84.6
260,1980.0,5.0,82.5
261,1980.0,3.0,81.7
262,1980.0,1.0,81.2
263,1979.0,11.0,79.9
264,1979.0,9.0,80.2
265,1979.0,7.0,79.9
266,1979.0,5.0,78.3
267,1979.0,3.0,76.9
268,1979.0,1.0,74.8
269,1978.0,11.0,71.8
270,1978.0,9.0,70.9
271,1978.0,7.0,70.8
272,1978.0,5.0,68.9
273,1978.0,3.0,67.2
274,1978.0,1.0,65.6
275,1977.0,11.0,64.8
