,Year,Month,Value
0,2023.0,8.0,366.277
1,2023.0,6.0,365.879
2,2023.0,4.0,360.824
3,2023.0,2.0,363.265
4,2022.0,12.0,359.081
5,2022.0,10.0,356.16
6,2022.0,8.0,350.468
7,2022.0,6.0,347.238
8,2022.0,4.0,340.217
9,2022.0,2.0,336.402
10,2021.0,12.0,325.866
11,2021.0,10.0,323.908
12,2021.0,8.0,319.699
13,2021.0,6.0,313.499
14,2021.0,4.0,308.788
15,2021.0,2.0,308.589
16,2020.0,12.0,309.903
17,2020.0,10.0,306.683
18,2020.0,8.0,304.224
19,2020.0,6.0,306.745
20,2020.0,4.0,298.539
21,2020.0,2.0,293.86
22,2019.0,12.0,289.795
23,2019.0,10.0,291.434
24,2019.0,8.0,288.638
25,2019.0,6.0,288.914
26,2019.0,4.0,285.888
27,2019.0,2.0,283.969
28,2018.0,12.0,280.928
29,2018.0,10.0,278.503
30,2018.0,8.0,278.339
31,2018.0,6.0,274.904
32,2018.0,4.0,274.054
33,2018.0,2.0,273.196
34,2017.0,12.0,268.585
35,2017.0,10.0,266.052
36,2017.0,8.0,270.88
37,2017.0,6.0,268.293
38,2017.0,4.0,269.594
39,2017.0,2.0,267.295
40,2016.0,12.0,266.586
41,2016.0,10.0,266.057
42,2016.0,8.0,267.482
43,2016.0,6.0,267.461
44,2016.0,4.0,266.373
45,2016.0,2.0,267.788
46,2015.0,12.0,264.436
47,2015.0,10.0,266.323
48,2015.0,8.0,265.927
49,2015.0,6.0,260.305
50,2015.0,4.0,257.859
51,2015.0,2.0,258.418
52,2014.0,12.0,256.2
53,2014.0,10.0,256.3
54,2014.0,8.0,254.888
55,2014.0,6.0,253.059
56,2014.0,4.0,250.724
57,2014.0,2.0,248.598
58,2013.0,12.0,248.168
59,2013.0,10.0,247.895
60,2013.0,8.0,245.307
61,2013.0,6.0,245.549
62,2013.0,4.0,247.14
63,2013.0,2.0,242.922
64,2012.0,12.0,241.219
65,2012.0,10.0,241.529
66,2012.0,8.0,239.604
67,2012.0,6.0,239.805
68,2012.0,4.0,237.954
69,2012.0,2.0,237.675
70,2011.0,12.0,237.4
71,2011.0,10.0,234.918
72,2011.0,8.0,234.13
73,2011.0,6.0,233.165
74,2011.0,4.0,234.543
75,2011.0,2.0,230.312
76,2010.0,12.0,227.939
77,2010.0,10.0,227.855
78,2010.0,8.0,227.56
79,2010.0,6.0,226.456
80,2010.0,4.0,226.175
81,2010.0,2.0,226.781
82,2009.0,12.0,225.308
83,2009.0,10.0,228.302
84,2009.0,8.0,227.262
85,2009.0,6.0,228.439
86,2009.0,4.0,228.35
87,2009.0,2.0,226.939
88,2008.0,12.0,227.714
89,2008.0,10.0,227.323
90,2008.0,8.0,224.948
91,2008.0,6.0,223.641
92,2008.0,4.0,222.979
93,2008.0,2.0,221.334
94,2007.0,12.0,219.158
95,2007.0,10.0,217.235
96,2007.0,8.0,216.583
97,2007.0,6.0,214.231
98,2007.0,4.0,213.121
99,2007.0,2.0,212.378
100,2006.0,12.0,207.7
101,2006.0,10.0,209.5
102,2006.0,8.0,207.3
103,2006.0,6.0,205.2
104,2006.0,4.0,205.4
105,2006.0,2.0,205.0
106,2005.0,12.0,204.0
107,2005.0,10.0,203.6
108,2005.0,8.0,203.5
109,2005.0,6.0,201.2
110,2005.0,4.0,204.0
111,2005.0,2.0,201.9
112,2004.0,12.0,202.2
113,2004.0,10.0,201.3
114,2004.0,8.0,199.2
115,2004.0,6.0,198.3
116,2004.0,4.0,199.4
117,2004.0,2.0,199.2
118,2003.0,12.0,197.5
119,2003.0,10.0,191.3
120,2003.0,8.0,191.0
121,2003.0,6.0,190.2
122,2003.0,4.0,187.2
123,2003.0,2.0,188.5
124,2002.0,12.0,188.8
125,2002.0,10.0,187.5
126,2002.0,8.0,186.5
127,2002.0,6.0,185.8
128,2002.0,4.0,185.2
129,2002.0,2.0,184.3
130,2001.0,12.0,183.1
131,2001.0,10.0,183.5
132,2001.0,8.0,183.8
133,2001.0,6.0,183.3
