,Year,Month,Value
0,2023.0,8.0,361.063
1,2023.0,6.0,357.611
2,2023.0,4.0,359.856
3,2023.0,2.0,359.537
4,2022.0,12.0,354.184
5,2022.0,10.0,351.451
6,2022.0,8.0,347.244
7,2022.0,6.0,338.402
8,2022.0,4.0,333.126
9,2022.0,2.0,325.771
10,2021.0,12.0,318.288
11,2021.0,10.0,315.339
12,2021.0,8.0,311.155
13,2021.0,6.0,306.895
14,2021.0,4.0,299.051
15,2021.0,2.0,296.579
16,2020.0,12.0,293.595
17,2020.0,10.0,292.258
18,2020.0,8.0,294.709
19,2020.0,6.0,292.237
20,2020.0,4.0,290.923
21,2020.0,2.0,283.048
22,2019.0,12.0,280.186
23,2019.0,10.0,280.645
24,2019.0,8.0,279.043
25,2019.0,6.0,277.874
26,2019.0,4.0,276.621
27,2019.0,2.0,278.038
28,2018.0,12.0,275.713
29,2018.0,10.0,275.292
30,2018.0,8.0,273.967
31,2018.0,6.0,272.471
32,2018.0,4.0,273.556
33,2018.0,2.0,269.192
34,2017.0,12.0,268.565
35,2017.0,10.0,269.788
36,2017.0,8.0,268.546
37,2017.0,6.0,267.564
38,2017.0,4.0,267.353
39,2017.0,2.0,265.733
40,2016.0,12.0,261.705
41,2016.0,10.0,264.55
42,2016.0,8.0,263.399
43,2016.0,6.0,263.26
44,2016.0,4.0,263.753
45,2016.0,2.0,261.599
46,2015.0,12.0,263.023
47,2015.0,10.0,263.256
48,2015.0,8.0,262.673
49,2015.0,6.0,260.664
50,2015.0,4.0,259.151
51,2015.0,2.0,259.637
52,2014.0,12.0,260.002
53,2014.0,10.0,258.088
54,2014.0,8.0,254.356
55,2014.0,6.0,253.459
56,2014.0,4.0,255.235
57,2014.0,2.0,252.774
58,2013.0,12.0,250.712
59,2013.0,10.0,250.288
60,2013.0,8.0,247.693
61,2013.0,6.0,247.89
62,2013.0,4.0,249.55
63,2013.0,2.0,248.024
64,2012.0,12.0,247.301
65,2012.0,10.0,245.988
66,2012.0,8.0,246.46
67,2012.0,6.0,245.243
68,2012.0,4.0,242.43
69,2012.0,2.0,243.455
70,2011.0,12.0,243.681
71,2011.0,10.0,242.834
72,2011.0,8.0,242.753
73,2011.0,6.0,242.129
74,2011.0,4.0,237.612
75,2011.0,2.0,234.753
76,2010.0,12.0,230.748
77,2010.0,10.0,231.81
78,2010.0,8.0,230.384
79,2010.0,6.0,228.892
80,2010.0,4.0,231.152
81,2010.0,2.0,229.298
82,2009.0,12.0,227.373
83,2009.0,10.0,226.21
84,2009.0,8.0,230.503
85,2009.0,6.0,232.124
86,2009.0,4.0,232.82
87,2009.0,2.0,234.926
88,2008.0,12.0,233.553
89,2008.0,10.0,234.448
90,2008.0,8.0,229.562
91,2008.0,6.0,228.696
92,2008.0,4.0,224.853
93,2008.0,2.0,222.71
94,2007.0,12.0,220.816
95,2007.0,10.0,220.317
96,2007.0,8.0,216.379
97,2007.0,6.0,215.325
98,2007.0,4.0,214.084
99,2007.0,2.0,213.64
100,2006.0,12.0,210.2
101,2006.0,10.0,209.4
102,2006.0,8.0,210.0
103,2006.0,6.0,207.3
104,2006.0,4.0,205.6
105,2006.0,2.0,205.0
106,2005.0,12.0,203.5
107,2005.0,10.0,204.6
108,2005.0,8.0,201.3
109,2005.0,6.0,201.0
110,2005.0,4.0,202.7
111,2005.0,2.0,199.2
112,2004.0,12.0,199.1
113,2004.0,10.0,198.2
114,2004.0,8.0,195.2
115,2004.0,6.0,196.3
116,2004.0,4.0,196.5
117,2004.0,2.0,196.1
118,2003.0,12.0,192.9
119,2003.0,10.0,194.5
120,2003.0,8.0,193.5
121,2003.0,6.0,189.7
122,2003.0,4.0,190.2
123,2003.0,2.0,190.1
124,2002.0,12.0,187.9
125,2002.0,10.0,188.0
126,2002.0,8.0,186.0
127,2002.0,6.0,185.4
128,2002.0,4.0,184.7
129,2002.0,2.0,186.8
130,2001.0,12.0,182.6
131,2001.0,10.0,184.7
132,2001.0,8.0,181.3
133,2001.0,6.0,183.7
134,2001.0,4.0,180.3
135,2001.0,2.0,180.9
136,2000.0,12.0,176.0
137,2000.0,10.0,177.3
138,2000.0,8.0,174.2
139,2000.0,6.0,173.7
140,2000.0,4.0,173.5
