,Year,Month,Value
0,2023.0,8.0,138.443
1,2023.0,7.0,143.612
2,2023.0,6.0,149.684
3,2023.0,5.0,155.288
4,2023.0,4.0,161.226
5,2023.0,3.0,167.618
6,2023.0,2.0,174.883
7,2023.0,1.0,182.312
8,2022.0,12.0,189.07
9,2022.0,11.0,195.796
10,2022.0,10.0,204.489
11,2022.0,9.0,213.036
12,2022.0,8.0,208.603
13,2022.0,7.0,203.69
14,2022.0,6.0,199.279
15,2022.0,5.0,195.213
16,2022.0,4.0,191.433
17,2022.0,3.0,187.599
18,2022.0,2.0,183.578
19,2022.0,1.0,180.07
20,2021.0,12.0,175.263
21,2021.0,11.0,172.437
22,2021.0,10.0,169.54
23,2021.0,9.0,166.229
24,2021.0,8.0,167.834
25,2021.0,7.0,168.868
26,2021.0,6.0,169.9
27,2021.0,5.0,171.6
28,2021.0,4.0,173.396
29,2021.0,3.0,175.082
30,2021.0,2.0,176.39
31,2021.0,1.0,177.079
32,2020.0,12.0,177.311
33,2020.0,11.0,179.297
34,2020.0,10.0,181.128
35,2020.0,9.0,183.412
36,2020.0,8.0,186.2
37,2020.0,7.0,184.569
38,2020.0,6.0,182.508
39,2020.0,5.0,180.631
40,2020.0,4.0,178.683
41,2020.0,3.0,176.799
42,2020.0,2.0,174.574
43,2020.0,1.0,172.145
44,2019.0,12.0,169.236
45,2019.0,11.0,166.852
46,2019.0,10.0,164.375
47,2019.0,9.0,160.768
48,2019.0,8.0,158.555
49,2019.0,7.0,155.525
50,2019.0,6.0,152.891
51,2019.0,5.0,150.935
52,2019.0,4.0,148.679
53,2019.0,3.0,146.549
54,2019.0,2.0,144.69
55,2019.0,1.0,142.869
56,2018.0,12.0,140.543
57,2018.0,11.0,138.772
58,2018.0,10.0,136.877
59,2018.0,9.0,135.357
60,2018.0,8.0,133.741
61,2018.0,7.0,134.208
62,2018.0,6.0,134.494
63,2018.0,5.0,134.318
64,2018.0,4.0,134.269
65,2018.0,3.0,134.371
66,2018.0,2.0,134.402
67,2018.0,1.0,134.201
68,2017.0,12.0,133.4
69,2017.0,11.0,133.555
70,2017.0,10.0,133.941
71,2017.0,9.0,133.97
72,2017.0,8.0,134.2
73,2017.0,7.0,134.149
74,2017.0,6.0,133.818
75,2017.0,5.0,133.71
76,2017.0,4.0,133.972
77,2017.0,3.0,134.263
78,2017.0,2.0,134.52
79,2017.0,1.0,133.862
80,2016.0,12.0,133.425
81,2016.0,11.0,133.588
82,2016.0,10.0,133.739
83,2016.0,9.0,133.887
84,2016.0,8.0,133.969
85,2016.0,7.0,132.512
86,2016.0,6.0,131.574
87,2016.0,5.0,131.111
88,2016.0,4.0,130.429
89,2016.0,3.0,129.929
90,2016.0,2.0,129.393
91,2016.0,1.0,127.734
92,2015.0,12.0,126.372
93,2015.0,11.0,125.969
94,2015.0,10.0,125.072
95,2015.0,9.0,123.548
96,2015.0,8.0,122.809
97,2015.0,7.0,123.041
98,2015.0,6.0,122.963
99,2015.0,5.0,123.372
100,2015.0,4.0,123.285
101,2015.0,3.0,122.343
102,2015.0,2.0,122.102
103,2015.0,1.0,121.929
104,2014.0,12.0,121.715
105,2014.0,11.0,121.595
106,2014.0,10.0,121.443
107,2014.0,9.0,121.439
108,2014.0,8.0,121.563
109,2014.0,7.0,121.94
110,2014.0,6.0,122.16
111,2014.0,5.0,122.419
112,2014.0,4.0,122.612
113,2014.0,3.0,122.801
114,2014.0,2.0,123.035
115,2014.0,1.0,122.575
116,2013.0,12.0,122.373
117,2013.0,11.0,122.845
118,2013.0,10.0,123.388
119,2013.0,9.0,123.902
120,2013.0,8.0,123.792
121,2013.0,7.0,123.108
122,2013.0,6.0,123.018
123,2013.0,5.0,122.55
124,2013.0,4.0,122.849
125,2013.0,3.0,123.078
126,2013.0,2.0,122.844
127,2013.0,1.0,121.925
128,2012.0,12.0,121.31
129,2012.0,11.0,121.281
130,2012.0,10.0,121.04
131,2012.0,9.0,120.939
132,2012.0,8.0,120.291
133,2012.0,7.0,119.715
134,2012.0,6.0,118.7
135,2012.0,5.0,117.546
136,2012.0,4.0,116.663
137,2012.0,3.0,115.535
138,2012.0,2.0,114.068
139,2012.0,1.0,112.271
140,2011.0,12.0,110.334
141,2011.0,11.0,109.034
142,2011.0,10.0,107.386
143,2011.0,9.0,105.692
144,2011.0,8.0,104.8
145,2011.0,7.0,104.513
146,2011.0,6.0,104.198
147,2011.0,5.0,104.047
148,2011.0,4.0,103.786
149,2011.0,3.0,103.766
150,2011.0,2.0,104.319
151,2011.0,1.0,103.938
152,2010.0,12.0,104.03
153,2010.0,11.0,104.566
154,2010.0,10.0,105.163
155,2010.0,9.0,105.57
156,2010.0,8.0,105.497
157,2010.0,7.0,105.993
158,2010.0,6.0,106.809
159,2010.0,5.0,107.339
160,2010.0,4.0,108.112
161,2010.0,3.0,108.69
162,2010.0,2.0,109.059
163,2010.0,1.0,108.7
164,2009.0,12.0,108.325
