,Year,Month,Value
0,2023.0,8.0,411.327
1,2023.0,7.0,406.826
2,2023.0,6.0,406.022
3,2023.0,5.0,405.806
4,2023.0,4.0,404.537
5,2023.0,3.0,400.974
6,2023.0,2.0,397.182
7,2023.0,1.0,393.149
8,2022.0,12.0,388.47
9,2022.0,11.0,385.86
10,2022.0,10.0,385.461
11,2022.0,9.0,384.018
12,2022.0,8.0,383.097
13,2022.0,7.0,379.462
14,2022.0,6.0,378.066
15,2022.0,5.0,377.395
16,2022.0,4.0,376.867
17,2022.0,3.0,375.114
18,2022.0,2.0,373.029
19,2022.0,1.0,374.094
20,2021.0,12.0,373.016
21,2021.0,11.0,367.731
22,2021.0,10.0,369.605
23,2021.0,9.0,366.527
24,2021.0,8.0,367.342
25,2021.0,7.0,369.208
26,2021.0,6.0,368.092
27,2021.0,5.0,362.801
28,2021.0,4.0,363.031
29,2021.0,3.0,360.418
30,2021.0,2.0,359.294
31,2021.0,1.0,358.841
32,2020.0,12.0,359.374
33,2020.0,11.0,358.708
34,2020.0,10.0,358.279
35,2020.0,9.0,358.916
36,2020.0,8.0,359.574
37,2020.0,7.0,358.626
38,2020.0,6.0,359.727
39,2020.0,5.0,357.399
40,2020.0,4.0,358.299
41,2020.0,3.0,356.239
42,2020.0,2.0,356.552
43,2020.0,1.0,355.029
44,2019.0,12.0,350.481
45,2019.0,11.0,352.412
46,2019.0,10.0,351.791
47,2019.0,9.0,352.054
48,2019.0,8.0,350.608
49,2019.0,7.0,351.127
50,2019.0,6.0,347.912
51,2019.0,5.0,346.86
52,2019.0,4.0,346.426
53,2019.0,3.0,343.857
54,2019.0,2.0,342.088
55,2019.0,1.0,343.856
56,2018.0,12.0,341.24
57,2018.0,11.0,338.854
58,2018.0,10.0,343.172
59,2018.0,9.0,341.399
60,2018.0,8.0,338.169
61,2018.0,7.0,336.539
62,2018.0,6.0,335.4
63,2018.0,5.0,334.416
64,2018.0,4.0,333.021
65,2018.0,3.0,331.644
66,2018.0,2.0,329.835
67,2018.0,1.0,328.516
68,2017.0,12.0,325.584
69,2017.0,11.0,323.945
70,2017.0,10.0,326.002
71,2017.0,9.0,326.497
72,2017.0,8.0,322.992
73,2017.0,7.0,322.742
74,2017.0,6.0,321.591
75,2017.0,5.0,319.588
76,2017.0,4.0,317.61
77,2017.0,3.0,316.39
78,2017.0,2.0,317.307
79,2017.0,1.0,316.742
80,2016.0,12.0,314.057
81,2016.0,11.0,314.558
82,2016.0,10.0,315.97
83,2016.0,9.0,317.618
84,2016.0,8.0,315.846
85,2016.0,7.0,315.483
86,2016.0,6.0,313.503
87,2016.0,5.0,313.483
88,2016.0,4.0,311.712
89,2016.0,3.0,308.698
90,2016.0,2.0,306.837
91,2016.0,1.0,305.187
92,2015.0,12.0,305.748
93,2015.0,11.0,306.123
94,2015.0,10.0,307.201
95,2015.0,9.0,307.111
96,2015.0,8.0,304.378
97,2015.0,7.0,304.993
98,2015.0,6.0,303.108
99,2015.0,5.0,302.001
100,2015.0,4.0,300.903
101,2015.0,3.0,299.626
102,2015.0,2.0,297.601
103,2015.0,1.0,295.784
104,2014.0,12.0,295.915
105,2014.0,11.0,295.641
106,2014.0,10.0,295.295
107,2014.0,9.0,295.662
108,2014.0,8.0,293.269
109,2014.0,7.0,292.914
110,2014.0,6.0,292.518
111,2014.0,5.0,292.618
112,2014.0,4.0,292.073
113,2014.0,3.0,290.59
114,2014.0,2.0,288.56
115,2014.0,1.0,287.122
116,2013.0,12.0,286.57
117,2013.0,11.0,286.756
118,2013.0,10.0,286.301
119,2013.0,9.0,286.147
120,2013.0,8.0,285.121
121,2013.0,7.0,284.389
122,2013.0,6.0,283.112
123,2013.0,5.0,283.038
124,2013.0,4.0,282.208
125,2013.0,3.0,281.725
126,2013.0,2.0,280.773
127,2013.0,1.0,280.871
128,2012.0,12.0,280.43
129,2012.0,11.0,281.918
130,2012.0,10.0,281.731
131,2012.0,9.0,281.293
132,2012.0,8.0,281.255
133,2012.0,7.0,280.643
134,2012.0,6.0,280.178
135,2012.0,5.0,278.518
136,2012.0,4.0,277.57
137,2012.0,3.0,277.091
138,2012.0,2.0,276.3
139,2012.0,1.0,275.644
140,2011.0,12.0,275.621
141,2011.0,11.0,275.752
142,2011.0,10.0,276.326
143,2011.0,9.0,275.634
144,2011.0,8.0,274.573
145,2011.0,7.0,274.186
146,2011.0,6.0,273.202
147,2011.0,5.0,271.928
148,2011.0,4.0,271.37
149,2011.0,3.0,271.758
150,2011.0,2.0,270.659
151,2011.0,1.0,271.092
152,2010.0,12.0,271.372
153,2010.0,11.0,270.475
154,2010.0,10.0,271.276
155,2010.0,9.0,271.442
156,2010.0,8.0,272.024
157,2010.0,7.0,271.56
158,2010.0,6.0,273.411
159,2010.0,5.0,272.612
160,2010.0,4.0,272.411
161,2010.0,3.0,273.353
162,2010.0,2.0,273.828
163,2010.0,1.0,273.797
164,2009.0,12.0,273.295
165,2009.0,11.0,273.947
166,2009.0,10.0,277.564
167,2009.0,9.0,279.06
168,2009.0,8.0,278.953
169,2009.0,7.0,277.09
170,2009.0,6.0,277.233
171,2009.0,5.0,275.399
172,2009.0,4.0,275.061
173,2009.0,3.0,273.091
174,2009.0,2.0,271.062
175,2009.0,1.0,270.84
176,2008.0,12.0,269.077
177,2008.0,11.0,269.105
178,2008.0,10.0,269.405
179,2008.0,9.0,274.081
180,2008.0,8.0,276.61
181,2008.0,7.0,280.02
182,2008.0,6.0,273.355
183,2008.0,5.0,271.147
184,2008.0,4.0,272.462
185,2008.0,3.0,271.745
186,2008.0,2.0,276.335
187,2008.0,1.0,274.891
188,2007.0,12.0,273.084
189,2007.0,11.0,272.049
190,2007.0,10.0,273.302
191,2007.0,9.0,274.542
192,2007.0,8.0,274.354
193,2007.0,7.0,273.925
194,2007.0,6.0,272.939
195,2007.0,5.0,270.144
196,2007.0,4.0,270.919
197,2007.0,3.0,271.226
198,2007.0,2.0,272.183
199,2007.0,1.0,271.167
200,2006.0,12.0,270.3
201,2006.0,11.0,268.7
202,2006.0,10.0,267.4
203,2006.0,9.0,269.0
204,2006.0,8.0,271.1
205,2006.0,7.0,269.9
206,2006.0,6.0,266.6
207,2006.0,5.0,263.7
208,2006.0,4.0,263.6
209,2006.0,3.0,265.9
210,2006.0,2.0,265.6
211,2006.0,1.0,264.6
212,2005.0,12.0,262.9
213,2005.0,11.0,262.6
214,2005.0,10.0,264.0
215,2005.0,9.0,259.3
216,2005.0,8.0,264.8
217,2005.0,7.0,266.7
218,2005.0,6.0,262.7
219,2005.0,5.0,259.6
220,2005.0,4.0,259.2
221,2005.0,3.0,260.5
222,2005.0,2.0,260.6
223,2005.0,1.0,258.5
224,2004.0,12.0,257.1
225,2004.0,11.0,257.3
226,2004.0,10.0,259.0
227,2004.0,9.0,260.3
228,2004.0,8.0,259.4
