,Year,Month,Value
0,2023.0,8.0,326.623
1,2023.0,7.0,324.522
2,2023.0,6.0,323.924
3,2023.0,5.0,323.771
4,2023.0,4.0,320.943
5,2023.0,3.0,321.058
6,2023.0,2.0,319.578
7,2023.0,1.0,316.18
8,2022.0,12.0,314.161
9,2022.0,11.0,310.51
10,2022.0,10.0,306.991
11,2022.0,9.0,303.312
12,2022.0,8.0,301.169
13,2022.0,7.0,298.028
14,2022.0,6.0,296.339
15,2022.0,5.0,294.629
16,2022.0,4.0,294.24
17,2022.0,3.0,290.198
18,2022.0,2.0,288.498
19,2022.0,1.0,285.456
20,2021.0,12.0,284.089
21,2021.0,11.0,281.895
22,2021.0,10.0,281.78
23,2021.0,9.0,279.353
24,2021.0,8.0,278.263
25,2021.0,7.0,277.107
26,2021.0,6.0,275.845
27,2021.0,5.0,274.691
28,2021.0,4.0,272.942
29,2021.0,3.0,271.998
30,2021.0,2.0,271.298
31,2021.0,1.0,270.006
32,2020.0,12.0,270.003
33,2020.0,11.0,268.961
34,2020.0,10.0,268.908
35,2020.0,9.0,267.555
36,2020.0,8.0,266.733
37,2020.0,7.0,267.427
38,2020.0,6.0,266.467
39,2020.0,5.0,268.233
40,2020.0,4.0,267.105
41,2020.0,3.0,266.409
42,2020.0,2.0,265.418
43,2020.0,1.0,263.105
44,2019.0,12.0,263.203
45,2019.0,11.0,261.578
46,2019.0,10.0,261.164
47,2019.0,9.0,261.558
48,2019.0,8.0,259.828
49,2019.0,7.0,260.098
50,2019.0,6.0,257.774
51,2019.0,5.0,254.749
52,2019.0,4.0,254.976
53,2019.0,3.0,254.399
54,2019.0,2.0,254.041
55,2019.0,1.0,253.551
56,2018.0,12.0,252.281
57,2018.0,11.0,252.334
58,2018.0,10.0,251.187
59,2018.0,9.0,250.989
60,2018.0,8.0,251.428
61,2018.0,7.0,249.86
62,2018.0,6.0,248.655
63,2018.0,5.0,250.028
64,2018.0,4.0,249.076
65,2018.0,3.0,245.915
66,2018.0,2.0,244.772
67,2018.0,1.0,244.428
68,2017.0,12.0,244.686
69,2017.0,11.0,243.824
70,2017.0,10.0,243.012
71,2017.0,9.0,241.939
72,2017.0,8.0,240.436
73,2017.0,7.0,239.285
74,2017.0,6.0,237.281
75,2017.0,5.0,235.256
76,2017.0,4.0,233.387
77,2017.0,3.0,233.22
78,2017.0,2.0,232.394
79,2017.0,1.0,230.769
80,2016.0,12.0,229.413
81,2016.0,11.0,228.629
82,2016.0,10.0,228.168
83,2016.0,9.0,226.648
84,2016.0,8.0,225.505
85,2016.0,7.0,225.099
86,2016.0,6.0,224.901
