,Year,Month,Value
0,2023.0,8.0,383.88
1,2023.0,7.0,383.496
2,2023.0,6.0,380.638
3,2023.0,5.0,375.049
4,2023.0,4.0,372.186
5,2023.0,3.0,369.436
6,2023.0,2.0,368.252
7,2023.0,1.0,366.309
8,2022.0,12.0,365.325
9,2022.0,11.0,364.471
10,2022.0,10.0,359.376
11,2022.0,9.0,354.677
12,2022.0,8.0,351.529
13,2022.0,7.0,350.082
14,2022.0,6.0,347.741
15,2022.0,5.0,344.722
16,2022.0,4.0,342.544
17,2022.0,3.0,341.139
18,2022.0,2.0,337.551
19,2022.0,1.0,333.148
20,2021.0,12.0,334.454
21,2021.0,11.0,331.456
22,2021.0,10.0,329.097
23,2021.0,9.0,327.539
24,2021.0,8.0,328.27
25,2021.0,7.0,327.813
26,2021.0,6.0,324.703
27,2021.0,5.0,321.7
28,2021.0,4.0,319.991
29,2021.0,3.0,318.558
30,2021.0,2.0,317.723
31,2021.0,1.0,316.795
32,2020.0,12.0,315.774
33,2020.0,11.0,316.005
34,2020.0,10.0,317.905
35,2020.0,9.0,325.379
36,2020.0,8.0,326.34
37,2020.0,7.0,328.036
38,2020.0,6.0,326.162
39,2020.0,5.0,320.016
40,2020.0,4.0,319.888
41,2020.0,3.0,320.507
42,2020.0,2.0,320.236
43,2020.0,1.0,319.992
44,2019.0,12.0,317.504
45,2019.0,11.0,318.78
46,2019.0,10.0,319.034
47,2019.0,9.0,320.523
48,2019.0,8.0,317.208
49,2019.0,7.0,313.077
50,2019.0,6.0,312.133
51,2019.0,5.0,307.719
52,2019.0,4.0,305.0
53,2019.0,3.0,308.358
54,2019.0,2.0,307.285
55,2019.0,1.0,305.997
56,2018.0,12.0,305.333
57,2018.0,11.0,304.181
58,2018.0,10.0,302.476
59,2018.0,9.0,300.982
60,2018.0,8.0,302.478
61,2018.0,7.0,301.586
62,2018.0,6.0,299.999
63,2018.0,5.0,300.407
64,2018.0,4.0,300.144
65,2018.0,3.0,301.397
66,2018.0,2.0,300.242
67,2018.0,1.0,302.576
68,2017.0,12.0,300.951
69,1986.0,12.0,110.1
70,1986.0,11.0,109.7
71,1986.0,9.0,110.4
72,1986.0,7.0,109.9
73,1986.0,5.0,109.5
74,1986.0,3.0,108.9
75,1986.0,1.0,112.9
76,1985.0,11.0,109.4
77,1985.0,9.0,107.7
78,1985.0,7.0,110.2
79,1985.0,5.0,108.1
80,1985.0,3.0,107.4
81,1985.0,1.0,106.6
82,1984.0,11.0,105.5
83,1984.0,9.0,106.6
84,1984.0,7.0,106.4
85,1984.0,5.0,104.0
86,1984.0,3.0,103.5
87,1984.0,1.0,103.9
88,1983.0,11.0,102.6
89,1983.0,9.0,101.5
90,1983.0,7.0,100.9
91,1983.0,5.0,100.0
92,1983.0,3.0,100.2
93,1983.0,1.0,97.7
94,1982.0,11.0,97.8
95,1982.0,9.0,97.4
96,1982.0,7.0,94.4
97,1982.0,5.0,93.1
98,1982.0,3.0,91.4
99,1982.0,1.0,88.6
100,1981.0,11.0,85.2
101,1981.0,9.0,86.0
102,1981.0,7.0,84.6
103,1981.0,5.0,82.8
104,1981.0,3.0,79.1
105,1981.0,1.0,78.5
106,1980.0,11.0,76.8
107,1980.0,9.0,74.5
108,1980.0,7.0,73.0
109,1980.0,5.0,72.3
110,1980.0,3.0,71.8
111,1980.0,1.0,69.3
112,1979.0,11.0,69.1
113,1979.0,9.0,67.2
114,1979.0,7.0,65.7
115,1979.0,5.0,63.3
116,1979.0,3.0,59.7
117,1979.0,1.0,57.3
118,1978.0,11.0,55.4
119,1978.0,9.0,53.4
120,1978.0,7.0,51.3
121,1978.0,5.0,49.9
122,1978.0,3.0,49.0
123,1978.0,1.0,48.0
124,1977.0,10.0,46.8
125,1977.0,7.0,45.4
126,1977.0,4.0,44.4
127,1977.0,1.0,41.3
128,1976.0,10.0,40.9
129,1976.0,7.0,41.1
130,1976.0,4.0,40.2
131,1976.0,1.0,39.5
132,1975.0,10.0,39.1
133,1975.0,7.0,38.2
134,1975.0,4.0,37.7
135,1975.0,1.0,37.4
136,1974.0,10.0,36.0
137,1974.0,7.0,34.9
138,1974.0,4.0,33.3
139,1974.0,1.0,32.8
140,1973.0,10.0,32.6
141,1973.0,7.0,31.1
142,1973.0,4.0,30.7
143,1973.0,1.0,29.9
144,1972.0,10.0,29.5
145,1972.0,7.0,28.9
146,1972.0,4.0,28.9
147,1972.0,1.0,28.5
148,1971.0,10.0,28.5
149,1971.0,7.0,28.2
150,1971.0,4.0,27.5
151,1971.0,1.0,28.1
