,Year,Month,Value
0,2023.0,8.0,443.158
1,2023.0,7.0,440.878
2,2023.0,6.0,437.498
3,2023.0,5.0,433.76
4,2023.0,4.0,431.182
5,2023.0,3.0,428.509
6,2023.0,2.0,424.209
7,2023.0,1.0,419.928
8,2022.0,12.0,415.77
9,2022.0,11.0,408.501
10,2022.0,10.0,400.119
11,2022.0,9.0,393.787
12,2022.0,8.0,387.733
13,2022.0,7.0,383.014
14,2022.0,6.0,377.298
15,2022.0,5.0,372.903
16,2022.0,4.0,368.897
17,2022.0,3.0,365.163
18,2022.0,2.0,361.799
19,2022.0,1.0,358.736
20,2021.0,12.0,354.776
21,2021.0,11.0,352.244
22,2021.0,10.0,350.241
23,2021.0,9.0,347.732
24,2021.0,8.0,343.995
25,2021.0,7.0,342.961
26,2021.0,6.0,343.169
27,2021.0,5.0,341.744
28,2021.0,4.0,340.192
29,2021.0,3.0,340.035
30,2021.0,2.0,338.309
31,2021.0,1.0,338.594
32,2020.0,12.0,338.167
33,2020.0,11.0,337.226
34,2020.0,10.0,336.448
35,2020.0,9.0,335.603
36,2020.0,8.0,334.269
37,2020.0,7.0,331.874
38,2020.0,6.0,331.63
39,2020.0,5.0,332.049
40,2020.0,4.0,330.818
41,2020.0,3.0,330.963
42,2020.0,2.0,331.628
43,2020.0,1.0,332.41
44,2019.0,12.0,329.372
45,2019.0,11.0,330.523
46,2019.0,10.0,329.987
47,2019.0,9.0,329.217
48,2019.0,8.0,328.754
49,2019.0,7.0,328.828
50,2019.0,6.0,327.799
51,2019.0,5.0,327.38
52,2019.0,4.0,326.786
53,2019.0,3.0,327.499
54,2019.0,2.0,328.55
55,2019.0,1.0,324.873
56,2018.0,12.0,322.391
57,2018.0,11.0,321.23
58,2018.0,10.0,319.132
59,2018.0,9.0,315.783
60,2018.0,8.0,314.784
61,2018.0,7.0,313.996
62,2018.0,6.0,314.93
63,2018.0,5.0,312.405
64,2018.0,4.0,311.477
65,2018.0,3.0,313.865
66,2018.0,2.0,314.061
67,2018.0,1.0,312.717
68,2017.0,12.0,309.819
69,2017.0,11.0,309.682
70,2017.0,10.0,308.682
71,2017.0,9.0,306.922
72,2017.0,8.0,306.068
73,2017.0,7.0,304.361
74,2017.0,6.0,302.926
75,2017.0,5.0,301.996
76,2017.0,4.0,301.23
77,2017.0,3.0,302.199
78,2017.0,2.0,301.118
79,2017.0,1.0,299.68
80,2016.0,12.0,298.996
81,2016.0,11.0,297.46
82,2016.0,10.0,295.103
83,2016.0,9.0,293.091
84,2016.0,8.0,292.12
85,2016.0,7.0,290.56
86,2016.0,6.0,289.869
87,2016.0,5.0,289.446
88,2016.0,4.0,289.547
89,2016.0,3.0,288.972
90,2016.0,2.0,287.973
91,2016.0,1.0,286.567
92,2015.0,12.0,285.986
93,2015.0,11.0,283.667
94,2015.0,10.0,282.298
95,2015.0,9.0,280.775
96,2015.0,8.0,279.909
97,2015.0,7.0,278.375
98,2015.0,6.0,277.626
99,2015.0,5.0,276.833
100,2015.0,4.0,277.859
101,2015.0,3.0,278.395
102,2015.0,2.0,276.019
103,2015.0,1.0,274.586
104,2014.0,12.0,273.285
105,2014.0,11.0,272.83
106,2014.0,10.0,269.473
107,2014.0,9.0,268.472
108,2014.0,8.0,267.809
109,2014.0,7.0,267.696
