"Month","Median Rent"
"December 2022","3,630"
"November 2022","3,750"
"October 2022","3,826"
"September 2022","3,914"
"August 2022","3,941"
"July 2022","3,820"
"June 2022","3,712"
"May 2022","3,659"
"April 2022","3,427"
"March 2022","3,287"
"February 2022","3,137"
"January 2022","3,127"
"December 2021","3,036"
"November 2021","3,058"
"October 2021","3,037"
"September 2021","2,920"
"August 2021","2,741"
"July 2021","2,582"
"June 2021","2,497"
"May 2021","2,450"
"April 2021","2,397"
"March 2021","2,425"
"February 2021","2,340"
"January 2021","2,386"
"December 2020","2,366"
"November 2020","2,484"
"October 2020","2,531"
"September 2020","2,618"
"August 2020","2,740"
"July 2020","2,874"
"June 2020","2,923"
"May 2020","2,976"
"April 2020","3,089"
"March 2020","3,092"
"February 2020","3,221"
"January 2020","3,209"
"December 2019","3,202"
"November 2019","3,160"
"October 2019","3,176"
"September 2019","3,133"
"August 2019","3,149"
"July 2019","3,186"
"June 2019","2,792"
"May 2019","2,913"
"April 2019","3,046"
"March 2019","2,514"
"February 2019","2,468"
"January 2019","2,418"
"December 2018","2,531"
"November 2018","2,720"
"October 2018","2,792"
"September 2018","2,788"
"August 2018","2,408"
"July 2018","2,587"
"June 2018","2,491"
"May 2018","2,337"
"April 2018","2,386"
"March 2018","2,573"
"February 2018","2,630"
"January 2018","2,597"
"December 2017","2,739"
"November 2017","2,968"
"October 2017","2,770"
"September 2017","2,671"
"August 2017","2,676"
"July 2017","2,665"
"June 2017","2,653"
"May 2017","2,617"
"April 2017","2,637"
"March 2017","2,651"
"February 2017","2,617"
"January 2017","2,598"
"December 2016","2,666"
"November 2016","2,667"
"October 2016","2,644"
"September 2016","2,736"
"August 2016","2,792"
"July 2016","3,008"
"June 2016","2,987"
"May 2016","2,797"
"April 2016","3,136"
"March 2016","3,250"
"February 2016","3,138"
"January 2016","3,335"
"December 2015","3,401"
"November 2015","3,123"
"October 2015","3,149"
"September 2015","3,058"
"August 2015","3,078"
"July 2015","3,048"
"June 2015","2,997"
