"Month","Median Rent"
"December 2022","3,293"
"November 2022","3,383"
"October 2022","3,403"
"September 2022","3,438"
"August 2022","3,471"
"July 2022","3,420"
"June 2022","3,280"
"May 2022","3,350"
"April 2022","3,165"
"March 2022","2,991"
"February 2022","2,957"
"January 2022","2,912"
"December 2021","2,867"
"November 2021","2,847"
"October 2021","2,870"
"September 2021","2,800"
"August 2021","2,610"
"July 2021","2,471"
"June 2021","2,347"
"May 2021","2,245"
"April 2021","2,196"
"March 2021","2,200"
"February 2021","2,229"
"January 2021","2,105"
"December 2020","2,097"
"November 2020","2,132"
"October 2020","2,230"
"September 2020","2,343"
"August 2020","2,491"
"July 2020","2,625"
"June 2020","2,689"
"May 2020","2,735"
"April 2020","2,763"
"March 2020","2,751"
"February 2020","2,755"
"January 2020","2,746"
"December 2019","2,769"
"November 2019","2,820"
"October 2019","2,850"
"September 2019","2,800"
"August 2019","2,768"
"July 2019","2,799"
"June 2019","2,787"
"May 2019","2,768"
"April 2019","2,685"
"March 2019","2,630"
"February 2019","2,603"
"January 2019","2,596"
"December 2018","2,554"
"November 2018","2,562"
"October 2018","2,594"
"September 2018","2,596"
"August 2018","2,600"
"July 2018","2,598"
"June 2018","2,593"
"May 2018","2,560"
"April 2018","2,529"
"March 2018","2,592"
"February 2018","2,597"
"January 2018","2,546"
"December 2017","2,576"
"November 2017","2,595"
"October 2017","2,552"
"September 2017","2,547"
"August 2017","2,546"
"July 2017","2,560"
"June 2017","2,571"
"May 2017","2,525"
"April 2017","2,564"
"March 2017","2,545"
"February 2017","2,515"
"January 2017","2,460"
"December 2016","2,443"
"November 2016","2,453"
"October 2016","2,580"
"September 2016","2,630"
"August 2016","2,548"
"July 2016","2,669"
"June 2016","2,650"
"May 2016","2,547"
"April 2016","2,631"
"March 2016","2,706"
"February 2016","2,689"
"January 2016","2,655"
"December 2015","2,656"
"November 2015","2,637"
"October 2015","2,686"
"September 2015","2,691"
"August 2015","2,678"
"July 2015","2,623"
"June 2015","2,597"
