"Month","Median Rent"
"December 2022","3,910"
"November 2022","3,949"
"October 2022","4,082"
"September 2022","4,185"
"August 2022","4,213"
"July 2022","4,182"
"June 2022","4,030"
"May 2022","3,983"
"April 2022","3,850"
"March 2022","3,701"
"February 2022","3,611"
"January 2022","3,678"
"December 2021","3,642"
"November 2021","3,525"
"October 2021","3,557"
"September 2021","3,463"
"August 2021","3,335"
"July 2021","3,029"
"June 2021","2,854"
"May 2021","2,817"
"April 2021","2,739"
"March 2021","2,772"
"February 2021","2,723"
"January 2021","2,518"
"December 2020","2,577"
"November 2020","2,587"
"October 2020","2,662"
"September 2020","2,714"
"August 2020","2,836"
"July 2020","3,007"
"June 2020","3,119"
"May 2020","3,188"
"April 2020","3,161"
"March 2020","3,084"
"February 2020","3,268"
"January 2020","3,288"
"December 2019","3,246"
"November 2019","3,219"
"October 2019","3,244"
"September 2019","3,226"
"August 2019","3,261"
"July 2019","3,256"
"June 2019","3,200"
"May 2019","3,218"
"April 2019","3,079"
"March 2019","3,023"
"February 2019","3,000"
"January 2019","2,956"
"December 2018","2,905"
"November 2018","2,936"
"October 2018","3,000"
"September 2018","2,998"
"August 2018","2,998"
"July 2018","3,036"
"June 2018","2,999"
"May 2018","2,998"
"April 2018","2,992"
"March 2018","2,949"
"February 2018","2,906"
"January 2018","2,900"
"December 2017","2,934"
"November 2017","2,950"
"October 2017","2,945"
"September 2017","2,979"
"August 2017","2,993"
"July 2017","2,999"
"June 2017","2,996"
"May 2017","2,988"
"April 2017","2,978"
"March 2017","2,911"
"February 2017","2,976"
"January 2017","3,056"
"December 2016","2,908"
"November 2016","2,893"
"October 2016","3,079"
"September 2016","3,033"
"August 2016","2,887"
"July 2016","2,926"
"June 2016","2,936"
"May 2016","3,049"
"April 2016","3,154"
"March 2016","3,400"
"February 2016","3,303"
"January 2016","3,264"
"December 2015","3,281"
"November 2015","3,263"
"October 2015","3,298"
"September 2015","3,298"
"August 2015","3,262"
"July 2015","3,157"
"June 2015","3,148"
