"Month","Median Rent"
"December 2022","3,335"
"November 2022","3,398"
"October 2022","3,376"
"September 2022","3,418"
"August 2022","3,468"
"July 2022","3,390"
"June 2022","3,262"
"May 2022","3,326"
"April 2022","3,138"
"March 2022","2,996"
"February 2022","2,977"
"January 2022","2,965"
"December 2021","2,894"
"November 2021","2,816"
"October 2021","2,811"
"September 2021","2,709"
"August 2021","2,561"
"July 2021","2,381"
"June 2021","2,268"
"May 2021","2,216"
"April 2021","2,150"
"March 2021","2,179"
"February 2021","2,193"
"January 2021","2,063"
"December 2020","2,123"
"November 2020","2,161"
"October 2020","2,254"
"September 2020","2,325"
"August 2020","2,457"
"July 2020","2,518"
"June 2020","2,625"
"May 2020","2,687"
"April 2020","2,683"
"March 2020","2,653"
"February 2020","2,699"
"January 2020","2,700"
"December 2019","2,693"
"November 2019","2,691"
"October 2019","2,726"
"September 2019","2,721"
"August 2019","2,714"
"July 2019","2,761"
"June 2019","2,739"
"May 2019","2,679"
"April 2019","2,597"
"March 2019","2,510"
"February 2019","2,455"
"January 2019","2,450"
"December 2018","2,447"
"November 2018","2,483"
"October 2018","2,500"
"September 2018","2,534"
"August 2018","2,508"
"July 2018","2,500"
"June 2018","2,499"
"May 2018","2,478"
"April 2018","2,473"
"March 2018","2,524"
"February 2018","2,516"
"January 2018","2,485"
"December 2017","2,489"
"November 2017","2,500"
"October 2017","2,486"
"September 2017","2,487"
"August 2017","2,491"
"July 2017","2,500"
"June 2017","2,502"
"May 2017","2,500"
"April 2017","2,507"
"March 2017","2,502"
"February 2017","2,536"
"January 2017","2,480"
"December 2016","2,322"
"November 2016","2,271"
"October 2016","2,497"
"September 2016","2,503"
"August 2016","2,433"
"July 2016","2,468"
"June 2016","2,438"
"May 2016","2,439"
"April 2016","2,490"
"March 2016","2,625"
"February 2016","2,575"
"January 2016","2,535"
"December 2015","2,553"
"November 2015","2,523"
"October 2015","2,553"
"September 2015","2,581"
"August 2015","2,535"
"July 2015","2,485"
"June 2015","2,487"
